

<<START>>,<<FMS_CUSTOM_PD_BOND_DTL>>,,, 	(24-JUN-2025 10:23:19)
 
COMPANY_CD,SEQ_NO ,CAL_YEAR,PD_BOND,TIMESTAMP
2,32,2020,2501193, 	(24-JUN-2025 10:23:19)
2,33,2020,10359426, 	(24-JUN-2025 10:23:19)
2,1,2021,2681552, 	(24-JUN-2025 10:23:19)
2,2,2021,5565802, 	(24-JUN-2025 10:23:19)
2,3,2021,18249364, 	(24-JUN-2025 10:23:19)
2,4,2021,12239852.16, 	(24-JUN-2025 10:23:19)
2,5,2021,2463768, 	(24-JUN-2025 10:23:19)
2,6,2021,12601110.02, 	(24-JUN-2025 10:23:19)
2,7,2021,7839922.56, 	(24-JUN-2025 10:23:19)
2,8,2021,4926744.86, 	(24-JUN-2025 10:23:19)
2,9,2021,22267448.68, 	(24-JUN-2025 10:23:19)
2,10,2021,14450068, 	(24-JUN-2025 10:23:19)
2,11,2021,25773771, 	(24-JUN-2025 10:23:19)
2,12,2021,15494738, 	(24-JUN-2025 10:23:19)
2,13,2021,51102939.35, 	(24-JUN-2025 10:23:19)
2,14,2021,8011024.79, 	(24-JUN-2025 10:23:19)
2,15,2021,54832833.73, 	(24-JUN-2025 10:23:19)
2,16,2021,12905190, 	(24-JUN-2025 10:23:19)
2,17,2021,36419851, 	(24-JUN-2025 10:23:19)
2,18,2021,13223576, 	(24-JUN-2025 10:23:19)
2,19,2021,6567028, 	(24-JUN-2025 10:23:19)
2,1,2022,12471423157.96, 	(24-JUN-2025 10:23:19)
2,2,2022,29618545, 	(24-JUN-2025 10:23:19)
2,1,2023,2581740671.51, 	(24-JUN-2025 10:23:19)
2,2,2023,620278077.15, 	(24-JUN-2025 10:23:19)
2,3,2023,225288425.6, 	(24-JUN-2025 10:23:19)
2,4,2023,540021574.4, 	(24-JUN-2025 10:23:19)
2,1,2024,3537324945, 	(24-JUN-2025 10:23:19)
2,2,2024,2806332900, 	(24-JUN-2025 10:23:19)
2,2,null,42218143.07, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,38260256.7, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,39732148.57, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,39418685.37, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,33017585.27, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,38898181.67, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,40207681.4, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,52160680.28, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,36838902.62, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,43633991.37, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,36392725.48, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,31132290.15, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,33580222.68, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,31819871.24, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,33277409.56, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,32131311.05, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,59862879.43, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,118366191.37, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,24725238.5, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,44347897.25, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,136114853.7, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,55421741.66, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,52706153.16, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,61393379.13, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,56539006.47, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,60477118.11, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,69887451.99, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,85892725.65, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,79679514.4, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,71676778.12, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,79285682.82, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,83798363.78, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,61801544.22, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,58756241.53, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,49590885.35, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,54005223.93, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,4221135.59, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,46729848.96, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,48808799.15, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,85974683.57, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,68511287.84, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,58994672.7, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,84445515.4, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,37222917.42, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,79507445.36, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,68250125, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,70233899.07, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,65931993.3, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,68522310.72, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,70182561.72, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,67772737.2, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,58466387.94, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,60344942.17, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,63491300.53, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,67519562.03, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,77108798.51, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,53954362.5, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,84457322.66, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,65383933.44, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,56448830.31, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,57162302.01, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,60256627.74, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,95575146.59, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,50870552.18, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,94184145.86, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,58046355.3, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,94400783.13, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,90639786.54, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,92053320.17, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,91749968.69, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,121350472.44, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,131846433.65, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,127163367.15, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,143624326.63, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,138251690.78, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,139198727.89, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,136540076.33, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,159365593.58, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,136467940.39, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,157535315.76, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,54944132.97, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,40442116.9, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,40819041.81, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,34546390.43, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,62636997.35, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,38187525.9, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,47756482.82, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,62592825.87, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,48480613.83, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,38779470.43, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,36963357.08, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,54635553.98, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,32080915.01, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,51165463.56, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,47405624.3, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
2,2,null,47099496.89, 	(24-JUN-2025 10:23:19)	 (Not Inserted)
