

<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 14 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 14 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 13 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 13 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 10 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 10 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 11 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 11 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 12 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 12 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 10 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 10 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 10 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 10 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 8 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 9 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , SI , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 2 , RV , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , SI , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 1 , RV , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , SI , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 3 , RV , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , SI , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 5 , RV , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , SI , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 7 , RV , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , SI , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,1 , RIL , C , 4 , RV , 01/04/2010 , 1, 	(23-SEP-2025 12:15:09)
2 ,2 , MGL , C , 1 , SI , 01/01/2019 , 1, 	(23-SEP-2025 12:15:09)
2 ,2 , MGL , C , 1 , RV , 01/01/2019 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , SI , 15/11/2015 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , RV , 15/11/2015 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,3 , GSPCL , C , 1 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 5 , SI , 21/05/2024 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 5 , RV , 21/05/2024 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 6 , SI , 21/05/2024 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 6 , RV , 21/05/2024 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , SI , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , RV , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,4 , Gail , C , 1 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , SI , 15/11/2015 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,11 , TPL , C , 2 , RV , 15/11/2015 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,11 , TPL , C , 1 , SI , 15/11/2015 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,11 , TPL , C , 1 , RV , 15/11/2015 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,11 , TPL , C , 1 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , SI , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , RV , 01/06/2015 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 1 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , SI , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,11 , TPL , C , 2 , RV , 01/04/2012 , 1, 	(23-SEP-2025 12:15:09)
2 ,15 , HPCL , C , 2 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,15 , HPCL , C , 2 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,15 , HPCL , C , 1 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,15 , HPCL , C , 1 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , SI , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , RV , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , SI , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , RV , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 , , ESIL , C , 1 , SI , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 , , ESIL , C , 1 , RV , 01/06/2016 , 1, 	(23-SEP-2025 12:15:09)	 (Not Inserted)
2 ,154 , SEMTIPL , C , 2 , SI , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,154 , SEMTIPL , C , 2 , RV , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , UG , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , LP , 07/03/2022 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , ST , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)
2 ,20 , AMNS , C , 1 , LP , 01/07/2017 , 1, 	(23-SEP-2025 12:15:09)

TOTAL DATA IN EXCEL : ,158,,,,,,, 	(23-SEP-2025 12:15:09)
 

TOTAL DATA INSERTED : ,132,,,,,,, 	(23-SEP-2025 12:15:09)
 

TOTAL SKIPPED DATA ,26,,,,,,, 	(23-SEP-2025 12:15:09)
 
<<END>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(23-SEP-2025 12:15:09)
 

<<START>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(23-SEP-2025 12:15:31)
 
COMPANY_CD,CD,ABBR,ENTITY,PLANT_SEQ_NO,INVOICE_TYPE,BU_UNIT,EFF_DT,TIMESTAMP
2 ,282 , JMB , H , 1 , CH , 1 , 10/09/2004, 	(23-SEP-2025 12:15:32)
2,282 , JMB , H , 1 , CH , 1 , 12/05/2007, 	(23-SEP-2025 12:15:32)	 (Not Inserted)
2, , BOXCO , H , 1 , CH , 1 , 12/05/2007, 	(23-SEP-2025 12:15:32)	 (Not Inserted)
2,232 , JBB , S , 1 , SF , 1 , 12/05/2007, 	(23-SEP-2025 12:15:32)	 (Not Inserted)
2 ,232 , JBB , S , 1 , SF , 1 , 24/02/2009, 	(23-SEP-2025 12:15:32)
2 ,232 , JBB , S , 1 , SF , 1 , 01/04/2012, 	(23-SEP-2025 12:15:32)
2 ,264 , SSAPL , S , 1 , SF , 1 , 01/04/2012, 	(23-SEP-2025 12:15:32)
2 ,265 , SLPL , H , 1 , CH , 1 , 01/06/2016, 	(23-SEP-2025 12:15:32)

TOTAL DATA IN EXCEL : ,8,,,,,,, 	(23-SEP-2025 12:15:32)
 

TOTAL DATA INSERTED : ,5,,,,,,, 	(23-SEP-2025 12:15:32)
 

TOTAL SKIPPED DATA ,3,,,,,,, 	(23-SEP-2025 12:15:32)
 
<<END>>,<<FMS_ENTITY_BU_SVC_TAX_DTL>>,,,,,,, 	(23-SEP-2025 12:15:32)
 
