

<<START>>,<<FMS_COUNTERPARTY_MST_Update_IGX>>,, 	(24-JUN-2025 16:45:16)
 
CD,ABBR,IGX,TIMESTAMP
157 , DEEPENER,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
55 , CPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
56 , IRM,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
56 , IRM,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
57 , PPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
58 , YARALTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
59 , INPEROX,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
60 , RAFECHL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
124 , MGRPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
124 , MGRPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
208 , CNTENKA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
61 , EFSPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
62 , WELSMEL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
158 , HINDURV,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , DONOTUSE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , DONOTUSE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , DONOTUSE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , DONOTUSE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
227 , HCGPUTE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
63 , GOAGLSF,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
64 , IGSPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
64 , IGSPL,Y, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , ELAWPRC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
65 , PEFORCV,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
 , AARVKRO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
189 , ACOVIED,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
191 , ANTIQAC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
191 , ANTIQAC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
141 , ASIANPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
194 , AVLCRMC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
195 , AXWELLG,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
199 , BEGLASS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
200 , BHRTFRG,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
66 , BHEL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
203 , BICELLO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
143 , CAPAROE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
209 , CLVTPVL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
210 , COMFIND,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
67 , DCMSHRI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
138 , DEENOVK,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
212 , DHARLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
213 , DURAVIT,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
214 , DURZGRA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
216 , ERACLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
219 , EURILTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
221 , FIORGPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
68 , GAMALTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
69 , GFLLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
70 , GMRLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
71 , GOCOPRL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
111 , GLDIDLI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
72 , GJALCHEM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
73 , GUJASZR,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
74 , GUJAGAS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
75 , JOHNTBK,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
76 , HARYCIT,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
77 , HCGKCEP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
78 , HEGLPWN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
79 , HEROMO,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
80 , HICOTED,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
81 , HOECLTD,Y, 	(24-JUN-2025 16:45:16)
82 , HINZINC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
144 , HINAGIL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
83 , HINSPEC,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
229 , HOLLFIE,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
84 , HNDMTRS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
147 , HPOIGAS,Y, 	(24-JUN-2025 16:45:16)
230 , ICONGLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
148 , INDOLPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
85 , GASJIND,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
236 , LEXGRAN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
239 , LOCEPRI,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
240 , LORVTPL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
241 , LUMGLAP,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
86 , MANIKAR,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
87 , MARUTIS,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
243 , MAXGLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
244 , LLPMILL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
245 , LTDMILG,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
246 , MILVITL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
88 , MINDLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
89 , MMPINDL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
247 , MOINLIM,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
248 , MOSPLTD,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
90 , NAGAFCL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
91 , NARMADA,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
166 , ESSAREX,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
92 , NEL,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
250 , OWECORN,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
93 , PETNETLNG,N, 	(24-JUN-2025 16:45:16)	 (Not Inserted)
