

<<START>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 13 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 7 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 9 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 10 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 12 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 11 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 2 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 3 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 4 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 5 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 8 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 2 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 3 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 4 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 9 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 10 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 5 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 7 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 8 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 10 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 9 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 8 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 1 , SI , 01/04/2010 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 2 , SI , 01/04/2010 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 3 , SI , 01/04/2010 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 4 , SI , 01/04/2010 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 5 , SI , 01/04/2010 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,1 , RIL , C , 7 , SI , 01/04/2010 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,3 , GSPCL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,3 , GSPCL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,3 , GSPCL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,3 , GSPCL , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,3 , GSPCL , C , 1 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 5 , SI , 21/05/2024 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 6 , SI , 21/05/2024 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 1 , SI , 07/03/2022 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,4 , Gail , C , 1 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 2 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,11 , TPL , C , 1 , SI , 15/11/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,11 , TPL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 2 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 2 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 1 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 2 , SI , 01/06/2015 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 1 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,11 , TPL , C , 2 , SI , 01/04/2012 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,15 , HPCL , C , 2 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,15 , HPCL , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,20 , AMNS , C , 1 , SI , 07/03/2022 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,20 , AMNS , C , 1 , SI , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 , , ESIL , C , 1 , SI , 01/06/2016 00:00:00 , 1, 	(15-MAR-2025 17:23:26)	 (Not Inserted)
2 ,154 , SEMTPL , C , 2 , SI , 07/03/2022 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,20 , AMNS , C , 1 , UG , 07/03/2022 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,20 , AMNS , C , 1 , LP , 07/03/2022 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,20 , AMNS , C , 1 , ST , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)
2 ,20 , AMNS , C , 1 , LP , 01/07/2017 00:00:00 , 1, 	(15-MAR-2025 17:23:26)

TOTAL DATA IN EXCEL : ,80,,,,,,, 	(15-MAR-2025 17:23:26)
 

TOTAL DATA INSERTED : ,67,,,,,,, 	(15-MAR-2025 17:23:26)
 

TOTAL SKIPPED DATA ,13,,,,,,, 	(15-MAR-2025 17:23:26)
 
<<END>>,<<FMS_ENTITY_SERVICE_TAX_DTL>>,,,,,,, 	(15-MAR-2025 17:23:26)
 
