

<<START>>,<<FMS_TRADER_CN_MST>>,,,, 	(27-FEB-2025 14:33:10)
 
<CD> <AGMT_NO> <CONT_NO> <CONT_NAME> <CONT_REF_NO> 	<TIMESTAMP>
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10006 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10007 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10008 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10011 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 10012 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 11001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 11003 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 11004 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 11005 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 11007 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14001 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14002 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14003 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14004 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14005 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14006 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14007 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14008 	(27-FEB-2025 14:33:11)	 (Not Inserted)
256 null 724002 SEIPL-SITME-MSPA1-REV0 N724002-REV0 14009 	(27-FEB-2025 14:33:11)	 (Not Inserted)
