

<<START>>,<<FMS_SECTOR_MST>>, 	(06-MAR-2025 17:36:40)
 
ABBR,,TIMESTAMP
MINING MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
POST & TELEGRAPHS,, 	(06-MAR-2025 17:36:42)
STATE ELEC. BOARDS,, 	(06-MAR-2025 17:36:42)
CATERING & HOTELS,, 	(06-MAR-2025 17:36:42)
UNIVERSITIES ETC,, 	(06-MAR-2025 17:36:42)
LAUNDRIES,, 	(06-MAR-2025 17:36:42)
REFINERIES,, 	(06-MAR-2025 17:36:42)
TPP-OIL,, 	(06-MAR-2025 17:36:42)
HYDEL POWER PLANTS,, 	(06-MAR-2025 17:36:42)
ATOMIC POWER PLANTS,, 	(06-MAR-2025 17:36:42)
GAS TURBINES,, 	(06-MAR-2025 17:36:42)
POWER MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
RAILWAYS,, 	(06-MAR-2025 17:36:42)
OTHER ROAD TRANSPORT,, 	(06-MAR-2025 17:36:42)
STATE ROAD TRANSPORT,, 	(06-MAR-2025 17:36:42)
SHIP. COASTAL,, 	(06-MAR-2025 17:36:42)
SHIP. INTERNATIONAL,, 	(06-MAR-2025 17:36:42)
INLAND WATERWAYS,, 	(06-MAR-2025 17:36:42)
OTHERS (PORT TRUST),, 	(06-MAR-2025 17:36:42)
DOMESTIC DIST.,, 	(06-MAR-2025 17:36:42)
INDUSTRIAL DIST.,, 	(06-MAR-2025 17:36:42)
OWN CONSUMPTION,, 	(06-MAR-2025 17:36:42)
PARALLEL MARKETERS,, 	(06-MAR-2025 17:36:42)
TEA PLANTATION,, 	(06-MAR-2025 17:36:42)
RUBBER/COFFEE ETC,, 	(06-MAR-2025 17:36:42)
FORESTRY&TIMBER,, 	(06-MAR-2025 17:36:42)
AGRI.CROPS/ORCHARD,, 	(06-MAR-2025 17:36:42)
SUGAR MILLS,, 	(06-MAR-2025 17:36:42)
FLOUR MILLS ETC,, 	(06-MAR-2025 17:36:42)
VEG. OIL MILLS,, 	(06-MAR-2025 17:36:42)
FOOD PROCESSING,, 	(06-MAR-2025 17:36:42)
DAIRIES&MILK PROC,, 	(06-MAR-2025 17:36:42)
FISHERIES,, 	(06-MAR-2025 17:36:42)
AGRI. MISCELLANEOUS,, 	(06-MAR-2025 17:36:42)
DOMESTIC AIRLINES,, 	(06-MAR-2025 17:36:42)
FOREIGN AIRLINES,, 	(06-MAR-2025 17:36:42)
FERTILISER-GAS BASED,, 	(06-MAR-2025 17:36:42)
CAUSTIC SODA ETC.,, 	(06-MAR-2025 17:36:42)
HEAVY ACIDS,, 	(06-MAR-2025 17:36:42)
OTHER INORG.CHEM,, 	(06-MAR-2025 17:36:42)
PETRO-CHEM OTHERS,, 	(06-MAR-2025 17:36:42)
PETROCHEM -GAS BASED,, 	(06-MAR-2025 17:36:42)
DYES & DYE STUFFS,, 	(06-MAR-2025 17:36:42)
SYNTHETIC RUBBER,, 	(06-MAR-2025 17:36:42)
PESTI./AGRO CHEM,, 	(06-MAR-2025 17:36:42)
OTHER ORG.CHEMICAL,, 	(06-MAR-2025 17:36:42)
DRUGS&PHARMACEUTICAL,, 	(06-MAR-2025 17:36:42)
PAINTS ETC,, 	(06-MAR-2025 17:36:42)
