2,0, , ,, ,D,1,1,2,16/02/2023 00:00:00, 28/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/02/2023 00:00:00, 28/02/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/03/2023 00:00:00, 15/03/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/03/2023 00:00:00, 15/03/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/03/2023 00:00:00, 15/03/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/03/2023 00:00:00, 15/03/2023 00:00:00,2022-2023,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,0,2,16/03/2023 00:00:00, 31/03/2023 00:00:00,2022-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/03/2023 00:00:00, 31/03/2023 00:00:00,2022-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/03/2023 00:00:00, 31/03/2023 00:00:00,2022-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/04/2023 00:00:00, 15/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/04/2023 00:00:00, 15/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/04/2023 00:00:00, 15/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/04/2023 00:00:00, 15/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/04/2023 00:00:00, 30/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/04/2023 00:00:00, 30/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/04/2023 00:00:00, 30/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/04/2023 00:00:00, 30/04/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/05/2023 00:00:00, 15/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/05/2023 00:00:00, 15/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/05/2023 00:00:00, 15/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/05/2023 00:00:00, 15/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/05/2023 00:00:00, 31/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/05/2023 00:00:00, 31/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/05/2023 00:00:00, 31/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/05/2023 00:00:00, 31/05/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/06/2023 00:00:00, 15/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/06/2023 00:00:00, 15/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/06/2023 00:00:00, 15/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/06/2023 00:00:00, 15/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/06/2023 00:00:00, 30/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/06/2023 00:00:00, 30/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/06/2023 00:00:00, 30/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/06/2023 00:00:00, 30/06/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/07/2023 00:00:00, 15/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/07/2023 00:00:00, 15/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/07/2023 00:00:00, 15/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/07/2023 00:00:00, 15/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/07/2023 00:00:00, 31/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/07/2023 00:00:00, 31/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/07/2023 00:00:00, 31/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,2,16/07/2023 00:00:00, 31/07/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/08/2023 00:00:00, 15/08/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/08/2023 00:00:00, 15/08/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,1,01/08/2023 00:00:00, 15/08/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,2,1,1,01/08/2023 00:00:00, 15/08/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
2,0, , ,, ,D,1,1,2,16/08/2023 00:00:00, 31/08/2023 00:00:00,2023-2024,F, 	(19-MAY-2025 12:14:44)	 (Not Inserted)
