

<<START>>,<<FMS_ENTITY_TURNOVER_DTL>>,,,, 	(17-FEB-2025 15:18:25)
 
COMPANY_CD,CD,ABBR,ENTITY,FINANCIAL_YEAR,TIMESTAMP
2  ,57 , PPL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,57 , PPL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,58 , YARALTD , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,59 , INPEROX , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,59 , INPEROX , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,60 , RAFECHL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,124 , MGRPL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,124 , MGRPL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,208 , CNTENKA , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,61 , EFSPL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,158 , HINDURV , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,158 , HINDURV , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,227 , HCGPUTE , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,63 , GOAGLSF , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,63 , GOAGLSF , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,63 , GOAGLSF , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,64 , IGSPL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,64 , IGSPL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,65 , PEFORCV , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,65 , PEFORCV , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,66 , BHEL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,210 , COMFIND , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,210 , COMFIND , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,67 , DCMSHRI , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,67 , DCMSHRI , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,144 , HINAGIL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,147 , HPOIGAS , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,92 , NEL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,92 , NEL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,104 , TASTELI , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,104 , TASTELI , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,104 , TASTELI , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,105 , HMEL , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,105 , HMEL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,105 , HMEL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,162 , BOROREN , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,162 , BOROREN , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,151 , KINGASP , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,151 , KINGASP , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,106 , RATNAGI , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,107 , IDOINVA , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,107 , IDOINVA , C , 2022-2023, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  ,190 , AGPCGIN , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,190 , AGPCGIN , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,190 , AGPCGIN , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,176 , NESTLIN , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,188 , VISHPRI , C , 2021-2022, 	(17-FEB-2025 15:18:25)
2  ,188 , VISHPRI , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,188 , VISHPRI , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  , , SOMANY , C , 2021-2022, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  , , SOMANY , C , 2022-2023, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  ,202 , BHOGATD , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,202 , BHOGATD , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,277 , VIGASLD , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,277 , VIGASLD , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,167 , GOLDPFG , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,122 , GAILGAS , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,122 , GAILGAS , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,174 , KUTCHCL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,174 , KUTCHCL , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  ,181 , SANENER , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,183 , SUMGLAS , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,184 , SVTPLIN , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  ,184 , SVTPLIN , C , 2023-2024, 	(17-FEB-2025 15:18:25)
2  , , AGL , C , 2022-2023, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  , , AGL , C , 2023-2024, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  ,121 , NGPL , C , 2022-2023, 	(17-FEB-2025 15:18:25)
2  , , ROCKMAN , C , 2022-2023, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  , , LANCO , C , 2023-2024, 	(17-FEB-2025 15:18:25)	 (Not Inserted)
2  ,130 , CRMNDEL , C , 2023-2024, 	(17-FEB-2025 15:18:25)

TOTAL DATA IN EXCEL : ,245,,,, 	(17-FEB-2025 15:18:25)
 

TOTAL DATA INSERTED : ,229,,,, 	(17-FEB-2025 15:18:25)
 

TOTAL SKIPPED DATA ,16,,,, 	(17-FEB-2025 15:18:25)
 
<<END>>,<<FMS_ENTITY_TURNOVER_DTL>>,,,, 	(17-FEB-2025 15:18:25)
 
