

<<START>>,<<FMS_BUY_CARGO_ALLOC_BL>>,,,, 	(20-MAY-2025 11:31:06)
 
CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,BL_NO,TIMESTAMP
2,110, M, 1, 0, N, 724001, 0, 2, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 724002, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 724002, 0, 1, 0, 2,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 724003, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 724004, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 724005, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 725002, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 725001, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 723001, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 723008, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 723004, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 723008, 0, 2, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 723003, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,110, M, 1, 0, N, 723007, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)

TOTAL DATA IN EXCEL : 244 	(20-MAY-2025 11:31:06)
 

TOTAL DATA INSERTED : 222 	(20-MAY-2025 11:31:06)
 

TOTAL SKIPPED DATA 22 	(20-MAY-2025 11:31:06)
 
<<END>><<FMS_BUY_CARGO_ALLOC_BL>> 	(20-MAY-2025 11:31:06)
 

<<START>>,<<FMS_BUY_CARGO_ALLOC_BOE>>,,,, 	(20-MAY-2025 11:31:06)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,CARGO_NO,ALLOC_REV,BOE_NO,TIMESTAMP
2,20, , , , , 725000, , , 0, 1,  	(20-MAY-2025 11:31:06)	 (Not Inserted)
2,20, , , , , 725000, , , 0, 1,  	(20-MAY-2025 11:31:06)	 (Not Inserted)
2,270, M, 1, 0, N, 710007, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710008, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710009, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710013, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710023, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710024, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710025, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710026, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710010, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710014, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710015, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710016, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710017, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 711002, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710003, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710002, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710001, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710028, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710029, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710030, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
2,270, M, 1, 0, N, 710006, 0, 1, 0, 1,  	(20-MAY-2025 11:31:06)
