

<<START>>,<<FMS_PUR_SG_INV_MST>>,,,,,,,,,,,,,,,,,, 	(03-MAY-2025 17:04:27)
 
COMPANY_CD, COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, PLANT_SEQ, BU_UNIT, FREQ, PERIOD_START_DT, PERIOD_END_DT, INVOICE_SEQ, FINANCIAL_YEAR, INV_FLAG,CONTACT_PERSON_CD,BU_CONTACT_PERSON_CD,INVOICE_NO,SALE_PRICE,TIMESTAMP
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,CP,0,0,T0013340,9.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725010,0, N, 1, 1,10,14/10/2007 00:00:00, 15/10/2007 00:00:00, 2, 2007-2008,CF,0,0,T0013474,9.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,P,0,0,T0012997,8.23, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,PF,0,0,T0012997,8.23, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,F,0,0,T0013037,8.23, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725007,0, N, 1, 1,10,21/08/2007 00:00:00, 22/08/2007 00:00:00, 3, 2007-2008,CP,0,0,T0012997,8.23, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,P,0,0,T0014385,13.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,PF,0,0,T0014385,13.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,F,0,0,T0014399,13.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 4, 2007-2008,CP,0,0,T0014385,13.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725013,0, N, 1, 1,10,25/02/2008 00:00:00, 25/02/2008 00:00:00, 3, 2007-2008,CF,0,0,T0014399,13.5, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,P,0,0,T0013259,8.85, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,PF,0,0,T0013259,8.85, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,F,0,0,T0013261,8.85, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725009,0, N, 1, 1,10,25/09/2007 00:00:00, 26/09/2007 00:00:00, 5, 2007-2008,CP,0,0,T0013259,8.85, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,P,0,0,T0013471,12.25, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,PF,0,0,T0013471,12.25, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,F,0,0,T0013490,12.25, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725011,0, N, 1, 1,10,26/10/2007 00:00:00, 27/10/2007 00:00:00, 6, 2007-2008,CP,0,0,T0013471,12.25, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,P,0,0,T0013012,7.48, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,PF,0,0,T0013012,7.48, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,F,0,0,T0013095,7.48, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725008,0, N, 1, 1,10,27/08/2007 00:00:00, 28/08/2007 00:00:00, 7, 2007-2008,CP,0,0,T0013012,7.48, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,P,0,0,T0013961,16.75, 	(03-MAY-2025 17:04:28)
2,270, 1, 0, 725012,0, N, 1, 1,10,30/01/2008 00:00:00, 30/01/2008 00:00:00, 8, 2007-2008,PF,0,0,T0013961,16.75, 	(03-MAY-2025 17:04:28)
