

AGRI. MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
DOMESTIC AIRLINES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FOREIGN AIRLINES,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
DAIRIES&MILK PROC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CAUSTIC SODA ETC.,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
HEAVY ACIDS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
OTHER INORG.CHEM,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PETRO-CHEM OTHERS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PETROCHEM -GAS BASED,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
DYES & DYE STUFFS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SYNTHETIC RUBBER,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PESTI./AGRO CHEM,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
OTHER ORG.CHEMICAL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
DRUGS&PHARMACEUTICAL,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
PAINTS ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
INDU EXPLOSIVE,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CALCINATION PLANTS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
SOAPS ETC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
MISC CHEM INDU,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CEMENT/BUILD MAT,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
BITUMEN/BUILD.MAT,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CIVIL MISCELLANEOUS,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)
LDC,, 	(12-MAR-2025 17:58:25)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,97, 	(12-MAR-2025 17:58:25)
 

TOTAL DATA INSERTED : ,0, 	(12-MAR-2025 17:58:25)
 

TOTAL SKIPPED DATA ,97, 	(12-MAR-2025 17:58:25)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(12-MAR-2025 17:58:25)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(12-MAR-2025 17:58:25)
 
ABBR,,TIMESTAMP

TOTAL DATA IN EXCEL : ,97, 	(12-MAR-2025 17:58:25)
 

TOTAL DATA INSERTED : ,0, 	(12-MAR-2025 17:58:25)
 

TOTAL SKIPPED DATA ,0, 	(12-MAR-2025 17:58:25)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(12-MAR-2025 17:58:25)
 
