

<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,,, 	(09-APR-2025 19:52:38)
 
COMPANY_CD,CD,ABBR,ADDR_TYPE,ENTITY,EFF_DT,TIMESTAMP
2, 18 , GSFC , C , C , 14/03/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 18 , GSFC , R , C , 14/03/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 18 , GSFC , B , C , 14/03/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 228 , H-Energy , C , C , 14/11/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 228 , H-Energy , B , C , 14/11/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 228 , H-Energy , R , C , 14/11/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 160 , SIMPL , C , C , 14/11/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 160 , SIMPL , R , C , 14/11/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 160 , SIMPL , B , C , 14/11/2016 00:00:00, 	(09-APR-2025 19:52:39)
2, 19 , ATGL , C , C , 04/04/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 19 , ATGL , B , C , 04/04/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 19 , ATGL , R , C , 04/04/2022 00:00:00, 	(09-APR-2025 19:52:39)
2, 19 , ATGL , B , C , 13/01/2017 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 19 , ATGL , C , C , 13/01/2017 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 19 , ATGL , R , C , 13/01/2017 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 20 , AMNS , B , C , 18/01/2012 00:00:00, 	(09-APR-2025 19:52:39)
2, 20 , AMNS , R , C , 18/01/2012 00:00:00, 	(09-APR-2025 19:52:39)
2, 20 , AMNS , C , C , 18/01/2012 00:00:00, 	(09-APR-2025 19:52:39)
2, 20 , AMNS , R , T , 18/01/2012 00:00:00, 	(09-APR-2025 19:52:39)
2, 154 , SEMTPL , C , C , 28/07/2017 00:00:00, 	(09-APR-2025 19:52:39)
2, 154 , SEMTPL , R , C , 28/07/2017 00:00:00, 	(09-APR-2025 19:52:39)
2, 154 , SEMTPL , B , C , 28/07/2017 00:00:00, 	(09-APR-2025 19:52:39)
2, 154 , SEMTPL , R , T , 28/07/2017 00:00:00, 	(09-APR-2025 19:52:39)
2, 21 , SGIPL , C , C , 28/11/2017 00:00:00, 	(09-APR-2025 19:52:39)
2, 21 , SGIPL , R , C , 28/11/2017 00:00:00, 	(09-APR-2025 19:52:39)
2, 21 , SGIPL , B , C , 28/11/2018 00:00:00, 	(09-APR-2025 19:52:39)
2, 22 , VGL , C , C , 03/07/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 22 , VGL , R , C , 03/07/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 22 , VGL , B , C , 03/07/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 23 , PGPGPL , C , C , 01/04/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 23 , PGPGPL , R , C , 01/04/2021 00:00:00, 	(09-APR-2025 19:52:39)
2, 23 , PGPGPL , B , C , 04/10/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 23 , PGPGPL , C , C , 04/10/2019 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 23 , PGPGPL , R , C , 04/10/2019 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 23 , PGPGPL , R , C , 28/04/2021 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 23 , PGPGPL , B , C , 28/04/2021 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 23 , PGPGPL , C , C , 28/04/2021 00:00:00, 	(09-APR-2025 19:52:39)	 (Not Inserted)
2, 24 , HCG , R , C , 02/12/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 24 , HCG , C , C , 02/12/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 24 , HCG , B , C , 02/12/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 25 , GGL , R , C , 09/12/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 25 , GGL , B , C , 09/12/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 25 , GGL , C , C , 09/12/2019 00:00:00, 	(09-APR-2025 19:52:39)
2, 26 , CFC , C , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 26 , CFC , R , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 26 , CFC , B , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 27 , IFFCO , C , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 27 , IFFCO , B , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 27 , IFFCO , R , C , 01/01/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 28 , HGL-RLNG , C , C , 01/02/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 28 , HGL-RLNG , R , C , 01/02/2020 00:00:00, 	(09-APR-2025 19:52:39)
2, 28 , HGL-RLNG , B , C , 01/02/2020 00:00:00, 	(09-APR-2025 19:52:39)
