COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NAME,CONT_REF_NO,TIMESTAMP,
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN5-SNREV0-SO 05,JKPAPER-1-0-1-5-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN5-SNREV0-S0 06,VIRGO-1-0-1-5-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN9-SNREV1-SO 09,JKPAPER-1-0-1-9-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN6-SNREV1-SO 04,SGIPL-1-0-3-6-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN10-SNREV1-S0 10,JKPAPER-1-0-1-10-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN10-SNREV0-SO 07,VIRGO-1-0-1-10-0, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN11-SNREV0-SO 11,JKPAPER-1-0-1-11-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN12-SNREV1-SO09,VIRGO-1-0-1-12-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN11-SNREV1-SO 11,JKPAPER-1-0-1-11-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN14-SNREV0-SO 11,VIRGO-1-0-1-14-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN15-SNREV0-SO 12,VIRGO-1-0-1-15-0, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN7-SNREV0-SO 05,SGIPL-1-0-3-7-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN15-SNREV1-SO 12,VIRGO-1-0-1-15-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN14-SNREV1-SO 11,VIRGO-1-0-1-14-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN15-SNREV2-SO 12,VIRGO-1-0-1-15-2, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN17-SNREV0-SO 13,VIRGO-1-0-1-17-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN18-SNREV0-SO 14,VIRGO-1-0-1-18-0, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN13-SNREV1-SO 10,VIRGO-1-0-1-13-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN17-SNREV1-SO 13,VIRGO-1-0-1-17-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN18-SNREV1-SO 14,VIRGO-1-0-1-18-1, 	(11-SEP-2025 19:20:30)
2,21,B,1,0,SGIPL-FL1-FLREV0-SN7-SNREV1-SO 05,SGIPL-1-0-3-7-1, 	(11-SEP-2025 19:20:30)
2,234,B,1,0,JKPAPER-FL1-FLREV0-SN12-SNREV1-SO 12,JKPAPER-1-0-1-12-1, 	(11-SEP-2025 19:20:30)
2,276,B,1,0,VIRGO-FL1-FLREV0-SN15-SNREV3-SO 12,VIRGO-1-0-1-15-3, 	(11-SEP-2025 19:20:30)

TOTAL DATA IN EXCEL : ,68,, 	(11-SEP-2025 19:20:30)
 

TOTAL DATA INSERTED : ,68,, 	(11-SEP-2025 19:20:30)
 

TOTAL SKIPPED DATA ,0,, 	(11-SEP-2025 19:20:30)
 
<<END>>,<<FMS_SVC_CONT_MST>>,, 	(11-SEP-2025 19:20:30)
 

<<START>>,<<FMS_SVC_CONT_BU>>, 	(11-SEP-2025 19:20:30)
 

TOTAL DATA IN EXCEL : ,0, 	(11-SEP-2025 19:20:30)
 

TOTAL DATA INSERTED : ,68, 	(11-SEP-2025 19:20:30)
 

TOTAL SKIPPED DATA ,0, 	(11-SEP-2025 19:20:30)
 
<<END>>,<<FMS_SVC_CONT_BU>>, 	(11-SEP-2025 19:20:30)
 

<<START>>,<<FMS_SVC_CONT_MAP>>,, 	(11-SEP-2025 19:20:30)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,SELL_CONT_MAP,TIMESTAMP,
2,21,B,1,0,220001,0,F-1-0-220002-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220002,0,F-1-0-220051-0, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220003,0,F-1-0-220001-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220004,0,F-1-0-220049-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220002,1,F-1-0-220051-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220004,1,F-1-0-220049-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220003,1,F-1-0-220001-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220005,1,F-1-0-220003-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220006,0,F-1-0-230034-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220007,1,F-1-0-220027-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220008,0,F-1-0-220050-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220009,0,F-1-0-230026-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230001,0,F-1-0-230037-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230002,0,F-1-0-230027-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230002,1,F-1-0-230027-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230003,0,F-1-0-230029-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230004,0,F-1-0-240037-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230005,1,F-1-0-230036-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230006,1,F-1-0-230035-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240001,0,F-1-0-240038-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,240002,0,F-1-0-240036-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,210001,0,F-1-0-220029-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220010,0,F-1-0-220026-0, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220011,0,F-1-0-230001-0, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220012,0,F-1-0-230001-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220008,1,F-1-0-220050-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230007,0,F-1-0-230025-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230008,1,F-1-0-220030-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220009,1,F-1-0-230026-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,220006,1,F-1-0-230034-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230009,1,F-1-0-230033-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230010,0,F-1-0-230028-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220013,0,F-1-0-220028-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230001,1,F-1-0-230037-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230007,1,F-1-0-230025-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220011,1,F-1-0-230001-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220012,1,F-1-0-230001-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,230011,0,F-1-0-230002-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230005,0,F-1-0-230036-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220007,0,F-1-0-220027-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220010,1,F-1-0-220026-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,210001,1,F-1-0-220029-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,220013,1,F-1-0-220028-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220001,1,F-1-0-220002-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,220005,0,F-1-0-220003-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230008,0,F-1-0-220030-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230009,0,F-1-0-230033-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230003,1,F-1-0-230029-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,230011,1,F-1-0-230002-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,230010,1,F-1-0-230028-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230006,0,F-1-0-230035-0, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,240003,0,F-1-0-240035-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,230004,1,F-1-0-240037-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,240003,1,F-1-0-240035-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240004,0,F-1-0-240040-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240005,0,F-1-0-240039-0, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,240006,0,F-1-0-250002-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240005,1,F-1-0-240039-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240004,1,F-1-0-240040-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240005,2,F-1-0-240039-2, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,250001,0,F-1-0-250015-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,250002,0,F-1-0-250016-0, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240001,1,F-1-0-240038-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,250001,1,F-1-0-250015-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,250002,1,F-1-0-250016-1, 	(11-SEP-2025 19:20:31)
2,21,B,1,0,240006,1,F-1-0-250002-1, 	(11-SEP-2025 19:20:31)
2,234,B,1,0,240002,1,F-1-0-240036-1, 	(11-SEP-2025 19:20:31)
2,276,B,1,0,240005,3,F-1-0-240039-3, 	(11-SEP-2025 19:20:31)

TOTAL DATA IN EXCEL : ,68,, 	(11-SEP-2025 19:20:31)
 

TOTAL DATA INSERTED : ,68,, 	(11-SEP-2025 19:20:31)
 

TOTAL SKIPPED DATA ,0,, 	(11-SEP-2025 19:20:31)
 
<<END>>,<<FMS_SVC_CONT_MAP>>,, 	(11-SEP-2025 19:20:31)
 
