

<<START>>,<<FMS_LINK_CHECKPOST_PLANT>>,,,,, 	(30-MAY-2025 10:17:16)
 
COMPANY_CD,COUNTERPARTY_CD,ENTITY_TYPE,PLANT_SEQ_NO,CHKPOST_CD,EFF_DT,TIMESTAMP,
2,263,C,'1' , 40,01/07/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,234,C,'1' , 41,01/07/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,220,C,'1' , 41,01/07/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,21,C,'3' , 41,01/07/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)	 (Not Inserted)
2,206,C,'1' , 41,01/07/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,206,C,'1' , 41,01/07/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)	 (Not Inserted)
2,197,C,'1' , 40,16/08/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,255,C,'1' , 40,01/10/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,263,C,'1' , 40,04/10/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,197,C,'1' , 40,01/01/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,263,C,'1' , 40,01/01/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,263,C,'1' , 40,09/02/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,190,C,'2' , 7,10/02/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)	 (Not Inserted)
2,47,C,'1' , 18,21/02/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,220,C,'1' , 41,25/03/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,238,C,'1' , 41,01/04/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,52,C,'4' , 41,01/04/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,167,C,'1' , 7,22/04/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,277,C,'1' , 41,01/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,220,C,'1' , 41,01/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,238,C,'1' , 41,01/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,47,C,'1' , 18,09/08/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,197,C,'1' , 40,11/12/2023 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,198,C,'1' , 40,26/01/2024 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,34,C,'1' , 41,01/09/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)	 (Not Inserted)
2,263,C,'1' , 40,01/09/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,47,C,'1' , 18,27/09/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,197,C,'1' , 40,01/11/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,263,C,'1' , 40,01/11/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,208,C,'1' , 41,16/11/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
2,227,C,'1' , 40,28/11/2022 00:00:00 ,  	(30-MAY-2025 10:17:16)
