

<<START>>,<<FMS_METER_MST>>,,,,, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 1 , R , 3, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 2 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 2 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 3 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 3 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 4 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 4 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 5 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 6 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 7 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 7 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 8 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 8 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 9 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,4 , Gail , 9 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,53 , RGPL , 1 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,53 , RGPL , 1 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 1 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 1 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 1 , R , 3, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 2 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 3 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 3 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 4 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 4 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 5 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 5 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 6 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 6 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 7 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 8 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 8 , R , 2, 	(18-FEB-2025 11:33:16)
2 ,168 , GSIGLIM , 1 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,168 , GSIGLIM , 2 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,134 , GSINLIM , 1 , R , 1, 	(18-FEB-2025 11:33:16)
2 ,134 , GSINLIM , 1 , R , 2, 	(18-FEB-2025 11:33:16)
2 , , PIL-Haz , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 ,45 , GSPL , 0 , R , 0, 	(18-FEB-2025 11:33:16)
2 , , GAIL-Haz , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PLLD , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , D6Gadimoga , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PANKGA , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PMSKGA , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PBHDGS , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PBHDGS , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PURCHASE-T , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-ANK , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PHUCBM , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-MSK , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARK-BHD , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PARKPHUCBM , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 , , PMSKP , 0 , R , 0, 	(18-FEB-2025 11:33:16)	 (Not Inserted)
2 ,4 , Gail , 0 , R , 0, 	(18-FEB-2025 11:33:16)
2 ,53 , RGPL , 0 , R , 0, 	(18-FEB-2025 11:33:16)
2 ,29 , PipeInfra , 0 , R , 0, 	(18-FEB-2025 11:33:16)
2 ,168 , GSIGLIM , 0 , R , 0, 	(18-FEB-2025 11:33:16)
2 ,134 , GSINLIM , 0 , R , 0, 	(18-FEB-2025 11:33:16)

TOTAL DATA IN EXCEL : ,95,,,,, 	(18-FEB-2025 11:33:16)
 

TOTAL DATA INSERTED : ,49,,,,, 	(18-FEB-2025 11:33:16)
 

TOTAL SKIPPED DATA ,46,,,,, 	(18-FEB-2025 11:33:16)
 
<<END>>,<<FMS_METER_MST>>,,,,, 	(18-FEB-2025 11:33:16)
 
