

CIVIL MISCELLANEOUS,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(04-APR-2025 11:19:29)	 (Not Inserted)
LDC,, 	(04-APR-2025 11:19:29)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,97, 	(04-APR-2025 11:19:29)
 

TOTAL DATA INSERTED : ,0, 	(04-APR-2025 11:19:29)
 

TOTAL SKIPPED DATA ,97, 	(04-APR-2025 11:19:29)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(04-APR-2025 11:19:29)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(04-APR-2025 11:19:29)
 
ABBR,,TIMESTAMP

TOTAL DATA IN EXCEL : ,97, 	(04-APR-2025 11:19:29)
 

TOTAL DATA INSERTED : ,0, 	(04-APR-2025 11:19:29)
 

TOTAL SKIPPED DATA ,0, 	(04-APR-2025 11:19:29)
 
<<END>>,<<FMS_SECTOR_DTL>>, 	(04-APR-2025 11:19:29)
 
