

<<START>>,<<FMS_SECURITY_DEAL_MAP(P)>>,,,, 	(18-JUL-2025 15:11:35)
 
COMPANY_CD,CD,SEQ_NO,MAP_SEQ_NO,SEQ_REV_NO,GX,TIMESTAMP
2, 278:SEMTEXP, 4, 5, 0 ,K,SEMTEXP-0-1-T-23039-0,23036,T, 	(18-JUL-2025 15:11:36)
2, 278:SEMTEXP, 5, 5, 0 ,K,SEMTEXP-0-1-D-23026-0,23024,D, 	(18-JUL-2025 15:11:36)
2, 278:SEMTEXP, 6, 5, 0 ,K,SEMTEXP-0-1-D-23029-0,23027,D, 	(18-JUL-2025 15:11:36)
2, 116:SELNG, 1, 1, 0 ,K,SELNG--1-N-22024-,22013,N, 	(18-JUL-2025 15:11:36)
2, 116:SELNG, 2, 1, 0 ,K,SELNG--1-N-22024-,22013,N, 	(18-JUL-2025 15:11:36)
2, 116:SELNG, 3, 1, 0 ,K,SELNG--1-N-21063-,21023,N, 	(18-JUL-2025 15:11:36)
2, 116:SELNG, 4, 1, 0 ,K,SELNG--1-N-22013-,22002,N, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 1, 5, 0 ,K,RIL-2-1-D-23012-21,23012,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 2, 5, 0 ,K,RIL-3-2-D-23020-13,23018,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 3, 5, 0 ,K,RIL-3-1-D-23019-13,23018,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 4, 5, 0 ,K,RIL-4-1-D-23038-4,23035,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 5, 2, 0 ,K,RIL-2-2-D-23013-21,23012,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 6, 2, 0 ,K,RIL-5-1-D-24014-1,24012,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 7, 2, 0 ,K,RIL-0-4-D-22004-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 8, 1, 0 ,K,RIL-0-5-D-22005-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 9, 1, 0 ,K,RIL-0-6-D-22006-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 10, 1, 0 ,K,RIL-0-7-D-22007-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 11, 1, 0 ,K,RIL-1-8-D-22008-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 12, 1, 0 ,K,RIL-1-9-D-22009-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 13, 1, 0 ,K,RIL-0-3-D-22003-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 14, 1, 0 ,K,RIL-0-2-D-22002-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 15, 1, 0 ,K,RIL-0-1-D-22001-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 16, 1, 0 ,K,RIL-1-12-D-22012-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 17, 1, 0 ,K,RIL-1-11-D-22011-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 18, 1, 0 ,K,RIL-1-10-D-22010-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 19, 1, 0 ,K,RIL-1-9-D-22009-0,22001,D, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 20, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 21, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 22, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 23, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 24, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 25, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 26, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 27, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 28, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 29, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 30, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 31, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 32, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 33, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 34, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 35, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 36, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 37, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 38, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 39, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 40, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 41, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 42, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 43, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 44, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 45, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 46, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 47, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 48, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:RIL, 49, 1, 0 ,K,RIL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 50, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 51, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 52, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 53, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 54, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 55, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 56, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 57, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 58, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 1:IGX, 59, 1, 0 ,K,IGX:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 53:RGPL, 1, 1, 0 ,K,RGPL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 42:RCF, 1, 2, 0 ,K,RCF:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 1, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 2, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 3, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 4, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 5, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 6, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 7, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 8, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 9, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 10, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 11, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 12, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 13, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 14, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 29:PipeInfra, 15, 1, 0 ,K,PipeInfra:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 57:PPL, 1, 2, 0 ,K,PPL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 41:OPAL, 1, 2, 0 ,K,OPAL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 41:OPAL, 2, 2, 0 ,K,OPAL:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 1, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 2, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 3, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 4, 1, 0 ,K,ONGC:0,22001,0, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 5, 1, 0 ,K,ONGC-3-1-D-23001-0,23001,D, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 6, 1, 0 ,K,ONGC-0-1-D-22015-0,22004,D, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 7, 1, 0 ,K,ONGC-1-1-D-23018-0,23017,D, 	(18-JUL-2025 15:11:36)
2, 51:ONGC, 8, 1, 0 ,K,ONGC:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 30:NFL, 1, 2, 0 ,K,NFL:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 30:NFL, 2, 2, 0 ,K,NFL:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 92:NEL, 1, 2, 0 ,K,NEL:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 92:NEL, 2, 2, 0 ,K,NEL:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 34:MINDA, 1, 8, 0 ,K,MINDA:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 2:MGL, 1, 2, 0 ,K,MGL:null,23017,0, 	(18-JUL-2025 15:11:36)
2, 2:MGL, 2, 2, 0 ,K,MGL:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 6:KRIBHCO, 1, 2, 0 ,K,KRIBHCO:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 6:KRIBHCO, 2, 2, 0 ,K,KRIBHCO:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 6:KRIBHCO, 3, 2, 0 ,K,KRIBHCO:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 32:KFL, 1, 2, 0 ,K,KFL:null,23017,0, 	(18-JUL-2025 15:11:36)
2, 32:KFL, 2, 2, 0 ,K,KFL:0,23017,0, 	(18-JUL-2025 15:11:36)
2, 64:IGSPL, 1, 1, 0 ,K,IGSPL-1-1-D-23030-2,23028,D, 	(18-JUL-2025 15:11:36)
2, 13:IGL, 1, 2, 0 ,K,IGL:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 13:IGL, 2, 2, 0 ,K,IGL:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 13:IGL, 3, 2, 0 ,K,IGL:null,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 1, 2, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 2, 2, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 3, 2, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 4, 2, 0 ,K,IFFCO:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 5, 2, 0 ,K,IFFCO:null,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 6, 2, 0 ,K,IFFCO:null,23028,0, 	(18-JUL-2025 15:11:36)
2, 27:IFFCO, 7, 2, 0 ,K,IFFCO:null,23028,0, 	(18-JUL-2025 15:11:36)
2, 107:IDOINVA, 1, 1, 0 ,K,IDOINVA:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 107:IDOINVA, 2, 1, 0 ,K,IDOINVA:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 107:IDOINVA, 3, 1, 0 ,K,IDOINVA:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 31:HSIL, 1, 2, 0 ,K,HSIL:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 31:HSIL, 2, 2, 0 ,K,HSIL:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 1, 5, 0 ,K,HPCL:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 2, 5, 0 ,K,HPCL:0,23028,0, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 3, 5, 0 ,K,HPCL-0-1-D-22014-0,22003,D, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 4, 5, 0 ,K,HPCL-0-1-D-22020-0,22009,D, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 5, 5, 0 ,K,HPCL-0-1-D-22020-0,22009,D, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 6, 5, 0 ,K,HPCL--1-N-22019-,22008,N, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 7, 5, 0 ,K,HPCL-0-1-D-22017-0,22006,D, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 8, 5, 0 ,K,HPCL-0-1-D-22018-0,22007,D, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 9, 2, 0 ,K,HPCL-1-1-D-22021-0,22010,D, 	(18-JUL-2025 15:11:36)
2, 15:HPCL, 10, 2, 0 ,K,HPCL--1-N-22019-,22008,N, 	(18-JUL-2025 15:11:36)
2, 81:HOECLTD, 1, 1, 0 ,K,HOECLTD:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 81:HOECLTD, 2, 1, 0 ,K,HOECLTD:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 37:HCGD-B, 1, 2, 0 ,K,HCGD-B:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 37:HCGD-B, 2, 2, 0 ,K,HCGD-B:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 37:HCGD-B, 3, 2, 0 ,K,HCGD-B:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 24:HCG, 1, 2, 0 ,K,HCG:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 1, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 2, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 3, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 4, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 5, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 6, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 7, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 8, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
2, 4:Gail, 9, 2, 0 ,K,Gail:0,22008,0, 	(18-JUL-2025 15:11:36)
