

<<START>>,<<FMS_COMPANY_OWNER_MST>>,,, 	(17-FEB-2025 15:57:45)
 
COMPANY_CD,CD,ABBR,EFF_DT,TIMESTAMP
2 , 2,SEIPL , 01/01/2003 00:00:00, 	(17-FEB-2025 15:57:45)
2 , 2,SEIPL , 11/10/2022 00:00:00, 	(17-FEB-2025 15:57:45)

TOTAL DATA IN EXCEL : ,2,,, 	(17-FEB-2025 15:57:45)
 

TOTAL DATA INSERTED :, 2,,, 	(17-FEB-2025 15:57:45)
 

TOTAL SKIPPED DATA ,0,,, 	(17-FEB-2025 15:57:45)
 
<<END>>,<<FMS_COMPANY_OWNER_MST>>,,, 	(17-FEB-2025 15:57:45)
 

<<START>>,<<FMS_COMPANY_OWNER_ADDR_MST>>,,, 	(17-FEB-2025 15:57:45)
 
COMPANY_CD,ABBR,ADDR_TYPE,EFF_DT,TIMESTAMP,
2  ,SEIPL , B , 26/11/2020 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2  ,SEIPL , C , 26/11/2020 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2  ,SEIPL , R , 26/11/2020 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,3,,, 	(17-FEB-2025 15:57:45)
 

TOTAL DATA INSERTED : ,0,,, 	(17-FEB-2025 15:57:45)
 

TOTAL SKIPPED DATA ,3,,, 	(17-FEB-2025 15:57:45)
 
<<END>>,<<FMS_COMPANY_OWNER_ADDR_MST>>,,, 	(17-FEB-2025 15:57:45)
 

<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,,, 	(17-FEB-2025 15:57:45)
 
COMPANY_CD,CD,ABBR,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP,
2 , 16 , JSW , C , 1 , 31/05/2011 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 16 , JSW , C , 1 , 25/11/2014 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 17 , BGL , C , 1 , 28/07/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 17 , BGL , C , 1 , 28/07/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 18 , GSFC , C , 1 , 14/03/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 18 , GSFC , C , 2 , 01/01/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 228 , H-Energy , C , 1 , 14/11/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 228 , H-Energy , C , 2 , 14/11/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 160 , SIMPL , C , 1 , 14/11/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 160 , SIMPL , C , 2 , 14/11/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 160 , SIMPL , C , 1 , 14/11/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 160 , SIMPL , C , 2 , 14/11/2016 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 19 , ATGL , C , 1 , 13/01/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 19 , ATGL , C , 2 , 06/02/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 19 , ATGL , C , 1 , 13/01/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 19 , ATGL , C , 2 , 06/02/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 20 , AMNS , C , 1 , 26/08/2006 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 20 , AMNS , C , 1 , 18/01/2012 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 20 , AMNS , C , 2 , 18/01/2012 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 20 , AMNS , C , 4 , 01/12/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 20 , AMNS , T , 1 , 01/01/2020 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 20 , AMNS , T , 2 , 01/10/2022 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 1 , 28/07/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 1 , 01/05/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 1 , 16/05/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 2 , 28/07/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 3 , 28/07/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 3 , 16/10/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 4 , 01/03/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 4 , 01/05/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 5 , 01/03/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 6 , 01/05/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 7 , 01/06/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 8 , 01/07/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 9 , 01/07/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 10 , 15/02/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 10 , 01/05/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , C , 11 , 01/04/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , T , 1 , 01/09/2022 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , T , 2 , 01/09/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , T , 3 , 01/09/2024 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 154 , SEMTIPL , T , 4 , 01/01/2025 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 21 , SGIPL , C , 1 , 28/11/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 21 , SGIPL , C , 3 , 28/11/2017 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 21 , SGIPL , C , 5 , 23/03/2020 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 22 , VGL , C , 1 , 03/07/2019 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 22 , VGL , C , 2 , 03/07/2019 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 22 , VGL , C , 3 , 20/12/2023 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
2 , 23 , PGPGPL , C , 1 , 04/10/2019 00:00:00, 	(17-FEB-2025 15:57:45)	 (Not Inserted)
