

<<START>>,<<FMS_SECURITY_DEAL_MAP(P)>>,,,, 	(18-JUL-2025 16:40:54)
2, 50:GNFC, 2, 1, 0 ,K,GNFC:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 54:GFCL, 4, 1, 0 ,K,GFCL:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 54:GFCL, 5, 1, 0 ,K,GFCL:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 54:GFCL, 6, 1, 0 ,K,GFCL:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 68:GAMALTD, 4, 1, 0 ,K,GAMALTD:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 68:GAMALTD, 5, 1, 0 ,K,GAMALTD:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 68:GAMALTD, 6, 1, 0 ,K,GAMALTD:0,22008,0, 	(18-JUL-2025 16:40:55)
2, 166:ESSAREX, 3, 1, 0 ,K,ESSAREX-1-1-T-23033-5,23031,T, 	(18-JUL-2025 16:40:55)
2, 166:ESSAREX, 4, 1, 0 ,K,ESSAREX:0,23031,0, 	(18-JUL-2025 16:40:55)
2, 166:ESSAREX, 5, 1, 0 ,K,ESSAREX-1-1-T-23027-5,23025,T, 	(18-JUL-2025 16:40:55)
2, 166:ESSAREX, 6, 1, 0 ,K,ESSAREX-2-1-T-24005-1,24003,T, 	(18-JUL-2025 16:40:55)
2, 55:CPL, 2, 1, 0 ,K,CPL:0,24003,0, 	(18-JUL-2025 16:40:55)
2, 159:CAIRENH, 2, 1, 0 ,K,CAIRENH:0,24003,0, 	(18-JUL-2025 16:40:55)
2, 159:CAIRENH, 3, 1, 0 ,K,CAIRENH-1-1-D-23017-1,23016,D, 	(18-JUL-2025 16:40:55)
2, 43:BP, 17, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 18, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 19, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 20, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 21, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 22, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 23, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 24, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 25, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 26, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 27, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 28, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 29, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 30, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 31, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 43:BP, 32, 1, 0 ,K,BP:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 40:ATPL, 2, 1, 0 ,K,ATPL:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 19:ATGL, 2, 1, 0 ,K,ATGL:0,23016,0, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 1, 1, 0 ,K,AMNS-7-1-T-23037-1,23034,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 2, 1, 0 ,K,AMNS-7-1-T-23037-1,23034,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 3, 1, 0 ,K,AMNS-8-1-T-24001-1,24001,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 4, 1, 0 ,K,AMNS-8-1-T-24001-1,24001,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 5, 1, 0 ,K,AMNS-9-1-T-25002-0,25002,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 6, 1, 0 ,K,AMNS--1-N-22022-,22011,N, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 7, 1, 0 ,K,AMNS--1-N-22028-,22016,N, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 8, 1, 0 ,K,AMNS-2-1-D-22033-2,22021,D, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 9, 1, 0 ,K,AMNS-3-1-T-22036-1,22024,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 10, 1, 0 ,K,AMNS-1-1-T-22023-0,22012,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 11, 1, 0 ,K,AMNS-4-1-T-23002-1,23002,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 12, 1, 0 ,K,AMNS-8-1-T-24001-1,24001,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 13, 1, 0 ,K,AMNS-6-1-T-23031-0,23029,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 14, 1, 0 ,K,AMNS-5-1-T-23032-0,23030,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 15, 1, 0 ,K,AMNS-8-1-T-24001-1,24001,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 16, 1, 0 ,K,AMNS-8-1-T-24001-1,24001,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 17, 1, 0 ,K,AMNS-8-1-T-24001-1,24001,T, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 18, 1, 0 ,K,AMNS-0-1-D-22016-0,22005,D, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 19, 1, 0 ,K,AMNS--1-N-21065-,21025,N, 	(18-JUL-2025 16:40:55)
2, 20:AMNS, 20, 1, 0 ,K,AMNS--1-N-21064-,21024,N, 	(18-JUL-2025 16:40:55)
2, 8:AIGL, 4, 1, 0 ,K,AIGL:0,21024,0, 	(18-JUL-2025 16:40:55)
2, 8:AIGL, 5, 1, 0 ,K,AIGL:0,21024,0, 	(18-JUL-2025 16:40:55)
2, 8:AIGL, 6, 1, 0 ,K,AIGL:0,21024,0, 	(18-JUL-2025 16:40:55)

TOTAL DATA IN EXCEL : 292 	(18-JUL-2025 16:40:55)
 

TOTAL DATA INSERTED : 292 	(18-JUL-2025 16:40:55)
 

TOTAL SKIPPED DATA 0 	(18-JUL-2025 16:40:55)
 
<<END>><<FMS_SECURITY_DEAL_MAP(P)>> 	(18-JUL-2025 16:40:55)
 
