

<<START>>,<<FMS_TRADER_CONT_BU>>,,,,,, 	(15-JUL-2025 12:52:05)
 
COMNPANY_CD,CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP
2,1, 0, 0,823045, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823046, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823047, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823048, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823049, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823050, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823051, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823052, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823016, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823017, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823018, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823019, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823020, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823021, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823022, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823023, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823024, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823025, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823026, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823027, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823028, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823029, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823030, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823031, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823032, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823033, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823034, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823035, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823036, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823037, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823038, 2,D, 	(15-JUL-2025 12:52:05)
2,1, 0, 0,823039, 2,D, 	(15-JUL-2025 12:52:05)
