

<<START>>,<<FMS_COUNTERPARTY_MST>>,, 	(28-FEB-2025 14:37:47)
13 , IGL,04/02/2011 00:00:00, 	(28-FEB-2025 14:37:48)
14 , BPCL,24/07/2014 00:00:00, 	(28-FEB-2025 14:37:48)
269 , TEL,06/08/2014 00:00:00, 	(28-FEB-2025 14:37:48)
15 , HPCL,17/11/2010 00:00:00, 	(28-FEB-2025 14:37:48)
16 , JSW,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
16 , JSW,25/11/2014 00:00:00, 	(28-FEB-2025 14:37:48)
17 , BGL,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
17 , BGL,28/07/2016 00:00:00, 	(28-FEB-2025 14:37:48)
18 , GSFC,14/03/2016 00:00:00, 	(28-FEB-2025 14:37:48)
228 , H-Energy,14/11/2016 00:00:00, 	(28-FEB-2025 14:37:48)
160 , SIMPL,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
160 , SIMPL,14/11/2016 00:00:00, 	(28-FEB-2025 14:37:48)
19 , ATGL,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
19 , ATGL,13/01/2017 00:00:00, 	(28-FEB-2025 14:37:48)
20 , AMNS,26/08/2006 00:00:00, 	(28-FEB-2025 14:37:48)
 , SEMTPL,28/07/2017 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
21 , SGIPL,28/11/2017 00:00:00, 	(28-FEB-2025 14:37:48)
22 , VGL,03/07/2019 00:00:00, 	(28-FEB-2025 14:37:48)
23 , PGPGPL,28/04/2021 00:00:00, 	(28-FEB-2025 14:37:48)
23 , PGPGPL,01/04/2021 00:00:00, 	(28-FEB-2025 14:37:48)
 , PGPL,04/10/2019 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
24 , HCG,02/12/2019 00:00:00, 	(28-FEB-2025 14:37:48)
25 , GGL,09/12/2019 00:00:00, 	(28-FEB-2025 14:37:48)
26 , CFC,01/01/2020 00:00:00, 	(28-FEB-2025 14:37:48)
27 , IFFCO,01/01/2020 00:00:00, 	(28-FEB-2025 14:37:48)
28 , HGL-RLNG,01/02/2020 00:00:00, 	(28-FEB-2025 14:37:48)
29 , PipeInfra,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
29 , PipeInfra,01/01/2020 00:00:00, 	(28-FEB-2025 14:37:48)
30 , NFL,01/05/2020 00:00:00, 	(28-FEB-2025 14:37:48)
31 , HSIL,01/05/2020 00:00:00, 	(28-FEB-2025 14:37:48)
 , VVF,01/05/2020 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
32 , KFL,23/07/2020 00:00:00, 	(28-FEB-2025 14:37:48)
197 , BIL,25/06/2020 00:00:00, 	(28-FEB-2025 14:37:48)
254 , RIPL,19/11/2020 00:00:00, 	(28-FEB-2025 14:37:48)
207 , CP,15/10/2020 00:00:00, 	(28-FEB-2025 14:37:48)
 , HHFG DLNG,26/10/2020 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
187 , VIDUWIL,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)
33 , AGP CGD,25/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)
34 , MINDA,29/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)
238 , LEIPL,04/11/2020 00:00:00, 	(28-FEB-2025 14:37:48)
35 , SCHOTT,24/02/2020 00:00:00, 	(28-FEB-2025 14:37:48)
36 , HIL,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)
37 , HCGD-B,01/04/2021 00:00:00, 	(28-FEB-2025 14:37:48)
198 , BIPL,21/07/2020 00:00:00, 	(28-FEB-2025 14:37:48)
220 , EXXARO,23/06/2021 00:00:00, 	(28-FEB-2025 14:37:48)
220 , EXXARO,29/05/2021 00:00:00, 	(28-FEB-2025 14:37:48)
257 , STVPL,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
257 , STVPL,18/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)
233 , JGPL,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
233 , JGPL,18/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)
279 , WALLCERA,17/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)
193 , ASTIS,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
193 , ASTIS,17/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)
109 , PROTON,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
109 , PROTON,16/06/2021 00:00:00, 	(28-FEB-2025 14:37:48)
109 , PROTON,16/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)
192 , ANTIQUE,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
192 , ANTIQUE,16/06/2021 00:00:00, 	(28-FEB-2025 14:37:48)
192 , ANTIQUE,16/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)
 , ACER,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , ACER,16/06/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , ACER,16/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
38 , KAJARIA,30/11/2020 00:00:00, 	(28-FEB-2025 14:37:48)
222 , GASGROWS,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
222 , GASGROWS,07/05/2020 00:00:00, 	(28-FEB-2025 14:37:48)
39 , SISECAM,09/06/2021 00:00:00, 	(28-FEB-2025 14:37:48)
40 , ATPL,17/12/2020 00:00:00, 	(28-FEB-2025 14:37:48)
41 , OPAL,28/07/2021 00:00:00, 	(28-FEB-2025 14:37:48)
234 , JKPAPER,02/08/2021 00:00:00, 	(28-FEB-2025 14:37:48)
263 , STL,25/08/2021 00:00:00, 	(28-FEB-2025 14:37:48)
273 , UEPL,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
273 , UEPL,03/09/2021 00:00:00, 	(28-FEB-2025 14:37:48)
206 , CELLO,01/12/2021 00:00:00, 	(28-FEB-2025 14:37:48)
204 , CALDERYS,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
204 , CALDERYS,20/12/2021 00:00:00, 	(28-FEB-2025 14:37:48)
42 , RCF,30/12/2021 00:00:00, 	(28-FEB-2025 14:37:48)
201 , BWRL,25/01/2022 00:00:00, 	(28-FEB-2025 14:37:48)
235 , KRYO,11/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
235 , KRYO,31/01/2022 00:00:00, 	(28-FEB-2025 14:37:48)
276 , VIRGO,12/02/2022 00:00:00, 	(28-FEB-2025 14:37:48)
196 , BLPL,02/03/2022 00:00:00, 	(28-FEB-2025 14:37:48)
223 , GIPSKARTON,24/03/2022 00:00:00, 	(28-FEB-2025 14:37:48)
270 , TGPL,27/04/2005 00:00:00, 	(28-FEB-2025 14:37:48)
116 , SELNG,29/04/2005 00:00:00, 	(28-FEB-2025 14:37:48)
256 , SITME,20/10/2008 00:00:00, 	(28-FEB-2025 14:37:48)
 , DT,01/04/2005 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
268 , ThirdParty,01/03/2012 00:00:00, 	(28-FEB-2025 14:37:48)
 , Gunvor ,10/02/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , RIL-D6,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , BP ,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , AMNS-T,01/01/2019 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , RIL-CBM,25/03/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
226 , HPPL,01/07/2017 00:00:00, 	(28-FEB-2025 14:37:48)
 , PIL-Haz,23/03/2018 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
45 , GSPL,21/04/2006 00:00:00, 	(28-FEB-2025 14:37:48)
 , GAIL-Haz,08/03/2007 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PLLD,01/01/2020 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , D6Gadimoga,01/03/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PANKGA,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PMSKGA,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PBHDGS,01/01/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PURCHASE-T,01/10/2021 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PARK-ANK,01/02/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PHUCBM,31/03/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PARK-MSK,19/04/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PARK-BHD,19/04/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , PARKPHUCBM,19/04/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
46 , TGLPL,29/04/2022 00:00:00, 	(28-FEB-2025 14:37:48)
47 , TGBPL,29/04/2022 00:00:00, 	(28-FEB-2025 14:37:48)
48 , BGEPL,29/04/2022 00:00:00, 	(28-FEB-2025 14:37:48)
231 , IMCL,12/05/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , PMSKP,13/05/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
49 , VVF India,14/05/2022 00:00:00, 	(28-FEB-2025 14:37:48)
50 , GNFC,24/05/2022 00:00:00, 	(28-FEB-2025 14:37:48)
140 , MEGHHQX,02/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)
51 , ONGC,07/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)
52 , GLIL,07/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)
272 , UGEL,09/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)
255 , SGI-AP,27/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , IGX,29/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , IGX,30/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , IGX,29/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
53 , RGPL,29/06/2022 00:00:00, 	(28-FEB-2025 14:37:48)
224 , GTIPL,01/07/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , GSPL-C,12/07/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
117 , PEPL,13/07/2022 00:00:00, 	(28-FEB-2025 14:37:48)
54 , GFCL,14/07/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , DERL,16/08/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
55 , CPL,16/08/2022 00:00:00, 	(28-FEB-2025 14:37:48)
56 , IRM,07/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
56 , IRM,24/08/2022 00:00:00, 	(28-FEB-2025 14:37:48)
57 , PPL,26/08/2022 00:00:00, 	(28-FEB-2025 14:37:48)
58 , YARALTD,06/09/2022 00:00:00, 	(28-FEB-2025 14:37:48)
59 , INPEROX,13/09/2022 00:00:00, 	(28-FEB-2025 14:37:48)
60 , RAFECHL,28/09/2022 00:00:00, 	(28-FEB-2025 14:37:48)
124 , MGRPL,07/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
124 , MGRPL,01/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
208 , CNTENKA,17/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
61 , EFSPL,25/10/2022 00:00:00, 	(28-FEB-2025 14:37:48)
62 , WELSMEL,16/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)
158 , HINDURV,17/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , DONOTUSE,21/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , DONOTUSE,17/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
227 , HCGPUTE,18/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)
63 , GOAGLSF,25/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)
64 , IGSPL,16/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
64 , IGSPL,25/11/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , ELAWPRC,02/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
65 , PEFORCV,08/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , AARVKRO,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
189 , ACOVIED,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
191 , ANTIQAC,15/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
191 , ANTIQAC,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
141 , ASIANPL,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
194 , AVLCRMC,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
195 , AXWELLG,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
199 , BEGLASS,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
200 , BHRTFRG,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
66 , BHEL,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
203 , BICELLO,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
143 , CAPAROE,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
209 , CLVTPVL,12/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
210 , COMFIND,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
67 , DCMSHRI,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
138 , DEENOVK,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
212 , DHARLTD,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
213 , DURAVIT,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
214 , DURZGRA,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
216 , ERACLTD,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
219 , EURILTD,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
221 , FIORGPL,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
68 , GAMALTD,13/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
69 , GFLLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
70 , GMRLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
71 , GOCOPRL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
111 , GLDIDLI,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
72 , GJALCHEM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
73 , GUJASZR,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
74 , GUJAGAS,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
75 , JOHNTBK,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
76 , HARYCIT,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
77 , HCGKCEP,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
78 , HEGLPWN,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
79 , HEROMO,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
80 , HICOTED,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
81 , HOECLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
82 , HINZINC,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
144 , HINAGIL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
83 , HINSPEC,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
229 , HOLLFIE,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
84 , HNDMTRS,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
147 , HPOIGAS,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
230 , ICONGLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
148 , INDOLPL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
85 , GASJIND,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
236 , LEXGRAN,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
239 , LOCEPRI,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
240 , LORVTPL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
241 , LUMGLAP,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
86 , MANIKAR,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
87 , MARUTIS,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
243 , MAXGLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
244 , LLPMILL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
245 , LTDMILG,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
246 , MILVITL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
88 , MINDLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
89 , MMPINDL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
247 , MOINLIM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
248 , MOSPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
90 , NAGAFCL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
91 , NARMADA,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
166 , ESSAREX,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
92 , NEL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
250 , OWECORN,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
93 , PETNETLNG,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
94 , PRISM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
252 , QUCELTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
253 , RAMALIM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
 , RANDSIN,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
139 , SASANPO,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
95 , SENTOVI,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
96 , SHOLAGA,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
97 , SHREELI,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
258 , SIVPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
259 , SIYARAM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
260 , SIYALIM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
261 , SOLIMIC,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
262 , SPARVIT,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
98 , SRAVANT,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
142 , SGIPLTD,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
266 , TAURLES,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
267 , TTRPKPR,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
99 , THERLIM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
100 , THGBGPL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
145 , THYESTP,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
101 , TORRAUI,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
274 , VARGRAN,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
275 , VENIRAM,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
102 , VITOLAPL,14/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
103 , IOCL,16/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
169 , INGASTD,28/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
104 , TASTELI,30/12/2022 00:00:00, 	(28-FEB-2025 14:37:48)
105 , HMEL,04/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
211 , DIL,01/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
162 , BOROREN,05/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
151 , KINGASP,13/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
163 , CEUPGAS,13/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
173 , KNPFCHL,18/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
106 , RATNAGI,19/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
180 , RAJRAIR,19/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
107 , IDOINVA,27/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)
107 , IDOINVA,27/01/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , TRILEGL,03/02/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
190 , AGPCGIN,09/02/2023 00:00:00, 	(28-FEB-2025 14:37:48)
176 , NESTLIN,10/02/2023 00:00:00, 	(28-FEB-2025 14:37:48)
110 , SITMEFZ,08/03/2023 00:00:00, 	(28-FEB-2025 14:37:48)
188 , VISHPRI,14/03/2023 00:00:00, 	(28-FEB-2025 14:37:48)
 , NEETMAN,16/03/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
 , SOMANY,16/03/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
202 , BHOGATD,03/04/2023 00:00:00, 	(28-FEB-2025 14:37:48)
186 , VEDALTD,13/04/2023 00:00:00, 	(28-FEB-2025 14:37:48)
277 , VIGASLD,18/04/2023 00:00:00, 	(28-FEB-2025 14:37:48)
167 , GOLDPFG,20/04/2023 00:00:00, 	(28-FEB-2025 14:37:48)
165 , EICLLTD,27/04/2023 00:00:00, 	(28-FEB-2025 14:37:48)
 , CAIRENH ,17/05/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
168 , GSIGLIM,18/05/2023 00:00:00, 	(28-FEB-2025 14:37:48)
168 , GSIGLIM,18/05/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
120 , KSHITIJ,26/05/2023 00:00:00, 	(28-FEB-2025 14:37:48)
122 , GAILGAS,01/06/2023 00:00:00, 	(28-FEB-2025 14:37:48)
182 , SUDSOME,12/06/2023 00:00:00, 	(28-FEB-2025 14:37:48)
174 , KUTCHCL,20/06/2023 00:00:00, 	(28-FEB-2025 14:37:48)
251 , PIINDUS ,30/06/2023 00:00:00, 	(28-FEB-2025 14:37:48)
278 , SEMTEXP,01/04/2023 00:00:00, 	(28-FEB-2025 14:37:48)
108 , GRINDUS,05/07/2023 00:00:00, 	(28-FEB-2025 14:37:48)
161 , ATCATMO,16/08/2023 00:00:00, 	(28-FEB-2025 14:37:48)
 , POSCO MAHA,29/08/2023 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
181 , SANENER,21/09/2023 00:00:00, 	(28-FEB-2025 14:37:48)
183 , SUMGLAS,27/09/2023 00:00:00, 	(28-FEB-2025 14:37:48)
184 , SVTPLIN,28/09/2023 00:00:00, 	(28-FEB-2025 14:37:48)
112 , SPSSETL1,02/10/2023 00:00:00, 	(28-FEB-2025 14:37:48)
170 , INPOWGL,04/10/2023 00:00:00, 	(28-FEB-2025 14:37:48)
179 , PRPWCRP,05/10/2023 00:00:00, 	(28-FEB-2025 14:37:48)
113 , SIETCO,11/10/2023 00:00:00, 	(28-FEB-2025 14:37:48)
171 , INVPTRO,24/10/2023 00:00:00, 	(28-FEB-2025 14:37:48)
172 , JINDAST,15/12/2023 00:00:00, 	(28-FEB-2025 14:37:48)
123 , AVGL,20/12/2023 00:00:00, 	(28-FEB-2025 14:37:48)
 , MIZGURB,04/01/2024 00:00:00, 	(28-FEB-2025 14:37:48)	 (Not Inserted)
121 , NGPL,19/01/2024 00:00:00, 	(28-FEB-2025 14:37:48)
115 , SILS,21/02/2024 00:00:00, 	(28-FEB-2025 14:37:48)
114 , STASCO,14/02/2024 00:00:00, 	(28-FEB-2025 14:37:48)
119 , ROCKIND,23/02/2024 00:00:00, 	(28-FEB-2025 14:37:48)
177 , NIRMARM,11/03/2024 00:00:00, 	(28-FEB-2025 14:37:48)
175 , MEDCIGA,03/04/2024 00:00:00, 	(28-FEB-2025 14:37:48)
118 , LANCOKO,05/04/2024 00:00:00, 	(28-FEB-2025 14:37:48)
130 , CRMNDEL,01/07/2024 00:00:00, 	(28-FEB-2025 14:37:48)
132 , VERBINL,23/07/2024 00:00:00, 	(28-FEB-2025 14:37:48)
215 , EASTPDC,06/08/2024 00:00:00, 	(28-FEB-2025 14:37:48)
205 , CELLOCP,07/10/2024 00:00:00, 	(28-FEB-2025 14:37:48)
271 , TRIVRPL,07/10/2024 00:00:00, 	(28-FEB-2025 14:37:48)
281 , SEIPLDY,01/10/2024 00:00:00, 	(28-FEB-2025 14:37:48)
237 , LLOYMEN,13/01/2025 00:00:00, 	(28-FEB-2025 14:37:48)
