

2 ,  , DERL , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,55 , CPL , 1, 	(17-FEB-2025 15:33:55)
2 ,56 , IRM , 1, 	(17-FEB-2025 15:33:55)
2 ,57 , PPL , 1, 	(17-FEB-2025 15:33:55)
2 ,58 , YARALTD , 1, 	(17-FEB-2025 15:33:55)
2 ,59 , INPEROX , 1, 	(17-FEB-2025 15:33:55)
2 ,60 , RAFECHL , 1, 	(17-FEB-2025 15:33:55)
2 ,124 , MGRPL , 1, 	(17-FEB-2025 15:33:55)
2 ,124 , MGRPL , 2, 	(17-FEB-2025 15:33:55)
2 ,208 , CNTENKA , 1, 	(17-FEB-2025 15:33:55)
2 ,61 , EFSPL , 1, 	(17-FEB-2025 15:33:55)
2 ,61 , EFSPL , 2, 	(17-FEB-2025 15:33:55)
2 ,158 , HINDURV , 1, 	(17-FEB-2025 15:33:55)
2 ,227 , HCGPUTE , 1, 	(17-FEB-2025 15:33:55)
2 ,63 , GOAGLSF , 1, 	(17-FEB-2025 15:33:55)
2 ,64 , IGSPL , 1, 	(17-FEB-2025 15:33:55)
2 ,64 , IGSPL , 2, 	(17-FEB-2025 15:33:55)
2 ,65 , PEFORCV , 1, 	(17-FEB-2025 15:33:55)
2 ,66 , BHEL , 1, 	(17-FEB-2025 15:33:55)
2 ,210 , COMFIND , 1, 	(17-FEB-2025 15:33:55)
2 ,67 , DCMSHRI , 1, 	(17-FEB-2025 15:33:55)
2 ,81 , HOECLTD , 1, 	(17-FEB-2025 15:33:55)
2 ,81 , HOECLTD , 2, 	(17-FEB-2025 15:33:55)
2 ,144 , HINAGIL , 1, 	(17-FEB-2025 15:33:55)
2 ,147 , HPOIGAS , 1, 	(17-FEB-2025 15:33:55)
2 ,86 , MANIKAR , 1, 	(17-FEB-2025 15:33:55)
2 ,166 , ESSAREX , 1, 	(17-FEB-2025 15:33:55)
2 ,92 , NEL , 1, 	(17-FEB-2025 15:33:55)
2 ,104 , TASTELI , 1, 	(17-FEB-2025 15:33:55)
2 ,105 , HMEL , 1, 	(17-FEB-2025 15:33:55)
2 ,211 , DIL , 1, 	(17-FEB-2025 15:33:55)
2 ,162 , BOROREN , 1, 	(17-FEB-2025 15:33:55)
2 ,151 , KINGASP , 1, 	(17-FEB-2025 15:33:55)
2 ,106 , RATNAGI , 1, 	(17-FEB-2025 15:33:55)
2 ,107 , IDOINVA , 1, 	(17-FEB-2025 15:33:55)
2 , 107 , IDOINVA , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,190 , AGPCGIN , 1, 	(17-FEB-2025 15:33:55)
2 ,176 , NESTLIN , 1, 	(17-FEB-2025 15:33:55)
2 ,110 , SITMEFZ , 1, 	(17-FEB-2025 15:33:55)
2 ,188 , VISHPRI , 1, 	(17-FEB-2025 15:33:55)
2 ,  , SOMANY , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,202 , BHOGATD , 1, 	(17-FEB-2025 15:33:55)
2 ,186 , VEDALTD , 1, 	(17-FEB-2025 15:33:55)
2 ,186 , VEDALTD , 2, 	(17-FEB-2025 15:33:55)
2 ,277 , VIGASLD , 1, 	(17-FEB-2025 15:33:55)
2 ,167 , GOLDPFG , 1, 	(17-FEB-2025 15:33:55)
2 ,  , CAIRENH  , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,168 , GSIGLIM , 1, 	(17-FEB-2025 15:33:55)
2 ,122 , GAILGAS , 1, 	(17-FEB-2025 15:33:55)
2 ,174 , KUTCHCL , 1, 	(17-FEB-2025 15:33:55)
2 ,282 , SEMTEXP , 1, 	(17-FEB-2025 15:33:55)
2 ,282 , SEMTEXP , 2, 	(17-FEB-2025 15:33:55)
2 ,181 , SANENER , 1, 	(17-FEB-2025 15:33:55)
2 ,181 , SANENER , 2, 	(17-FEB-2025 15:33:55)
2 ,183 , SUMGLAS , 1, 	(17-FEB-2025 15:33:55)
2 ,184 , SVTPLIN , 1, 	(17-FEB-2025 15:33:55)
2 ,112 , SPSSETL1 , 1, 	(17-FEB-2025 15:33:55)
2 ,113 , SIETCO , 1, 	(17-FEB-2025 15:33:55)
2 ,  , AGL , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,121 , NGPL , 1, 	(17-FEB-2025 15:33:55)
2 ,115 , SILS , 1, 	(17-FEB-2025 15:33:55)
2 ,114 , STASCO , 1, 	(17-FEB-2025 15:33:55)
2 ,114 , STASCO , 2, 	(17-FEB-2025 15:33:55)
2 ,  , ROCKMAN , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,  , LANCO , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,130 , CRMNDEL , 1, 	(17-FEB-2025 15:33:55)
2 ,281 , SEIPLDY , 1, 	(17-FEB-2025 15:33:55)
2 ,134 , GSINLIM , 1, 	(17-FEB-2025 15:33:55)
2 ,  , JMB , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,  , BOXCO , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,265 , SLPL , 1, 	(17-FEB-2025 15:33:55)
2 , 265 , SLPL , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,232 , JBB , 1, 	(17-FEB-2025 15:33:55)
2 ,  , SGS , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 , 232 , JBB , 1, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
2 ,264 , SSAPL , 1, 	(17-FEB-2025 15:33:55)

TOTAL DATA IN EXCEL : ,195,,, 	(17-FEB-2025 15:33:55)
 

TOTAL DATA INSERTED : ,166,,, 	(17-FEB-2025 15:33:55)
 

TOTAL SKIPPED DATA ,29,,, 	(17-FEB-2025 15:33:55)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(17-FEB-2025 15:33:55)
 

<<START>>,<<FMS_SECTOR_MST>>, 	(17-FEB-2025 15:33:55)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(17-FEB-2025 15:33:55)
ELLECTRICAL/ ELECTRONICS,, 	(17-FEB-2025 15:33:55)
HEAVY MACHINES,, 	(17-FEB-2025 15:33:55)
LIGHT MACHINES,, 	(17-FEB-2025 15:33:55)
AIRCRAFTS,, 	(17-FEB-2025 15:33:55)
SHIPBUILD. & REPAIRS,, 	(17-FEB-2025 15:33:55)
TRUCKS&PASS VEHICALS,, 	(17-FEB-2025 15:33:55)
SCOOTERS ETC,, 	(17-FEB-2025 15:33:55)
HIGH PRESSURE VESSEL,, 	(17-FEB-2025 15:33:55)
MECH. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
STRUCTURAL WORKS,, 	(17-FEB-2025 15:33:55)
IRON & STEEL PLANTS,, 	(17-FEB-2025 15:33:55)
IRON & STEEL REWORKS,, 	(17-FEB-2025 15:33:55)
ALUMINIUM,, 	(17-FEB-2025 15:33:55)
FOUNDRIES/CASTINGS,, 	(17-FEB-2025 15:33:55)
FERROUS ALLOYS,, 	(17-FEB-2025 15:33:55)
METAL. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
CANDLE INDUSTRY,, 	(17-FEB-2025 15:33:55)
MATCHES,, 	(17-FEB-2025 15:33:55)
RUBBER TYRES & TUBES,, 	(17-FEB-2025 15:33:55)
PAPER PRODUCTS,, 	(17-FEB-2025 15:33:55)
INDU ABRASIVES,, 	(17-FEB-2025 15:33:55)
GLASS/CERAMICS ETC,, 	(17-FEB-2025 15:33:55)
PACKING MATERIALS,, 	(17-FEB-2025 15:33:55)
PLASTIC INDUSTRIES,, 	(17-FEB-2025 15:33:55)
LEATHER,, 	(17-FEB-2025 15:33:55)
PROCESSOR,, 	(17-FEB-2025 15:33:55)
TOBACCO PRODUCTS,, 	(17-FEB-2025 15:33:55)
INDUS. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
COTTON MILLS HOSIERY,, 	(17-FEB-2025 15:33:55)
JUTE MILLS,, 	(17-FEB-2025 15:33:55)
SYN.FIBRE/RAYON MF,, 	(17-FEB-2025 15:33:55)
TEXTI. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
PET.EXPLO&PROD,, 	(17-FEB-2025 15:33:55)
IRON ORE,, 	(17-FEB-2025 15:33:55)
COAL,, 	(17-FEB-2025 15:33:55)
BAUXITE,, 	(17-FEB-2025 15:33:55)
MANGANESE,, 	(17-FEB-2025 15:33:55)
STONE QUARRYING,, 	(17-FEB-2025 15:33:55)
MINING MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
POST & TELEGRAPHS,, 	(17-FEB-2025 15:33:55)
STATE ELEC. BOARDS,, 	(17-FEB-2025 15:33:55)
CATERING & HOTELS,, 	(17-FEB-2025 15:33:55)
UNIVERSITIES ETC,, 	(17-FEB-2025 15:33:55)
LAUNDRIES,, 	(17-FEB-2025 15:33:55)
REFINERIES,, 	(17-FEB-2025 15:33:55)
TPP-OIL,, 	(17-FEB-2025 15:33:55)
HYDEL POWER PLANTS,, 	(17-FEB-2025 15:33:55)
ATOMIC POWER PLANTS,, 	(17-FEB-2025 15:33:55)
GAS TURBINES,, 	(17-FEB-2025 15:33:55)
POWER MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
RAILWAYS,, 	(17-FEB-2025 15:33:55)
OTHER ROAD TRANSPORT,, 	(17-FEB-2025 15:33:55)
STATE ROAD TRANSPORT,, 	(17-FEB-2025 15:33:55)
SHIP. COASTAL,, 	(17-FEB-2025 15:33:55)
SHIP. INTERNATIONAL,, 	(17-FEB-2025 15:33:55)
INLAND WATERWAYS,, 	(17-FEB-2025 15:33:55)
OTHERS (PORT TRUST),, 	(17-FEB-2025 15:33:55)
DOMESTIC DIST.,, 	(17-FEB-2025 15:33:55)
INDUSTRIAL DIST.,, 	(17-FEB-2025 15:33:55)
OWN CONSUMPTION,, 	(17-FEB-2025 15:33:55)
PARALLEL MARKETERS,, 	(17-FEB-2025 15:33:55)
TEA PLANTATION,, 	(17-FEB-2025 15:33:55)
RUBBER/COFFEE ETC,, 	(17-FEB-2025 15:33:55)
FORESTRY&TIMBER,, 	(17-FEB-2025 15:33:55)
AGRI.CROPS/ORCHARD,, 	(17-FEB-2025 15:33:55)
SUGAR MILLS,, 	(17-FEB-2025 15:33:55)
FLOUR MILLS ETC,, 	(17-FEB-2025 15:33:55)
VEG. OIL MILLS,, 	(17-FEB-2025 15:33:55)
FOOD PROCESSING,, 	(17-FEB-2025 15:33:55)
DAIRIES&MILK PROC,, 	(17-FEB-2025 15:33:55)
FISHERIES,, 	(17-FEB-2025 15:33:55)
AGRI. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
DOMESTIC AIRLINES,, 	(17-FEB-2025 15:33:55)
FOREIGN AIRLINES,, 	(17-FEB-2025 15:33:55)
DAIRIES&MILK PROC,, 	(17-FEB-2025 15:33:55)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(17-FEB-2025 15:33:55)
CAUSTIC SODA ETC.,, 	(17-FEB-2025 15:33:55)
HEAVY ACIDS,, 	(17-FEB-2025 15:33:55)
OTHER INORG.CHEM,, 	(17-FEB-2025 15:33:55)
PETRO-CHEM OTHERS,, 	(17-FEB-2025 15:33:55)
PETROCHEM -GAS BASED,, 	(17-FEB-2025 15:33:55)
DYES & DYE STUFFS,, 	(17-FEB-2025 15:33:55)
SYNTHETIC RUBBER,, 	(17-FEB-2025 15:33:55)
PESTI./AGRO CHEM,, 	(17-FEB-2025 15:33:55)
OTHER ORG.CHEMICAL,, 	(17-FEB-2025 15:33:55)
DRUGS&PHARMACEUTICAL,, 	(17-FEB-2025 15:33:55)
PAINTS ETC,, 	(17-FEB-2025 15:33:55)
INDU EXPLOSIVE,, 	(17-FEB-2025 15:33:55)
CALCINATION PLANTS,, 	(17-FEB-2025 15:33:55)
SOAPS ETC,, 	(17-FEB-2025 15:33:55)
MISC CHEM INDU,, 	(17-FEB-2025 15:33:55)
CEMENT/BUILD MAT,, 	(17-FEB-2025 15:33:55)
BITUMEN/BUILD.MAT,, 	(17-FEB-2025 15:33:55)
CIVIL MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(17-FEB-2025 15:33:55)
LDC,, 	(17-FEB-2025 15:33:55)

TOTAL DATA IN EXCEL : ,97, 	(17-FEB-2025 15:33:55)
 

TOTAL DATA INSERTED : ,96, 	(17-FEB-2025 15:33:55)
 

TOTAL SKIPPED DATA ,1, 	(17-FEB-2025 15:33:55)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(17-FEB-2025 15:33:55)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(17-FEB-2025 15:33:55)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(17-FEB-2025 15:33:55)
ELLECTRICAL/ ELECTRONICS,, 	(17-FEB-2025 15:33:55)
HEAVY MACHINES,, 	(17-FEB-2025 15:33:55)
LIGHT MACHINES,, 	(17-FEB-2025 15:33:55)
AIRCRAFTS,, 	(17-FEB-2025 15:33:55)
SHIPBUILD. & REPAIRS,, 	(17-FEB-2025 15:33:55)
TRUCKS&PASS VEHICALS,, 	(17-FEB-2025 15:33:55)
SCOOTERS ETC,, 	(17-FEB-2025 15:33:55)
HIGH PRESSURE VESSEL,, 	(17-FEB-2025 15:33:55)
MECH. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
STRUCTURAL WORKS,, 	(17-FEB-2025 15:33:55)
IRON & STEEL PLANTS,, 	(17-FEB-2025 15:33:55)
IRON & STEEL REWORKS,, 	(17-FEB-2025 15:33:55)
ALUMINIUM,, 	(17-FEB-2025 15:33:55)
FOUNDRIES/CASTINGS,, 	(17-FEB-2025 15:33:55)
FERROUS ALLOYS,, 	(17-FEB-2025 15:33:55)
METAL. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
CANDLE INDUSTRY,, 	(17-FEB-2025 15:33:55)
MATCHES,, 	(17-FEB-2025 15:33:55)
RUBBER TYRES & TUBES,, 	(17-FEB-2025 15:33:55)
PAPER PRODUCTS,, 	(17-FEB-2025 15:33:55)
INDU ABRASIVES,, 	(17-FEB-2025 15:33:55)
GLASS/CERAMICS ETC,, 	(17-FEB-2025 15:33:55)
PACKING MATERIALS,, 	(17-FEB-2025 15:33:55)
PLASTIC INDUSTRIES,, 	(17-FEB-2025 15:33:55)
LEATHER,, 	(17-FEB-2025 15:33:55)
PROCESSOR,, 	(17-FEB-2025 15:33:55)
TOBACCO PRODUCTS,, 	(17-FEB-2025 15:33:55)
INDUS. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
COTTON MILLS HOSIERY,, 	(17-FEB-2025 15:33:55)
JUTE MILLS,, 	(17-FEB-2025 15:33:55)
SYN.FIBRE/RAYON MF,, 	(17-FEB-2025 15:33:55)
TEXTI. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
PET.EXPLO&PROD,, 	(17-FEB-2025 15:33:55)
IRON ORE,, 	(17-FEB-2025 15:33:55)
COAL,, 	(17-FEB-2025 15:33:55)
BAUXITE,, 	(17-FEB-2025 15:33:55)
MANGANESE,, 	(17-FEB-2025 15:33:55)
STONE QUARRYING,, 	(17-FEB-2025 15:33:55)
MINING MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
POST & TELEGRAPHS,, 	(17-FEB-2025 15:33:55)
STATE ELEC. BOARDS,, 	(17-FEB-2025 15:33:55)
CATERING & HOTELS,, 	(17-FEB-2025 15:33:55)
UNIVERSITIES ETC,, 	(17-FEB-2025 15:33:55)
LAUNDRIES,, 	(17-FEB-2025 15:33:55)
REFINERIES,, 	(17-FEB-2025 15:33:55)
TPP-OIL,, 	(17-FEB-2025 15:33:55)
HYDEL POWER PLANTS,, 	(17-FEB-2025 15:33:55)
ATOMIC POWER PLANTS,, 	(17-FEB-2025 15:33:55)
GAS TURBINES,, 	(17-FEB-2025 15:33:55)
POWER MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
RAILWAYS,, 	(17-FEB-2025 15:33:55)
OTHER ROAD TRANSPORT,, 	(17-FEB-2025 15:33:55)
STATE ROAD TRANSPORT,, 	(17-FEB-2025 15:33:55)
SHIP. COASTAL,, 	(17-FEB-2025 15:33:55)
SHIP. INTERNATIONAL,, 	(17-FEB-2025 15:33:55)
INLAND WATERWAYS,, 	(17-FEB-2025 15:33:55)
OTHERS (PORT TRUST),, 	(17-FEB-2025 15:33:55)
DOMESTIC DIST.,, 	(17-FEB-2025 15:33:55)
INDUSTRIAL DIST.,, 	(17-FEB-2025 15:33:55)
OWN CONSUMPTION,, 	(17-FEB-2025 15:33:55)
PARALLEL MARKETERS,, 	(17-FEB-2025 15:33:55)
TEA PLANTATION,, 	(17-FEB-2025 15:33:55)
RUBBER/COFFEE ETC,, 	(17-FEB-2025 15:33:55)
FORESTRY&TIMBER,, 	(17-FEB-2025 15:33:55)
AGRI.CROPS/ORCHARD,, 	(17-FEB-2025 15:33:55)
SUGAR MILLS,, 	(17-FEB-2025 15:33:55)
FLOUR MILLS ETC,, 	(17-FEB-2025 15:33:55)
VEG. OIL MILLS,, 	(17-FEB-2025 15:33:55)
FOOD PROCESSING,, 	(17-FEB-2025 15:33:55)
DAIRIES&MILK PROC,, 	(17-FEB-2025 15:33:55)
FISHERIES,, 	(17-FEB-2025 15:33:55)
AGRI. MISCELLANEOUS,, 	(17-FEB-2025 15:33:55)
DOMESTIC AIRLINES,, 	(17-FEB-2025 15:33:55)
FOREIGN AIRLINES,, 	(17-FEB-2025 15:33:55)
FERTILISER-GAS BASED,, 	(17-FEB-2025 15:33:56)
CAUSTIC SODA ETC.,, 	(17-FEB-2025 15:33:56)
HEAVY ACIDS,, 	(17-FEB-2025 15:33:56)
OTHER INORG.CHEM,, 	(17-FEB-2025 15:33:56)
PETRO-CHEM OTHERS,, 	(17-FEB-2025 15:33:56)
PETROCHEM -GAS BASED,, 	(17-FEB-2025 15:33:56)
DYES & DYE STUFFS,, 	(17-FEB-2025 15:33:56)
SYNTHETIC RUBBER,, 	(17-FEB-2025 15:33:56)
PESTI./AGRO CHEM,, 	(17-FEB-2025 15:33:56)
OTHER ORG.CHEMICAL,, 	(17-FEB-2025 15:33:56)
DRUGS&PHARMACEUTICAL,, 	(17-FEB-2025 15:33:56)
PAINTS ETC,, 	(17-FEB-2025 15:33:56)
INDU EXPLOSIVE,, 	(17-FEB-2025 15:33:56)
CALCINATION PLANTS,, 	(17-FEB-2025 15:33:56)
SOAPS ETC,, 	(17-FEB-2025 15:33:56)
MISC CHEM INDU,, 	(17-FEB-2025 15:33:56)
CEMENT/BUILD MAT,, 	(17-FEB-2025 15:33:56)
BITUMEN/BUILD.MAT,, 	(17-FEB-2025 15:33:56)
CIVIL MISCELLANEOUS,, 	(17-FEB-2025 15:33:56)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(17-FEB-2025 15:33:56)
LDC,, 	(17-FEB-2025 15:33:56)

TOTAL DATA IN EXCEL : ,97, 	(17-FEB-2025 15:33:56)
 

TOTAL DATA INSERTED : ,96, 	(17-FEB-2025 15:33:56)
 

