

<<START>>,<<FMS_SUPPLY_CONT_PLANT_CHRG>>,, 	(17-MAY-2025 17:56:51)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,TIMESTAMP,
SEMTPL,154,S,1,0,19,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SEMTPL,154,S,1,0,21,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
SGIPL,21,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
PGPGPL,23,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
PGPGPL,23,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
PGPGPL,23,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
PGPGPL,23,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
PGPGPL,23,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
PGPGPL,23,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HCG,24,S,1,0,6,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HCG,24,S,1,0,6,1, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
HCG,24,S,1,0,8,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,S,1,0,9,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,S,1,0,9,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,S,1,0,9,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,S,1,0,11,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,S,1,0,11,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,S,1,0,9,0, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
GGL,25,,,,,, 	(17-MAY-2025 17:56:51)	 (Not Inserted)
