

<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,,,,, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 4 , 1 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 5 , 1 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 6 , 1 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 3 , 1 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 1 , 1 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 2 , 1 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)
2,13 , IGL , C , 1 , 2 , 04/02/2011 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,14 , BPCL , C , 1 , 1 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:48)
2,14 , BPCL , C , 3 , 2 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:48)
2,14 , BPCL , C , 4 , 2 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:48)
2,14 , BPCL , C , 3 , 2 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,14 , BPCL , C , 1 , 1 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,14 , BPCL , C , 2 , 1 , 24/07/2014 00:00:00, 	(28-FEB-2025 18:20:48)
2,269 , TEL , C , 1 , 1 , 06/08/2014 00:00:00, 	(28-FEB-2025 18:20:48)
2,15 , HPCL , C , 4 , 1 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)
2,15 , HPCL , C , 2 , 1 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)
2,15 , HPCL , C , 3 , 2 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)
2,15 , HPCL , C , 3 , 2 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,15 , HPCL , C , 5 , 1 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)
2,15 , HPCL , C , 2 , 1 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,15 , HPCL , C , 1 , 1 , 17/11/2010 00:00:00, 	(28-FEB-2025 18:20:48)
2, , JSW-Salav , C , 1 , 1 , 25/11/2014 00:00:00, 	(28-FEB-2025 18:20:48)	 (Not Inserted)
2,17 , BGL , C , 1 , 1 , 28/07/2016 00:00:00, 	(28-FEB-2025 18:20:48)
2,18 , GSFC , C , 1 , 1 , 14/03/2016 00:00:00, 	(28-FEB-2025 18:20:48)
2,18 , GSFC , C , 2 , 1 , 14/03/2016 00:00:00, 	(28-FEB-2025 18:20:48)
2,18 , GSFC , C , 1 , 1 , 14/03/2016 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,228 , H-Energy , C , 2 , 1 , 14/11/2016 00:00:00, 	(28-FEB-2025 18:20:49)
2,228 , H-Energy , C , 1 , 1 , 14/11/2016 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,160 , SIMPL , C , 2 , 1 , 14/11/2016 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,160 , SIMPL , C , 1 , 1 , 14/11/2016 00:00:00, 	(28-FEB-2025 18:20:49)
2,19 , ATGL , C , 2 , 1 , 11/10/2022 00:00:00, 	(28-FEB-2025 18:20:49)
2,20 , AMNS , C , 2 , 1 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)
2,20 , AMNS , C , 1 , 1 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)
2,20 , AMNS , C , 1 , 1 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,20 , AMNS , C , 5 , 3 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,20 , AMNS , C , 4 , 2 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)
2,20 , AMNS , C , 1 , 2 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)
2, , ESIL , C , 1 , 1 , 26/08/2006 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 2 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 6 , 2 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 9 , 2 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 7 , 2 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 4 , 2 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 4 , 2 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 10 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 8 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 1 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 5 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 6 , 2 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , SEMTPL , C , 3 , 1 , 28/07/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,21 , SGIPL , C , 5 , 1 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)
2,21 , SGIPL , C , 3 , 1 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)
2,21 , SGIPL , C , 1 , 1 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)
2,21 , SGIPL , C , 6 , 2 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)
2,21 , SGIPL , C , 1 , 1 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,21 , SGIPL , C , 2 , 1 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)
2,21 , SGIPL , C , 1 , 1 , 28/11/2017 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,22 , VGL , C , 1 , 1 , 03/07/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,22 , VGL , C , 3 , 1 , 03/07/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,22 , VGL , C , 2 , 1 , 03/07/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,23 , PGPGPL , C , 1 , 1 , 28/04/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,23 , PGPGPL , C , 2 , 1 , 28/04/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,23 , PGPGPL , C , 3 , 2 , 28/04/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,24 , HCG , C , 1 , 1 , 02/12/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,25 , GGL , C , 2 , 1 , 09/12/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,25 , GGL , C , 1 , 1 , 09/12/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,25 , GGL , C , 1 , 2 , 09/12/2019 00:00:00, 	(28-FEB-2025 18:20:49)
2,26 , CFC , C , 1 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,26 , CFC , C , 3 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,26 , CFC , C , 2 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,27 , IFFCO , C , 3 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,27 , IFFCO , C , 1 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,27 , IFFCO , C , 2 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,28 , HGL-RLNG , C , 1 , 1 , 01/02/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 10 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 11 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 5 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 7 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 3 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 2 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 1 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 6 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 9 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 4 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,29 , PipeInfra , C , 8 , 1 , 01/01/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,30 , NFL , C , 2 , 1 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,30 , NFL , C , 3 , 1 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,30 , NFL , C , 1 , 1 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,31 , HSIL , C , 1 , 3 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,31 , HSIL , C , 1 , 2 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,31 , HSIL , C , 1 , 1 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2, , VVF , C , 3 , 1 , 01/05/2020 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,32 , KFL , C , 1 , 1 , 23/07/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,32 , KFL , C , 2 , 1 , 23/07/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,197 , BIL , C , 1 , 1 , 25/06/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,254 , RIPL , C , 1 , 1 , 19/11/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,207 , CP , C , 1 , 1 , 15/10/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,207 , CP , C , 1 , 1 , 15/10/2020 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2, , HHFGPL , C , 1 , 1 , 26/10/2020 00:00:00, 	(28-FEB-2025 18:20:49)	 (Not Inserted)
2,187 , VIDUWIL , C , 1 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,33 , AGP CGD , C , 2 , 1 , 25/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,33 , AGP CGD , C , 1 , 1 , 25/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,34 , MINDA , C , 1 , 1 , 29/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,34 , MINDA , C , 2 , 2 , 29/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,34 , MINDA , C , 2 , 1 , 29/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,238 , LEIPL , C , 1 , 1 , 04/11/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,35 , SCHOTT , C , 1 , 1 , 24/02/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,36 , HIL , C , 3 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,36 , HIL , C , 4 , 2 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,36 , HIL , C , 1 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,36 , HIL , C , 2 , 1 , 01/01/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,37 , HCGD-B , C , 1 , 1 , 01/04/2021 00:00:00, 	(28-FEB-2025 18:20:49)
2,198 , BIPL , C , 2 , 1 , 21/07/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,198 , BIPL , C , 1 , 1 , 21/07/2020 00:00:00, 	(28-FEB-2025 18:20:49)
2,220 , EXXARO , C , 1 , 1 , 23/06/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,38 , KAJARIA , C , 2 , 2 , 30/11/2020 00:00:00, 	(28-FEB-2025 18:20:50)
2,38 , KAJARIA , C , 1 , 1 , 30/11/2020 00:00:00, 	(28-FEB-2025 18:20:50)
2,39 , SISECAM , C , 1 , 1 , 09/06/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,39 , SISECAM , C , 1 , 1 , 09/06/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,40 , ATPL , C , 1 , 1 , 17/12/2020 00:00:00, 	(28-FEB-2025 18:20:50)
2,40 , ATPL , C , 2 , 2 , 17/12/2020 00:00:00, 	(28-FEB-2025 18:20:50)
2,41 , OPAL , C , 1 , 2 , 28/07/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,41 , OPAL , C , 1 , 1 , 28/07/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,41 , OPAL , C , 1 , 1 , 28/07/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,234 , JKPAPER , C , 1 , 1 , 02/08/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,263 , STL , C , 1 , 1 , 25/08/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,206 , CELLO , C , 1 , 1 , 01/12/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,42 , RCF , C , 2 , 1 , 30/12/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,42 , RCF , C , 2 , 2 , 30/12/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,42 , RCF , C , 1 , 2 , 30/12/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,42 , RCF , C , 2 , 1 , 30/12/2021 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,42 , RCF , C , 1 , 1 , 30/12/2021 00:00:00, 	(28-FEB-2025 18:20:50)
2,201 , BWRL , C , 1 , 1 , 25/01/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,276 , VIRGO , C , 1 , 1 , 12/02/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,223 , GIPSKARTON , C , 1 , 1 , 24/03/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,46 , TGLPL , C , 1 , 1 , 29/04/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,46 , TGLPL , C , 2 , 1 , 29/04/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,47 , TGBPL , C , 1 , 1 , 29/04/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,47 , TGBPL , C , 2 , 1 , 29/04/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,48 , BGEPL , C , 1 , 1 , 29/04/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,231 , IMCL , C , 1 , 1 , 12/05/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,49 , VVF India , C , 1 , 1 , 14/05/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,50 , GNFC , C , 1 , 1 , 24/05/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,50 , GNFC , C , 2 , 1 , 24/05/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,50 , GNFC , C , 2 , 2 , 24/05/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,140 , MEGHHQX , C , 1 , 1 , 02/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 4 , 1 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 6 , 2 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 5 , 2 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 7 , 2 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 2 , 1 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 3 , 1 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,52 , GLIL , C , 1 , 1 , 07/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,255 , SGI-AP , C , 1 , 1 , 27/06/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,117 , PEPL , C , 1 , 1 , 13/07/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,117 , PEPL , C , 2 , 1 , 13/07/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,54 , GFCL , C , 1 , 1 , 14/07/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,54 , GFCL , C , 2 , 1 , 14/07/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,55 , CPL , C , 1 , 2 , 16/08/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,56 , IRM , C , 1 , 1 , 24/08/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,57 , PPL , C , 1 , 2 , 26/08/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,57 , PPL , C , 1 , 1 , 26/08/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,58 , YARALTD , C , 1 , 2 , 06/09/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,58 , YARALTD , C , 1 , 1 , 06/09/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,59 , INPEROX , C , 1 , 1 , 13/09/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,60 , RAFECHL , C , 1 , 2 , 28/09/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,208 , CNTENKA , C , 1 , 1 , 17/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,227 , HCGPUTE , C , 1 , 1 , 18/11/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,64 , IGSPL , C , 2 , 1 , 16/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,64 , IGSPL , C , 1 , 2 , 16/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,63 , GOAGLSF , C , 1 , 2 , 25/11/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,124 , MGRPL , C , 2 , 1 , 07/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,124 , MGRPL , C , 1 , 2 , 07/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,65 , PEFORCV , C , 1 , 2 , 08/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 5 , 3 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,105 , HMEL , C , 6 , 3 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,105 , HMEL , C , 6 , 3 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 3 , 2 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 5 , 1 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 1 , 1 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 2 , 1 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 4 , 1 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,105 , HMEL , C , 4 , 2 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,105 , HMEL , C , 1 , 1 , 04/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,104 , TASTELI , C , 1 , 1 , 30/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,190 , AGPCGIN , C , 2 , 1 , 09/02/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,190 , AGPCGIN , C , 1 , 1 , 09/02/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,158 , HINDURV , C , 2 , 1 , 17/11/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,158 , HINDURV , C , 1 , 1 , 17/11/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2, , ESSARRM , C , 1 , 1 , 14/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,188 , VISHPRI , C , 1 , 1 , 14/03/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2, , SOMANY , C , 1 , 2 , 16/03/2023 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,107 , IDOINVA , C , 1 , 1 , 27/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,67 , DCMSHRI , C , 1 , 1 , 13/12/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,167 , GOLDPFG , C , 1 , 1 , 20/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,277 , VIGASLD , C , 1 , 1 , 18/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,61 , EFSPL , C , 1 , 1 , 25/10/2022 00:00:00, 	(28-FEB-2025 18:20:50)
2,186 , VEDALTD , C , 1 , 1 , 13/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)	 (Not Inserted)
2,186 , VEDALTD , C , 1 , 1 , 13/04/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,122 , GAILGAS , C , 2 , 1 , 01/06/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,122 , GAILGAS , C , 1 , 1 , 01/06/2023 00:00:00, 	(28-FEB-2025 18:20:50)
2,106 , RATNAGI , C , 1 , 2 , 19/01/2023 00:00:00, 	(28-FEB-2025 18:20:50)
