

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,,, 	(20-FEB-2025 17:45:43)
 
COMPANY_CD,CD,ABBR,SEQ,ENTITY,TIMESTAMP
2 , 42 , RCF , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 201 , BWRL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 235 , KRYO , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 276 , VIRGO , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 196 , BLPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 223 , GIPSKARTON , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 270 , TGPL , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 116 , SELNG , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 256 , SITME , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , DT , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 268 , ThirdParty , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,152 , GUNSPL , 1,T, 	(20-FEB-2025 17:45:44)
2 , 1 , RIL , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 43 , BP , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , AMNS-T , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 1 , RIL , 2,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 45 , GSPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 45 , GSPL , 2,R, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 46 , TGLPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 47 , TGBPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 48 , BGEPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 231 , IMCL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 49 , VVF India , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 50 , GNFC , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,140 , MEGHHQX , 1,C, 	(20-FEB-2025 17:45:44)
2 , 51 , ONGC , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 52 , GLIL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 272 , UGEL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 255 , SGI-AP , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , IGX , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 53 , RGPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 53 , RGPL , 2,R, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 224 , GTIPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , GSPL-C , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 117 , PEPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 54 , GFCL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 ,  , DERL , 1,T, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 55 , CPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 56 , IRM , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 57 , PPL , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
2 , 58 , YARALTD , 1,C, 	(20-FEB-2025 17:45:44)	 (Not Inserted)
