

<<START>>,<<FMS_TRADER_CARGO_MST>> 	(23-SEP-2025 14:36:05)
 
COMPANY_CD,CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_TYPE,CONT_NO,CONT_REV,CARGO_NO,CARGO_REF_NO,TIMESTAMP
2, 116:SELNG, M, 1, 0, N, 710063, 0,1,7018, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710064, 0,1,7021, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710065, 0,1,7025, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710066, 0,1,7026, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710067, 0,1,7027, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710068, 0,1,7028, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710069, 0,1,7029, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710070, 0,1,8002, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710071, 0,1,8003, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710072, 0,1,8004, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710073, 0,1,8005, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710074, 0,1,8006, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710075, 0,1,8008, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710076, 0,1,8009, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710077, 0,1,8010, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710078, 0,1,8011, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710079, 0,1,8012, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710080, 0,1,8016, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710081, 0,1,8018, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710082, 0,1,8020, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710083, 0,1,8022, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710084, 0,1,8023, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710085, 0,1,8024, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 710086, 0,1,8027, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 721001, 0,1,21054, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 721002, 0,1,21056, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 721003, 0,1,21057, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 721004, 0,1,21058, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 721005, 0,1,21063, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 722001, 0,1,22013, 	(23-SEP-2025 14:36:05)
2, 116:SELNG, M, 1, 0, N, 722002, 0,1,22024, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710087, 0,1,8029, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710088, 0,1,8030, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710089, 0,1,9001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710090, 0,1,9002, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710091, 0,1,9006, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710092, 0,1,9008, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710093, 0,1,9009, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710094, 0,1,9010, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710095, 0,1,9012, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710096, 0,1,9013, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710097, 0,1,9015, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710098, 0,1,9018, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710099, 0,1,9019, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710100, 0,1,9020, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710101, 0,1,9022, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710102, 0,1,9023, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710103, 0,1,9024, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710104, 0,1,9025, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710105, 0,1,9026, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710106, 0,1,10001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710107, 0,1,10003, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710108, 0,1,10006, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710109, 0,1,10007, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 710110, 0,1,10008, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711004, 0,1,10016, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711005, 0,1,10017, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711006, 0,1,11001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711007, 0,1,11003, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711008, 0,1,11004, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711009, 0,1,11005, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 711010, 0,1,11007, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714001, 0,1,14001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714002, 0,1,14002, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714003, 0,1,14003, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714004, 0,1,14004, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714005, 0,1,14005, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714006, 0,1,14006, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714007, 0,1,14007, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 714008, 0,1,14008, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715001, 0,1,14009, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715001, 0,2,14010, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715001, 0,3,14011, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715001, 0,4,14012, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715001, 0,5,14013, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715001, 0,6,14014, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 715002, 0,1,15001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 716001, 0,1,16001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 717001, 0,1,17001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719001, 0,1,19001, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719002, 0,1,19002, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719003, 0,1,19003, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719004, 0,1,19004, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719005, 0,1,19005, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719006, 0,1,19006, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719007, 0,1,19007, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719008, 0,1,19008, 	(23-SEP-2025 14:36:05)
2, 256:SITME, M, 1, 0, N, 719009, 0,1,19009, 	(23-SEP-2025 14:36:05)
