

<<START>>,<<FMS_BUY_DAILY_BUYER_NOM>>,,,,,, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823022, 4,D, 	(05-JUN-2025 15:13:09)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823023, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:09)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823016, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:09)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823017, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823021, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823019, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823018, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823023, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823023, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823020, 4,D, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823023, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823023, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823026, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823025, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,1, 0, 0,823027, 4,D, 	(05-JUN-2025 15:13:10)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
2,, , ,, ,, 	(05-JUN-2025 15:13:10)	 (Not Inserted)
