

<<START>>,<<FMS_OTH_INV_CRDR_REF>>,, 	(15-DEC-2025 17:58:28)
 
COMPANY_CD,INVOICE_SEQ,INVOICE_TYPE,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,SUPPLIER_CD,TIMESTAMP,
2,68 , HSA,2020-2021,92,, 	(15-DEC-2025 17:58:28)
2,35 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,36 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,38 , HSA,2024-2025,15,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,37 , HSA,2024-2025,354,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,26 , HSA,2024-2025,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,39 , HSA,2024-2025,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,40 , HSA,2024-2025,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,33 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,40 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,41 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,34 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,35 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,36 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,37 , HSA,2023-2024,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,32 , HSA,2023-2024,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,38 , HSA,2023-2024,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,39 , HSA,2023-2024,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,40 , HSA,2022-2023,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,41 , HSA,2022-2023,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,42 , HSA,2022-2023,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,31 , HSA,2022-2023,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,29 , HSA,2025-2026,15,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,30 , HSA,2025-2026,36,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,39 , HSA,2022-2023,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,37 , HSA,2022-2023,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,38 , HSA,2022-2023,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,23 , HSA,2025-2026,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,24 , HSA,2025-2026,36,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,25 , HSA,2025-2026,14,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,28 , HSA,2025-2026,36,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)
2,27 , HSA,2025-2026,92,, 	(15-DEC-2025 17:58:33)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,52,,,,,, 	(15-DEC-2025 17:58:33)
 

TOTAL DATA INSERTED : ,0,,,,,, 	(15-DEC-2025 17:58:33)
 

TOTAL SKIPPED DATA ,52,,,,,, 	(15-DEC-2025 17:58:33)
 
<<END>>,<<FMS_OTH_INV_CRDR_REF>>,,,,,, 	(15-DEC-2025 17:58:33)
 
