

<<START>>,<<FMS_TRUCK_TRANS_CONTACT_MST>>,,,, 	(27-MAY-2025 15:04:04)
2,14,2,28/11/2022 00:00:00,R, 	(27-MAY-2025 15:04:04)	 (Not Inserted)
2,15,1,01/02/2023 00:00:00,R, 	(27-MAY-2025 15:04:04)	 (Not Inserted)
2,15,2,10/02/2023 00:00:00,R, 	(27-MAY-2025 15:04:04)	 (Not Inserted)
2,16,1,01/04/2023 00:00:00,B, 	(27-MAY-2025 15:04:04)	 (Not Inserted)
2,16,2,01/04/2023 00:00:00,B, 	(27-MAY-2025 15:04:04)	 (Not Inserted)
2,16,2,01/01/2024 00:00:00,B, 	(27-MAY-2025 15:04:04)	 (Not Inserted)
2,17,1,01/07/2023 00:00:00,B, 	(27-MAY-2025 15:04:04)	 (Not Inserted)

TOTAL DATA IN EXCEL : ,41,,,, 	(27-MAY-2025 15:04:04)
 

TOTAL DATA INSERTED : ,0,,,, 	(27-MAY-2025 15:04:04)
 

TOTAL SKIPPED DATA ,41,,,, 	(27-MAY-2025 15:04:04)
 
<<END>>,<<FMS_TRUCK_TRANS_CONTACT_MST>>,,,, 	(27-MAY-2025 15:04:04)
 

<<START>>,<<FMS_TRUCK_TRANS_CONTACT_MST>>,,,, 	(27-MAY-2025 15:04:17)
 
COMPANY_CD,TRUCK_TRANS_CD,SEQ_NO,EFF_DT,ADDR_FLAG,TIMESTAMP,
2,1,1,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,1,2,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,2,1,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,2,2,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,2,3,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,4,1,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,4,2,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,4,3,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,6,1,12/05/2022 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,6,2,27/09/2022 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,6,3,01/02/2023 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,6,4,30/03/2023 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,7,1,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,7,2,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,7,3,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,7,4,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,8,1,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,8,2,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,8,3,26/02/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,8,4,01/04/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,8,4,07/01/2024 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,11,1,11/02/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,11,2,11/02/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,11,3,27/06/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,11,4,12/08/2023 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,12,1,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,12,2,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,12,3,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,12,4,13/12/2021 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,12,5,16/02/2022 00:00:00,C, 	(27-MAY-2025 15:04:17)
2,12,6,16/02/2022 00:00:00,C, 	(27-MAY-2025 15:04:17)
2,12,7,07/05/2022 00:00:00,C, 	(27-MAY-2025 15:04:17)
2,13,1,15/05/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,14,1,16/11/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,14,2,28/11/2022 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,15,1,01/02/2023 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,15,2,10/02/2023 00:00:00,R, 	(27-MAY-2025 15:04:17)
2,16,1,01/04/2023 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,16,2,01/04/2023 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,16,2,01/01/2024 00:00:00,B, 	(27-MAY-2025 15:04:17)
2,17,1,01/07/2023 00:00:00,B, 	(27-MAY-2025 15:04:17)

TOTAL DATA IN EXCEL : ,41,,,, 	(27-MAY-2025 15:04:17)
 

TOTAL DATA INSERTED : ,41,,,, 	(27-MAY-2025 15:04:17)
 

TOTAL SKIPPED DATA ,0,,,, 	(27-MAY-2025 15:04:17)
 
<<END>>,<<FMS_TRUCK_TRANS_CONTACT_MST>>,,,, 	(27-MAY-2025 15:04:17)
 

<<START>>,<<FMS_TRUCK_MST>>,,, 	(27-MAY-2025 15:04:30)
 
ENT_PROFILE,TRUCK_CD,TRUCK_REG_NUM,EFF_DT,TIMESTAMP,
**********AutomationEMS Error  (27-MAY-2025 15:04:30) **********
java.lang.NullPointerException

com.etrm.fms.migration.DLNG_SEIPL_Data_Reader.FMS_TRUCK_MST(DLNG_SEIPL_Data_Reader.java:602)
com.etrm.fms.migration.DLNG_SEIPL_Data_Reader.init(DLNG_SEIPL_Data_Reader.java:115)
**************************************************

<<FUNCTION FMS_TRUCK_MST() ENDED WITH ERRORS>>
