

<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(12-JUN-2025 15:49:22)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
2,276,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,276,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,276,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,276,1,0,1,3,F, 	(12-JUN-2025 15:49:23)
2,276,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,223,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,223,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,47,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,231,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,231,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,231,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,231,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,52,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,255,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,255,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,208,0,0,0,1,E, 	(12-JUN-2025 15:49:23)
2,208,0,0,0,1,E, 	(12-JUN-2025 15:49:23)
2,208,0,0,0,2,E, 	(12-JUN-2025 15:49:23)
2,208,0,0,0,0,E, 	(12-JUN-2025 15:49:23)
2,208,0,0,0,0,E, 	(12-JUN-2025 15:49:23)
2,227,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,227,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,210,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,2,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,151,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,190,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,190,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,190,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,190,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,190,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,190,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,188,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,188,1,0,1,1,F, 	(12-JUN-2025 15:49:23)
2,188,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
2,188,1,0,1,0,F, 	(12-JUN-2025 15:49:23)
