

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(17-FEB-2025 15:13:34)
2 ,256 , SITME , 1, 	(17-FEB-2025 15:13:34)
2 ,  , DT , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,268 , ThirdParty , 1, 	(17-FEB-2025 15:13:34)
2 ,  , Gunvor  , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,1 , RIL , 2, 	(17-FEB-2025 15:13:34)
2 ,  , BP  , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,  , AMNS-T , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 , 1 , RIL , 2, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,45 , GSPL , 1, 	(17-FEB-2025 15:13:34)
2 ,45 , GSPL , 2, 	(17-FEB-2025 15:13:34)
2 ,46 , TGLPL , 1, 	(17-FEB-2025 15:13:34)
2 ,47 , TGBPL , 1, 	(17-FEB-2025 15:13:34)
2 ,48 , BGEPL , 1, 	(17-FEB-2025 15:13:34)
2 ,231 , IMCL , 1, 	(17-FEB-2025 15:13:34)
2 ,49 , VVF India , 1, 	(17-FEB-2025 15:13:34)
2 ,50 , GNFC , 1, 	(17-FEB-2025 15:13:34)
2 ,  , MEIL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,51 , ONGC , 1, 	(17-FEB-2025 15:13:34)
2 ,52 , GLIL , 1, 	(17-FEB-2025 15:13:34)
2 ,272 , UGEL , 1, 	(17-FEB-2025 15:13:34)
2 ,255 , SGI-AP , 1, 	(17-FEB-2025 15:13:34)
2 ,  , IGX , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,53 , RGPL , 1, 	(17-FEB-2025 15:13:34)
2 ,53 , RGPL , 2, 	(17-FEB-2025 15:13:34)
2 ,224 , GTIPL , 1, 	(17-FEB-2025 15:13:34)
2 ,  , GSPL-C , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,117 , PEPL , 1, 	(17-FEB-2025 15:13:34)
2 ,54 , GFCL , 1, 	(17-FEB-2025 15:13:34)
2 ,  , DERL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,55 , CPL , 1, 	(17-FEB-2025 15:13:34)
2 ,56 , IRM , 1, 	(17-FEB-2025 15:13:34)
2 ,57 , PPL , 1, 	(17-FEB-2025 15:13:34)
2 ,58 , YARALTD , 1, 	(17-FEB-2025 15:13:34)
2 ,59 , INPEROX , 1, 	(17-FEB-2025 15:13:34)
2 ,60 , RAFECHL , 1, 	(17-FEB-2025 15:13:34)
2 ,124 , MGRPL , 1, 	(17-FEB-2025 15:13:34)
2 ,124 , MGRPL , 2, 	(17-FEB-2025 15:13:34)
2 ,208 , CNTENKA , 1, 	(17-FEB-2025 15:13:34)
2 ,61 , EFSPL , 1, 	(17-FEB-2025 15:13:34)
2 ,61 , EFSPL , 2, 	(17-FEB-2025 15:13:34)
2 ,158 , HINDURV , 1, 	(17-FEB-2025 15:13:34)
2 ,227 , HCGPUTE , 1, 	(17-FEB-2025 15:13:34)
2 ,63 , GOAGLSF , 1, 	(17-FEB-2025 15:13:34)
2 ,64 , IGSPL , 1, 	(17-FEB-2025 15:13:34)
2 ,64 , IGSPL , 2, 	(17-FEB-2025 15:13:34)
2 ,65 , PEFORCV , 1, 	(17-FEB-2025 15:13:34)
2 ,66 , BHEL , 1, 	(17-FEB-2025 15:13:34)
2 ,210 , COMFIND , 1, 	(17-FEB-2025 15:13:34)
2 ,67 , DCMSHRI , 1, 	(17-FEB-2025 15:13:34)
2 ,81 , HOECLTD , 1, 	(17-FEB-2025 15:13:34)
2 ,81 , HOECLTD , 2, 	(17-FEB-2025 15:13:34)
2 ,144 , HINAGIL , 1, 	(17-FEB-2025 15:13:34)
2 ,147 , HPOIGAS , 1, 	(17-FEB-2025 15:13:34)
2 ,86 , MANIKAR , 1, 	(17-FEB-2025 15:13:34)
2 ,166 , ESSAREX , 1, 	(17-FEB-2025 15:13:34)
2 ,92 , NEL , 1, 	(17-FEB-2025 15:13:34)
2 ,104 , TASTELI , 1, 	(17-FEB-2025 15:13:34)
2 ,105 , HMEL , 1, 	(17-FEB-2025 15:13:34)
2 ,211 , DIL , 1, 	(17-FEB-2025 15:13:34)
2 ,162 , BOROREN , 1, 	(17-FEB-2025 15:13:34)
2 ,151 , KINGASP , 1, 	(17-FEB-2025 15:13:34)
2 ,106 , RATNAGI , 1, 	(17-FEB-2025 15:13:34)
2 ,107 , IDOINVA , 1, 	(17-FEB-2025 15:13:34)
2 , 107 , IDOINVA , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,190 , AGPCGIN , 1, 	(17-FEB-2025 15:13:34)
2 ,176 , NESTLIN , 1, 	(17-FEB-2025 15:13:34)
2 ,110 , SITMEFZ , 1, 	(17-FEB-2025 15:13:34)
2 ,188 , VISHPRI , 1, 	(17-FEB-2025 15:13:34)
2 ,  , SOMANY , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,202 , BHOGATD , 1, 	(17-FEB-2025 15:13:34)
2 ,186 , VEDALTD , 1, 	(17-FEB-2025 15:13:34)
2 ,186 , VEDALTD , 2, 	(17-FEB-2025 15:13:34)
2 ,277 , VIGASLD , 1, 	(17-FEB-2025 15:13:34)
2 ,167 , GOLDPFG , 1, 	(17-FEB-2025 15:13:34)
2 ,  , CAIRENH  , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,168 , GSIGLIM , 1, 	(17-FEB-2025 15:13:34)
2 ,122 , GAILGAS , 1, 	(17-FEB-2025 15:13:34)
2 ,174 , KUTCHCL , 1, 	(17-FEB-2025 15:13:34)
2 ,282 , SEMTEXP , 1, 	(17-FEB-2025 15:13:34)
2 ,282 , SEMTEXP , 2, 	(17-FEB-2025 15:13:34)
2 ,181 , SANENER , 1, 	(17-FEB-2025 15:13:34)
2 ,181 , SANENER , 2, 	(17-FEB-2025 15:13:34)
2 ,183 , SUMGLAS , 1, 	(17-FEB-2025 15:13:34)
2 ,184 , SVTPLIN , 1, 	(17-FEB-2025 15:13:34)
2 ,112 , SPSSETL1 , 1, 	(17-FEB-2025 15:13:34)
2 ,113 , SIETCO , 1, 	(17-FEB-2025 15:13:34)
2 ,  , AGL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,121 , NGPL , 1, 	(17-FEB-2025 15:13:34)
2 ,115 , SILS , 1, 	(17-FEB-2025 15:13:34)
2 ,114 , STASCO , 1, 	(17-FEB-2025 15:13:34)
2 ,114 , STASCO , 2, 	(17-FEB-2025 15:13:34)
2 ,  , ROCKMAN , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,  , LANCO , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,130 , CRMNDEL , 1, 	(17-FEB-2025 15:13:34)
2 ,281 , SEIPLDY , 1, 	(17-FEB-2025 15:13:34)
2 ,134 , GSINLIM , 1, 	(17-FEB-2025 15:13:34)
2 ,  , JMB , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,  , BOXCO , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,265 , SLPL , 1, 	(17-FEB-2025 15:13:34)
2 , 265 , SLPL , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,232 , JBB , 1, 	(17-FEB-2025 15:13:34)
2 ,  , SGS , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 , 232 , JBB , 1, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
2 ,264 , SSAPL , 1, 	(17-FEB-2025 15:13:34)

TOTAL DATA IN EXCEL : ,195,,, 	(17-FEB-2025 15:13:34)
 

TOTAL DATA INSERTED : ,166,,, 	(17-FEB-2025 15:13:34)
 

TOTAL SKIPPED DATA ,29,,, 	(17-FEB-2025 15:13:34)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(17-FEB-2025 15:13:34)
 

<<START>>,<<FMS_SECTOR_MST>>, 	(17-FEB-2025 15:13:34)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(17-FEB-2025 15:13:34)
ELLECTRICAL/ ELECTRONICS,, 	(17-FEB-2025 15:13:34)
HEAVY MACHINES,, 	(17-FEB-2025 15:13:34)
LIGHT MACHINES,, 	(17-FEB-2025 15:13:34)
AIRCRAFTS,, 	(17-FEB-2025 15:13:34)
SHIPBUILD. & REPAIRS,, 	(17-FEB-2025 15:13:34)
TRUCKS&PASS VEHICALS,, 	(17-FEB-2025 15:13:34)
SCOOTERS ETC,, 	(17-FEB-2025 15:13:34)
HIGH PRESSURE VESSEL,, 	(17-FEB-2025 15:13:34)
MECH. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
STRUCTURAL WORKS,, 	(17-FEB-2025 15:13:34)
IRON & STEEL PLANTS,, 	(17-FEB-2025 15:13:34)
IRON & STEEL REWORKS,, 	(17-FEB-2025 15:13:34)
ALUMINIUM,, 	(17-FEB-2025 15:13:34)
FOUNDRIES/CASTINGS,, 	(17-FEB-2025 15:13:34)
FERROUS ALLOYS,, 	(17-FEB-2025 15:13:34)
METAL. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
CANDLE INDUSTRY,, 	(17-FEB-2025 15:13:34)
MATCHES,, 	(17-FEB-2025 15:13:34)
RUBBER TYRES & TUBES,, 	(17-FEB-2025 15:13:34)
PAPER PRODUCTS,, 	(17-FEB-2025 15:13:34)
INDU ABRASIVES,, 	(17-FEB-2025 15:13:34)
GLASS/CERAMICS ETC,, 	(17-FEB-2025 15:13:34)
PACKING MATERIALS,, 	(17-FEB-2025 15:13:34)
PLASTIC INDUSTRIES,, 	(17-FEB-2025 15:13:34)
LEATHER,, 	(17-FEB-2025 15:13:34)
PROCESSOR,, 	(17-FEB-2025 15:13:34)
TOBACCO PRODUCTS,, 	(17-FEB-2025 15:13:34)
INDUS. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
COTTON MILLS HOSIERY,, 	(17-FEB-2025 15:13:34)
JUTE MILLS,, 	(17-FEB-2025 15:13:34)
SYN.FIBRE/RAYON MF,, 	(17-FEB-2025 15:13:34)
TEXTI. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
PET.EXPLO&PROD,, 	(17-FEB-2025 15:13:34)
IRON ORE,, 	(17-FEB-2025 15:13:34)
COAL,, 	(17-FEB-2025 15:13:34)
BAUXITE,, 	(17-FEB-2025 15:13:34)
MANGANESE,, 	(17-FEB-2025 15:13:34)
STONE QUARRYING,, 	(17-FEB-2025 15:13:34)
MINING MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
POST & TELEGRAPHS,, 	(17-FEB-2025 15:13:34)
STATE ELEC. BOARDS,, 	(17-FEB-2025 15:13:34)
CATERING & HOTELS,, 	(17-FEB-2025 15:13:34)
UNIVERSITIES ETC,, 	(17-FEB-2025 15:13:34)
LAUNDRIES,, 	(17-FEB-2025 15:13:34)
REFINERIES,, 	(17-FEB-2025 15:13:34)
TPP-OIL,, 	(17-FEB-2025 15:13:34)
HYDEL POWER PLANTS,, 	(17-FEB-2025 15:13:34)
ATOMIC POWER PLANTS,, 	(17-FEB-2025 15:13:34)
GAS TURBINES,, 	(17-FEB-2025 15:13:34)
POWER MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
RAILWAYS,, 	(17-FEB-2025 15:13:34)
OTHER ROAD TRANSPORT,, 	(17-FEB-2025 15:13:34)
STATE ROAD TRANSPORT,, 	(17-FEB-2025 15:13:34)
SHIP. COASTAL,, 	(17-FEB-2025 15:13:34)
SHIP. INTERNATIONAL,, 	(17-FEB-2025 15:13:34)
INLAND WATERWAYS,, 	(17-FEB-2025 15:13:34)
OTHERS (PORT TRUST),, 	(17-FEB-2025 15:13:34)
DOMESTIC DIST.,, 	(17-FEB-2025 15:13:34)
INDUSTRIAL DIST.,, 	(17-FEB-2025 15:13:34)
OWN CONSUMPTION,, 	(17-FEB-2025 15:13:34)
PARALLEL MARKETERS,, 	(17-FEB-2025 15:13:34)
TEA PLANTATION,, 	(17-FEB-2025 15:13:34)
RUBBER/COFFEE ETC,, 	(17-FEB-2025 15:13:34)
FORESTRY&TIMBER,, 	(17-FEB-2025 15:13:34)
AGRI.CROPS/ORCHARD,, 	(17-FEB-2025 15:13:34)
SUGAR MILLS,, 	(17-FEB-2025 15:13:34)
FLOUR MILLS ETC,, 	(17-FEB-2025 15:13:34)
VEG. OIL MILLS,, 	(17-FEB-2025 15:13:34)
FOOD PROCESSING,, 	(17-FEB-2025 15:13:34)
DAIRIES&MILK PROC,, 	(17-FEB-2025 15:13:34)
FISHERIES,, 	(17-FEB-2025 15:13:34)
AGRI. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
DOMESTIC AIRLINES,, 	(17-FEB-2025 15:13:34)
FOREIGN AIRLINES,, 	(17-FEB-2025 15:13:34)
DAIRIES&MILK PROC,, 	(17-FEB-2025 15:13:34)	 (Not Inserted)
FERTILISER-GAS BASED,, 	(17-FEB-2025 15:13:34)
CAUSTIC SODA ETC.,, 	(17-FEB-2025 15:13:34)
HEAVY ACIDS,, 	(17-FEB-2025 15:13:34)
OTHER INORG.CHEM,, 	(17-FEB-2025 15:13:34)
PETRO-CHEM OTHERS,, 	(17-FEB-2025 15:13:34)
PETROCHEM -GAS BASED,, 	(17-FEB-2025 15:13:34)
DYES & DYE STUFFS,, 	(17-FEB-2025 15:13:34)
SYNTHETIC RUBBER,, 	(17-FEB-2025 15:13:34)
PESTI./AGRO CHEM,, 	(17-FEB-2025 15:13:34)
OTHER ORG.CHEMICAL,, 	(17-FEB-2025 15:13:34)
DRUGS&PHARMACEUTICAL,, 	(17-FEB-2025 15:13:34)
PAINTS ETC,, 	(17-FEB-2025 15:13:34)
INDU EXPLOSIVE,, 	(17-FEB-2025 15:13:34)
CALCINATION PLANTS,, 	(17-FEB-2025 15:13:34)
SOAPS ETC,, 	(17-FEB-2025 15:13:34)
MISC CHEM INDU,, 	(17-FEB-2025 15:13:34)
CEMENT/BUILD MAT,, 	(17-FEB-2025 15:13:34)
BITUMEN/BUILD.MAT,, 	(17-FEB-2025 15:13:34)
CIVIL MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(17-FEB-2025 15:13:34)
LDC,, 	(17-FEB-2025 15:13:34)

TOTAL DATA IN EXCEL : ,97, 	(17-FEB-2025 15:13:34)
 

TOTAL DATA INSERTED : ,96, 	(17-FEB-2025 15:13:34)
 

TOTAL SKIPPED DATA ,1, 	(17-FEB-2025 15:13:34)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(17-FEB-2025 15:13:34)
 

<<START>>,<<FMS_SECTOR_DTL>>, 	(17-FEB-2025 15:13:34)
 
ABBR,,TIMESTAMP
RESELLERS,, 	(17-FEB-2025 15:13:34)
ELLECTRICAL/ ELECTRONICS,, 	(17-FEB-2025 15:13:34)
HEAVY MACHINES,, 	(17-FEB-2025 15:13:34)
LIGHT MACHINES,, 	(17-FEB-2025 15:13:34)
AIRCRAFTS,, 	(17-FEB-2025 15:13:34)
SHIPBUILD. & REPAIRS,, 	(17-FEB-2025 15:13:34)
TRUCKS&PASS VEHICALS,, 	(17-FEB-2025 15:13:34)
SCOOTERS ETC,, 	(17-FEB-2025 15:13:34)
HIGH PRESSURE VESSEL,, 	(17-FEB-2025 15:13:34)
MECH. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
STRUCTURAL WORKS,, 	(17-FEB-2025 15:13:34)
IRON & STEEL PLANTS,, 	(17-FEB-2025 15:13:34)
IRON & STEEL REWORKS,, 	(17-FEB-2025 15:13:34)
ALUMINIUM,, 	(17-FEB-2025 15:13:34)
FOUNDRIES/CASTINGS,, 	(17-FEB-2025 15:13:34)
FERROUS ALLOYS,, 	(17-FEB-2025 15:13:34)
METAL. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
CANDLE INDUSTRY,, 	(17-FEB-2025 15:13:34)
MATCHES,, 	(17-FEB-2025 15:13:34)
RUBBER TYRES & TUBES,, 	(17-FEB-2025 15:13:34)
PAPER PRODUCTS,, 	(17-FEB-2025 15:13:34)
INDU ABRASIVES,, 	(17-FEB-2025 15:13:34)
GLASS/CERAMICS ETC,, 	(17-FEB-2025 15:13:34)
PACKING MATERIALS,, 	(17-FEB-2025 15:13:34)
PLASTIC INDUSTRIES,, 	(17-FEB-2025 15:13:34)
LEATHER,, 	(17-FEB-2025 15:13:34)
PROCESSOR,, 	(17-FEB-2025 15:13:34)
TOBACCO PRODUCTS,, 	(17-FEB-2025 15:13:34)
INDUS. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
COTTON MILLS HOSIERY,, 	(17-FEB-2025 15:13:34)
JUTE MILLS,, 	(17-FEB-2025 15:13:34)
SYN.FIBRE/RAYON MF,, 	(17-FEB-2025 15:13:34)
TEXTI. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
PET.EXPLO&PROD,, 	(17-FEB-2025 15:13:34)
IRON ORE,, 	(17-FEB-2025 15:13:34)
COAL,, 	(17-FEB-2025 15:13:34)
BAUXITE,, 	(17-FEB-2025 15:13:34)
MANGANESE,, 	(17-FEB-2025 15:13:34)
STONE QUARRYING,, 	(17-FEB-2025 15:13:34)
MINING MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
POST & TELEGRAPHS,, 	(17-FEB-2025 15:13:34)
STATE ELEC. BOARDS,, 	(17-FEB-2025 15:13:34)
CATERING & HOTELS,, 	(17-FEB-2025 15:13:34)
UNIVERSITIES ETC,, 	(17-FEB-2025 15:13:34)
LAUNDRIES,, 	(17-FEB-2025 15:13:34)
REFINERIES,, 	(17-FEB-2025 15:13:34)
TPP-OIL,, 	(17-FEB-2025 15:13:34)
HYDEL POWER PLANTS,, 	(17-FEB-2025 15:13:34)
ATOMIC POWER PLANTS,, 	(17-FEB-2025 15:13:34)
GAS TURBINES,, 	(17-FEB-2025 15:13:34)
POWER MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
RAILWAYS,, 	(17-FEB-2025 15:13:34)
OTHER ROAD TRANSPORT,, 	(17-FEB-2025 15:13:34)
STATE ROAD TRANSPORT,, 	(17-FEB-2025 15:13:34)
SHIP. COASTAL,, 	(17-FEB-2025 15:13:34)
SHIP. INTERNATIONAL,, 	(17-FEB-2025 15:13:34)
INLAND WATERWAYS,, 	(17-FEB-2025 15:13:34)
OTHERS (PORT TRUST),, 	(17-FEB-2025 15:13:34)
DOMESTIC DIST.,, 	(17-FEB-2025 15:13:34)
INDUSTRIAL DIST.,, 	(17-FEB-2025 15:13:34)
OWN CONSUMPTION,, 	(17-FEB-2025 15:13:34)
PARALLEL MARKETERS,, 	(17-FEB-2025 15:13:34)
TEA PLANTATION,, 	(17-FEB-2025 15:13:34)
RUBBER/COFFEE ETC,, 	(17-FEB-2025 15:13:34)
FORESTRY&TIMBER,, 	(17-FEB-2025 15:13:34)
AGRI.CROPS/ORCHARD,, 	(17-FEB-2025 15:13:34)
SUGAR MILLS,, 	(17-FEB-2025 15:13:34)
FLOUR MILLS ETC,, 	(17-FEB-2025 15:13:34)
VEG. OIL MILLS,, 	(17-FEB-2025 15:13:34)
FOOD PROCESSING,, 	(17-FEB-2025 15:13:34)
DAIRIES&MILK PROC,, 	(17-FEB-2025 15:13:34)
FISHERIES,, 	(17-FEB-2025 15:13:34)
AGRI. MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
DOMESTIC AIRLINES,, 	(17-FEB-2025 15:13:34)
FOREIGN AIRLINES,, 	(17-FEB-2025 15:13:34)
FERTILISER-GAS BASED,, 	(17-FEB-2025 15:13:34)
CAUSTIC SODA ETC.,, 	(17-FEB-2025 15:13:34)
HEAVY ACIDS,, 	(17-FEB-2025 15:13:34)
OTHER INORG.CHEM,, 	(17-FEB-2025 15:13:34)
PETRO-CHEM OTHERS,, 	(17-FEB-2025 15:13:34)
PETROCHEM -GAS BASED,, 	(17-FEB-2025 15:13:34)
DYES & DYE STUFFS,, 	(17-FEB-2025 15:13:34)
SYNTHETIC RUBBER,, 	(17-FEB-2025 15:13:34)
PESTI./AGRO CHEM,, 	(17-FEB-2025 15:13:34)
OTHER ORG.CHEMICAL,, 	(17-FEB-2025 15:13:34)
DRUGS&PHARMACEUTICAL,, 	(17-FEB-2025 15:13:34)
PAINTS ETC,, 	(17-FEB-2025 15:13:34)
INDU EXPLOSIVE,, 	(17-FEB-2025 15:13:34)
CALCINATION PLANTS,, 	(17-FEB-2025 15:13:34)
SOAPS ETC,, 	(17-FEB-2025 15:13:34)
MISC CHEM INDU,, 	(17-FEB-2025 15:13:34)
CEMENT/BUILD MAT,, 	(17-FEB-2025 15:13:34)
BITUMEN/BUILD.MAT,, 	(17-FEB-2025 15:13:34)
CIVIL MISCELLANEOUS,, 	(17-FEB-2025 15:13:34)
CITY OR LOCAL NATURAL GAS DISTRIBUTION,, 	(17-FEB-2025 15:13:34)
LDC,, 	(17-FEB-2025 15:13:34)

TOTAL DATA IN EXCEL : ,97, 	(17-FEB-2025 15:13:34)
 

