
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(09-JUN-2025 09:19:04)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL PHU,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ODAL,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL PHU,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL MSK,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,Gail,16,GAIL ANK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL BHAD,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL HAZ,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL Oduru,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL ANK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL BHAD,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL ANK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL BHAD,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL BHAD,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL MSK,G, 	(09-JUN-2025 09:19:06)
2,PipeInfra,18,PIL GADI,G, 	(09-JUN-2025 09:19:06)
