
<<START>>,<<FMS_TRADER_CN_MST>>, 	(16-JUL-2025 17:18:03)
 
CD,AGMT_TYPE,AGMT_NO,AGMR_REV,CONT_TYPE,CONT_NO,CONT_REV,TIMESTAMP
86, M ,18, 0 , N ,725120, 0 , 	(16-JUL-2025 17:18:05)
86, M ,19, 0 , N ,725121, 0 , 	(16-JUL-2025 17:18:05)
86, M ,20, 0 , N ,725122, 0 , 	(16-JUL-2025 17:18:05)
86, M ,21, 0 , N ,725123, 0 , 	(16-JUL-2025 17:18:05)
86, M ,22, 0 , N ,725124, 0 , 	(16-JUL-2025 17:18:05)
86, M ,23, 0 , N ,725125, 0 , 	(16-JUL-2025 17:18:05)
86, M ,24, 0 , N ,725126, 0 , 	(16-JUL-2025 17:18:05)
86, M ,25, 0 , N ,725127, 0 , 	(16-JUL-2025 17:18:05)
86, M ,26, 0 , N ,725128, 0 , 	(16-JUL-2025 17:18:05)
86, M ,27, 0 , N ,725129, 0 , 	(16-JUL-2025 17:18:05)
86, M ,28, 0 , N ,725130, 0 , 	(16-JUL-2025 17:18:05)
86, M ,29, 0 , N ,725131, 0 , 	(16-JUL-2025 17:18:05)
86, M ,30, 0 , N ,725132, 0 , 	(16-JUL-2025 17:18:05)
86, M ,31, 0 , N ,725133, 0 , 	(16-JUL-2025 17:18:05)
86, M ,32, 0 , N ,725134, 0 , 	(16-JUL-2025 17:18:05)
86, M ,33, 0 , N ,725135, 0 , 	(16-JUL-2025 17:18:05)
86, M ,34, 0 , N ,725136, 0 , 	(16-JUL-2025 17:18:05)
86, M ,35, 0 , N ,725137, 0 , 	(16-JUL-2025 17:18:05)
86, M ,36, 0 , N ,725138, 0 , 	(16-JUL-2025 17:18:05)
86, M ,37, 0 , N ,725139, 0 , 	(16-JUL-2025 17:18:05)
86, M ,38, 0 , N ,725140, 0 , 	(16-JUL-2025 17:18:05)
86, M ,39, 0 , N ,725141, 0 , 	(16-JUL-2025 17:18:05)
86, M ,40, 0 , N ,725142, 0 , 	(16-JUL-2025 17:18:05)
86, M ,41, 0 , N ,725143, 0 , 	(16-JUL-2025 17:18:05)
86, M ,42, 0 , N ,725144, 0 , 	(16-JUL-2025 17:18:05)
86, M ,43, 0 , N ,725145, 0 , 	(16-JUL-2025 17:18:05)
86, M ,44, 0 , N ,725146, 0 , 	(16-JUL-2025 17:18:05)
86, M ,45, 0 , N ,725147, 0 , 	(16-JUL-2025 17:18:05)
86, M ,46, 0 , N ,725148, 0 , 	(16-JUL-2025 17:18:05)
86, M ,47, 0 , N ,725149, 0 , 	(16-JUL-2025 17:18:05)
86, M ,48, 0 , N ,725150, 0 , 	(16-JUL-2025 17:18:05)
86, M ,49, 0 , N ,725151, 0 , 	(16-JUL-2025 17:18:05)
86, M ,50, 0 , N ,725152, 0 , 	(16-JUL-2025 17:18:05)
86, M ,51, 0 , N ,725153, 0 , 	(16-JUL-2025 17:18:05)
86, M ,52, 0 , N ,725154, 0 , 	(16-JUL-2025 17:18:05)
86, M ,53, 0 , N ,725155, 0 , 	(16-JUL-2025 17:18:05)
86, M ,54, 0 , N ,725156, 0 , 	(16-JUL-2025 17:18:05)
86, M ,55, 0 , N ,725157, 0 , 	(16-JUL-2025 17:18:05)
86, M ,56, 0 , N ,725158, 0 , 	(16-JUL-2025 17:18:05)
86, M ,57, 0 , N ,725159, 0 , 	(16-JUL-2025 17:18:05)
86, M ,58, 0 , N ,725160, 0 , 	(16-JUL-2025 17:18:05)
86, M ,59, 0 , N ,725161, 0 , 	(16-JUL-2025 17:18:05)
86, M ,60, 0 , N ,725162, 0 , 	(16-JUL-2025 17:18:05)
86, M ,61, 0 , N ,725163, 0 , 	(16-JUL-2025 17:18:05)
86, M ,62, 0 , N ,725164, 0 , 	(16-JUL-2025 17:18:05)
86, M ,63, 0 , N ,725165, 0 , 	(16-JUL-2025 17:18:05)
86, M ,64, 0 , N ,725166, 0 , 	(16-JUL-2025 17:18:05)
86, M ,65, 0 , N ,725167, 0 , 	(16-JUL-2025 17:18:05)
86, M ,66, 0 , N ,725168, 0 , 	(16-JUL-2025 17:18:05)
86, M ,67, 0 , N ,725169, 0 , 	(16-JUL-2025 17:18:05)
86, M ,68, 0 , N ,725170, 0 , 	(16-JUL-2025 17:18:05)
86, M ,69, 0 , N ,725171, 0 , 	(16-JUL-2025 17:18:05)
86, M ,70, 0 , N ,725172, 0 , 	(16-JUL-2025 17:18:05)
86, M ,71, 0 , N ,725173, 0 , 	(16-JUL-2025 17:18:05)
86, M ,72, 0 , N ,725174, 0 , 	(16-JUL-2025 17:18:05)
86, M ,73, 0 , N ,725175, 0 , 	(16-JUL-2025 17:18:05)
86, M ,74, 0 , N ,725176, 0 , 	(16-JUL-2025 17:18:05)
86, M ,75, 0 , N ,725177, 0 , 	(16-JUL-2025 17:18:05)
86, M ,76, 0 , N ,725178, 0 , 	(16-JUL-2025 17:18:05)
86, M ,77, 0 , N ,725179, 0 , 	(16-JUL-2025 17:18:05)
86, M ,78, 0 , N ,725180, 0 , 	(16-JUL-2025 17:18:05)
86, M ,79, 0 , N ,725181, 0 , 	(16-JUL-2025 17:18:05)
86, M ,80, 0 , N ,725182, 0 , 	(16-JUL-2025 17:18:05)
86, M ,81, 0 , N ,725183, 0 , 	(16-JUL-2025 17:18:05)
86, M ,82, 0 , N ,725184, 0 , 	(16-JUL-2025 17:18:05)
86, M ,83, 0 , N ,725185, 0 , 	(16-JUL-2025 17:18:05)
86, M ,84, 0 , N ,725186, 0 , 	(16-JUL-2025 17:18:05)
86, M ,85, 0 , N ,725187, 0 , 	(16-JUL-2025 17:18:05)
86, M ,86, 0 , N ,725188, 0 , 	(16-JUL-2025 17:18:05)
86, M ,87, 0 , N ,725189, 0 , 	(16-JUL-2025 17:18:05)
86, M ,88, 0 , N ,725190, 0 , 	(16-JUL-2025 17:18:05)
