
<<START>>,<<FMS_SUPPLY_CONT_FILLING_STN>>,,,,,, 	(18-JUN-2025 12:19:27)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,FILL_STATION_CD,TIMESTAMP,
2,COMFIND,1,0,7,0,F,1, 	(18-JUN-2025 12:19:28)
2,VIRGO,1,0,15,2,F,1, 	(18-JUN-2025 12:19:28)
2,VIRGO,1,0,18,0,F,1, 	(18-JUN-2025 12:19:28)
2,VIRGO,1,0,17,0,F,1, 	(18-JUN-2025 12:19:28)
2,TGBPL,1,0,10,0,F,1, 	(18-JUN-2025 12:19:28)
2,KUTCHCL,1,0,1,1,F,1, 	(18-JUN-2025 12:19:28)
2,VIRGO,1,0,15,3,F,1, 	(18-JUN-2025 12:19:28)
2,AGP CGD,1,0,16,0,F,1, 	(18-JUN-2025 12:19:28)
2,KUTCHCL,1,0,2,0,F,1, 	(18-JUN-2025 12:19:28)
2,VIRGO,1,0,20,0,F,1, 	(18-JUN-2025 12:19:28)
