
<<START>>,<<FMS_METER_TICKET_READING>>,,,, 	(12-NOV-2025 11:15:24)
 
ABBR, METER_TYPE, METER_ID, GAS_DT,TIMESTAMP,
Gail,S,ANK-1(M1),18/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),18/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-2 (39FC178)(M2),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSINLIM,S,GTIL KUC(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),02/02/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSINLIM,S,GTIL KUC(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),24/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),24/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),24/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),24/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),10/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),10/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),10/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),10/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M2),29/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),29/10/2024 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),31/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),20/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,GSPL SKID-1 (39FC172)(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
GSPL,S,PIL BHD(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),17/01/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL SKID-2(M2),23/07/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,GAIL SKID-2(M1),05/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,ANK-1(M1),05/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
Gail,S,MSK-1(M1),05/09/2024 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,PIL Gadimoga(M1),26/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
PipeInfra,S,MSK-01(M1),26/03/2025 00:00:00, 	(12-NOV-2025 11:15:25)
