
<<START>>,<<FMS_LTCORA_CONT_STRG_CRG>>,,,, 	(17-MAY-2025 18:06:26)
 
COUNTERPARTY_ABBR,BUY_SALE,AGMT_TYPE,AGMT_NO,AGMT_REV,CONTRACT_TYPE,CONT_NO,CONT_REV,SEQ_NO,TIMESTAMP,
7,47,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,48,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,49,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,50,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,51,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,52,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,53,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,54,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,55,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,56,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,57,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,58,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,59,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,60,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,61,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,62,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,63,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,64,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,65,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,66,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,67,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,68,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,69,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,70,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,71,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,72,1,0,K,L, 	(17-MAY-2025 18:06:27)
7,73,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,74,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,75,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,76,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,77,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,78,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,79,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,80,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,81,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,82,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,83,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,84,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,85,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,86,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,87,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,88,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,89,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,90,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,91,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,92,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,93,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,94,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,95,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,96,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,97,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,98,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,99,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,100,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,101,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,102,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,103,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,104,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,105,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,106,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,1,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,2,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,3,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,4,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,5,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,6,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,7,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,8,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,9,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,10,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,11,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,12,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,13,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,14,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,15,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,16,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,17,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,18,1,0,K,L, 	(17-MAY-2025 18:06:28)
7,19,1,0,K,L, 	(17-MAY-2025 18:06:28)
