

<<START>>,<<FMS_COUNTERPARTY_MST>>,,, 	(14-APR-2025 12:17:26)
'BGL&@&28',28/07/2016 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'GSFC&@&29',14/03/2016 00:00:00 , 3rd Party , 'www.gsfcltd.com' ,  	(14-APR-2025 12:17:27)
'H-Energy&@&30',14/11/2016 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'SIMPL&@&31',11/10/2022 00:00:00 , Group , 'null' ,  	(14-APR-2025 12:17:27)
'SIMPL&@&31',14/11/2016 00:00:00 , Group , 'null' ,  	(14-APR-2025 12:17:27)
'ATGL&@&32',11/10/2022 00:00:00 , 3rd Party , 'www.adani.com' ,  	(14-APR-2025 12:17:27)
'ATGL&@&32',13/01/2017 00:00:00 , 3rd Party , 'www.adani.com' ,  	(14-APR-2025 12:17:27)
'AMNS&@&33',26/08/2006 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'SEMTPL&@&34',28/07/2017 00:00:00 , Group , 'null' ,  	(14-APR-2025 12:17:27)
'SGIPL&@&35',28/11/2017 00:00:00 , 3rd Party , 'www.saint-gobain-glass.com' ,  	(14-APR-2025 12:17:27)
'VGL&@&36',03/07/2019 00:00:00 , 3rd Party , 'www.vgl.co.in' ,  	(14-APR-2025 12:17:27)
'PGPGPL&@&37',28/04/2021 00:00:00 , 3rd Party , 'www.piramalglass.com' ,  	(14-APR-2025 12:17:27)
'PGPGPL&@&37',01/04/2021 00:00:00 , 3rd Party , 'www.piramalglass.com' ,  	(14-APR-2025 12:17:27)
'PGPL&@&37',04/10/2019 00:00:00 , 3rd Party , 'www.piramalglass.com' ,  	(14-APR-2025 12:17:27)
'HCG&@&38',02/12/2019 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'GGL&@&39',09/12/2019 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'CFC&@&40',01/01/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'IFFCO&@&41',01/01/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'HGL-RLNG&@&42',01/02/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'PipeInfra&@&43',11/10/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:27)
'PipeInfra&@&43',01/01/2020 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:27)
'NFL&@&44',01/05/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'HSIL&@&45',01/05/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'VVF&@&46',14/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'VVF&@&46',14/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'KFL&@&47',23/07/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:27)
'BIL&@&48',25/06/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'RIPL&@&49',19/11/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'CP&@&50',15/10/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'HALHFGL&@&51',26/10/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'VIDUWIL&@&52',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'AGP CGD&@&53',25/01/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'MINDA&@&54',29/01/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'LEIPL&@&55',04/11/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'SCHOTT&@&56',24/02/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'HIL&@&57',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'HCGD-B&@&58',01/04/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'BIPL&@&59',21/07/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'EXXARO&@&60',23/06/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'EXXARO&@&60',29/05/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'STVPL&@&61',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'STVPL&@&61',18/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'JGPL&@&62',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'JGPL&@&62',18/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'WALLCERA&@&63',17/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ASTIS&@&64',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ASTIS&@&64',17/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'PROTON&@&65',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'PROTON&@&65',16/06/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'PROTON&@&65',16/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ANTIQUE&@&66',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ANTIQUE&@&66',16/06/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ANTIQUE&@&66',16/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ACEGRAL&@&67',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ACEGRAL&@&67',16/06/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ACEGRAL&@&67',16/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'KAJARIA&@&68',30/11/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GASGROWS&@&69',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GASGROWS&@&69',07/05/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'SISECAM&@&70',09/06/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ATPL&@&71',17/12/2020 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'OPAL&@&72',28/07/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'JKPAPER&@&73',02/08/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'STL&@&74',25/08/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'UEPL&@&75',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'UEPL&@&75',03/09/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'CELLO&@&76',01/12/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'CALDERYS&@&77',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'CALDERYS&@&77',20/12/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'RCF&@&78',30/12/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'BWRL&@&79',25/01/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'KRYO&@&80',11/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'KRYO&@&80',31/01/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'VIRGO&@&81',12/02/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'BLPL&@&82',02/03/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GIPSKARTON&@&83',24/03/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'TGPL&@&84',27/04/2005 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'SELNG&@&85',29/04/2005 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'SITME&@&86',20/10/2008 00:00:00 , Group , 'null' ,  	(14-APR-2025 12:17:28)
'DT&@&87',01/04/2005 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'ThirdParty&@&88',01/03/2012 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'Gunvor &@&89',10/02/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'RIL-D6&@&90',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'BP &@&91',01/01/2021 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'AMNS-T&@&92',14/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'AMNS-T&@&92',14/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'RIL-CBM&@&93',25/03/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'HPPL&@&95',01/07/2017 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PIL-Haz&@&96',28/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PIL-Haz&@&96',28/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GSPL&@&97',21/04/2006 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GAIL-Haz&@&98',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GAIL-Haz&@&98',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PLLD&@&99',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PLLD&@&99',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'D6Gadimoga&@&100',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'D6Gadimoga&@&100',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PANKGA&@&101',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PANKGA&@&101',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PMSKGA&@&102',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PMSKGA&@&102',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PBHDGS&@&103',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PBHDGS&@&103',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PURCHASE-T&@&104',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PURCHASE-T&@&104',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARK-ANK&@&105',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARK-ANK&@&105',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PHUCBM&@&106',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PHUCBM&@&106',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARK-MSK&@&107',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARK-MSK&@&107',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARK-BHD&@&108',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARK-BHD&@&108',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARKPHUCBM&@&109',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PARKPHUCBM&@&109',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'TGLPL&@&110',29/04/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'TGBPL&@&111',29/04/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'BGEPL&@&112',29/04/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IMCL&@&113',12/05/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'PMSKP&@&114',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PMSKP&@&114',27/06/2023 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'VVF India&@&115',14/05/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GNFC&@&116',24/05/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'MEGHHQX&@&117',02/06/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ONGC&@&118',07/06/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GLIL&@&119',07/06/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'UGEL&@&120',09/06/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'SGI-AP&@&121',27/06/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IGX&@&122',29/06/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IGX&@&123',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'IGX&@&123',14/07/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'IGX&@&123',29/06/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'RGPL&@&124',29/06/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GTIPL&@&125',01/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GSPL-C&@&126',12/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GSPL-C&@&126',12/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'PEPL&@&127',13/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GFCL&@&128',14/07/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'DERL&@&129',16/08/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'CPL&@&130',16/08/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IRM&@&131',07/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IRM&@&131',24/08/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'PPL&@&132',26/08/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'YARALTD&@&133',06/09/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'INPEROX&@&134',13/09/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'RAFECHL&@&135',28/09/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'MGRPL&@&136',07/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'MGRPL&@&136',01/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'CNTENKA&@&137',17/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'EFSPL&@&138',25/10/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'WELSMEL&@&139',16/11/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HINDURV&@&140',17/11/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'DONOTUSE&@&141',21/11/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'DONOTUSE&@&141',21/11/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'DONOTUSE&@&141',21/11/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'DONOTUSE&@&141',21/11/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HCGPUTE&@&142',18/11/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'GOAGLSF&@&143',25/11/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IGSPL&@&144',16/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'IGSPL&@&144',25/11/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ELAWPRC&@&145',02/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'PEFORCV&@&146',08/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'AARVKRO&@&147',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'ACOVIED&@&148',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'ANTIQAC&@&149',15/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'ANTIQAC&@&149',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'ASIANPL&@&150',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'AVLCRMC&@&151',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'AXWELLG&@&152',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'BEGLASS&@&153',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'BHRTFRG&@&154',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'BHEL&@&155',12/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'BICELLO&@&156',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'CAPAROE&@&157',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'CLVTPVL&@&158',12/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'COMFIND&@&159',13/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'DCMSHRI&@&160',13/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'DEENOVK&@&161',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'DHARLTD&@&162',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'DURAVIT&@&163',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'DURZGRA&@&164',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'ERACLTD&@&165',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'EURILTD&@&166',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'FIORGPL&@&167',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GAMALTD&@&168',13/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GFLLTD&@&169',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GMRLTD&@&170',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GOCOPRL&@&171',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GLDIDLI&@&172',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GJALCHEM&@&173',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GUJASZR&@&174',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GUJAGAS&@&175',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'JOHNTBK&@&176',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HARYCIT&@&177',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HCGKCEP&@&178',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HEGLPWN&@&179',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HEROMO&@&180',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HICOTED&@&181',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HOECLTD&@&182',14/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'HINZINC&@&183',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HINAGIL&@&184',14/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'HINSPEC&@&185',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HOLLFIE&@&186',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HNDMTRS&@&187',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'HPOIGAS&@&188',14/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'ICONGLTD&@&189',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'INDOLPL&@&190',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'GASJIND&@&191',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'LEXGRAN&@&192',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'LOCEPRI&@&193',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'LORVTPL&@&194',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'LUMGLAP&@&195',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'MANIKAR&@&196',14/12/2022 00:00:00 , 3rd Party , 'null' ,  	(14-APR-2025 12:17:28)
'MARUTIS&@&197',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'MAXGLTD&@&198',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'LLPMILL&@&199',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'LTDMILG&@&200',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'MILVITL&@&201',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'MINDLTD&@&202',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
'MMPINDL&@&203',14/12/2022 00:00:00 , null , 'null' ,  	(14-APR-2025 12:17:28)
