
<<START>>,<<FMS_METER_MST>>,,,, 	(21-FEB-2025 10:34:03)
Gail,16,6,1,GAIL Dahej-1-6, 	(21-FEB-2025 10:34:04)
Gail,16,7,1,ONGC HAZ-7, 	(21-FEB-2025 10:34:04)
Gail,16,8,1,Ex-Jaya Meter-8, 	(21-FEB-2025 10:34:04)
Gail,16,9,1,GAIL HAZ SEM-9, 	(21-FEB-2025 10:34:04)
RGPL,17,1,1,SHPPL-1, 	(21-FEB-2025 10:34:04)
PipeInfra,18,1,1,PIL SKID-2-1, 	(21-FEB-2025 10:34:04)
PipeInfra,18,2,1,-2, 	(21-FEB-2025 10:34:04)
PipeInfra,18,3,1,BHD-1-3, 	(21-FEB-2025 10:34:04)
PipeInfra,18,4,1,PIL Gadimoga-4, 	(21-FEB-2025 10:34:04)
PipeInfra,18,5,1,MSK-01-5, 	(21-FEB-2025 10:34:04)
PipeInfra,18,6,1,BHO Meter-6, 	(21-FEB-2025 10:34:04)
PipeInfra,18,7,1,-7, 	(21-FEB-2025 10:34:04)
PipeInfra,18,8,1,BHD-1-8, 	(21-FEB-2025 10:34:04)
GSIGLIM,19,1,1,-1, 	(21-FEB-2025 10:34:04)
GSIGLIM,19,2,1,-2, 	(21-FEB-2025 10:34:04)
GSINLIM,20,1,1,GTIL KUC-1, 	(21-FEB-2025 10:34:04)
PIL-Haz,1,0,0,PIL-Haz-P0-0, 	(21-FEB-2025 10:34:04)
GSPL,2,0,0,GSPL-P0-0, 	(21-FEB-2025 10:34:04)
GAIL-Haz,3,0,0,GAIL-Haz-P0-0, 	(21-FEB-2025 10:34:04)
PLLD,4,0,0,PLLD-P0-0, 	(21-FEB-2025 10:34:04)
D6Gadimoga,5,0,0,D6Gadimoga-P0-0, 	(21-FEB-2025 10:34:04)
PANKGA,6,0,0,PANKGA-P0-0, 	(21-FEB-2025 10:34:04)
PMSKGA,7,0,0,PMSKGA-P0-0, 	(21-FEB-2025 10:34:04)
PBHDGS,8,0,0,PBHDGS-P0-0, 	(21-FEB-2025 10:34:04)
PBHDGS,8,0,0,PBHDGS-P0-0, 	(21-FEB-2025 10:34:04)
PURCHASE-T,9,0,0,PURCHASE-T-P0-0, 	(21-FEB-2025 10:34:04)
PARK-ANK,10,0,0,PARK-ANK-P0-0, 	(21-FEB-2025 10:34:04)
PHUCBM,11,0,0,PHUCBM-P0-0, 	(21-FEB-2025 10:34:04)
PARK-MSK,12,0,0,PARK-MSK-P0-0, 	(21-FEB-2025 10:34:04)
PARK-BHD,13,0,0,PARK-BHD-P0-0, 	(21-FEB-2025 10:34:04)
PARKPHUCBM,14,0,0,PARKPHUCBM-P0-0, 	(21-FEB-2025 10:34:04)
PMSKP,15,0,0,PMSKP-P0-0, 	(21-FEB-2025 10:34:04)
Gail,16,0,0,Gail-P0-0, 	(21-FEB-2025 10:34:04)
RGPL,17,0,0,RGPL-P0-0, 	(21-FEB-2025 10:34:04)
PipeInfra,18,0,0,PipeInfra-P0-0, 	(21-FEB-2025 10:34:04)
GSIGLIM,19,0,0,GSIGLIM-P0-0, 	(21-FEB-2025 10:34:04)
GSINLIM,20,0,0,GSINLIM-P0-0, 	(21-FEB-2025 10:34:04)

TOTAL DATA EXTRACTED :,73,,,, 	(21-FEB-2025 10:34:04)
 
<<END>>,<<FMS_METER_MST>>,,,, 	(21-FEB-2025 10:34:04)
 
