

<<START>>,<<FMS_SUPPLY_CONT_TRANSPTR>>,,,,,,,, 	(04-JUN-2025 10:15:47)
 
COUNTERPARTY_CD, AGMT_NO, AGMT_REV, CONT_NO, CONT_REV, CONTRACT_TYPE, TRANSPORTER_CD, PLANT_SEQ_NO, TIMESTAMP
1,2,0,25,1,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,25,1,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,42,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,42,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,42,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,42,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,6,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,6,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,6,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,6,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,8,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,8,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,8,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,8,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,27,3,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,27,3,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,27,3,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,27,3,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,1,36,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,1,36,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,1,36,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,1,36,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,16,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,16,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,16,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,16,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,17,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,17,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,17,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,17,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,S,GSPL,3, 	(04-JUN-2025 10:15:48)
1,2,0,1,0,S,GSPL,4, 	(04-JUN-2025 10:15:48)
1,2,0,3,0,S,GSPL,1, 	(04-JUN-2025 10:15:48)
1,2,0,3,0,S,GSPL,2, 	(04-JUN-2025 10:15:48)
