
<<START>>,<<FMS_LTCORA_CONT_BILLING_DTL>>,,,, 	(12-SEP-2025 16:03:09)
 
3,C,A,5,0,50519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,12,0,11219,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,4,0,10419,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
20,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
20,C,A,1,0,5,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,1,0,12016,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,6,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,9,0,12019,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,80519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,4,0,20419,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,4,0,12017,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
20,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
20,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,14,0,11419,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,4,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,10,0,11019,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,100519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,15,0,11519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,110519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,0,120519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,5,0,10519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,6,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
26,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
26,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,18,0,11820,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,7,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
34,C,A,1,0,2,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,1,120519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,1,110519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,1,100519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
3,C,A,5,1,90519,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,16,0,11619,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,18,0,21820,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,17,0,11719,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,6,0,10620,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,19,0,11921,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
4,C,A,7,0,10722,0,Q, 	(12-SEP-2025 16:03:09)
4,C,A,7,0,10722,0,Q, 	(12-SEP-2025 16:03:09)
4,C,A,7,0,10722,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
34,C,A,1,0,1,0,O, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
33,C,A,19,0,11925,0,Q, 	(12-SEP-2025 16:03:09)
COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
1,C,A,1,0,8,0,O, 	(12-SEP-2025 16:03:09)
RIL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,2, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,3, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,4, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,5, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,7, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,8, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
RIL,C,A,1,0,1, 	(12-SEP-2025 16:03:10)
