
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(09-SEP-2025 13:21:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
TGLPL,84,C,1, 	(09-SEP-2025 13:21:54)
TGBPL,85,C,2, 	(09-SEP-2025 13:21:54)
TGBPL,85,C,1, 	(09-SEP-2025 13:21:54)
BGEPL,86,C,1, 	(09-SEP-2025 13:21:54)
IMCL,87,C,1, 	(09-SEP-2025 13:21:54)
VVF India,88,C,1, 	(09-SEP-2025 13:21:54)
GNFC,89,C,1, 	(09-SEP-2025 13:21:54)
GNFC,89,C,2, 	(09-SEP-2025 13:21:54)
GNFC,89,C,2, 	(09-SEP-2025 13:21:54)
MEGHHQX,90,C,1, 	(09-SEP-2025 13:21:54)
GLIL,91,C,4, 	(09-SEP-2025 13:21:54)
GLIL,91,C,1, 	(09-SEP-2025 13:21:54)
GLIL,91,C,2, 	(09-SEP-2025 13:21:54)
GLIL,91,C,3, 	(09-SEP-2025 13:21:54)
GLIL,91,C,3, 	(09-SEP-2025 13:21:54)
GLIL,91,C,1, 	(09-SEP-2025 13:21:54)
GLIL,91,C,2, 	(09-SEP-2025 13:21:54)
SGI-AP,93,C,1, 	(09-SEP-2025 13:21:54)
PEPL,99,C,1, 	(09-SEP-2025 13:21:54)
PEPL,99,C,2, 	(09-SEP-2025 13:21:54)
GFCL,100,C,2, 	(09-SEP-2025 13:21:54)
GFCL,100,C,1, 	(09-SEP-2025 13:21:54)
CPL,101,C,1, 	(09-SEP-2025 13:21:54)
IRM,102,C,1, 	(09-SEP-2025 13:21:54)
IRM,102,C,1, 	(09-SEP-2025 13:21:54)
PPL,103,C,1, 	(09-SEP-2025 13:21:54)
PPL,103,C,1, 	(09-SEP-2025 13:21:54)
YARALTD,104,C,1, 	(09-SEP-2025 13:21:54)
YARALTD,104,C,1, 	(09-SEP-2025 13:21:54)
INPEROX,105,C,1, 	(09-SEP-2025 13:21:54)
RAFECHL,106,C,1, 	(09-SEP-2025 13:21:54)
CNTENKA,107,C,1, 	(09-SEP-2025 13:21:54)
HCGPUTE,108,C,1, 	(09-SEP-2025 13:21:54)
IGSPL,109,C,2, 	(09-SEP-2025 13:21:54)
IGSPL,109,C,2, 	(09-SEP-2025 13:21:54)
IGSPL,109,C,1, 	(09-SEP-2025 13:21:54)
IGSPL,109,C,1, 	(09-SEP-2025 13:21:54)
GOAGLSF,110,C,1, 	(09-SEP-2025 13:21:54)
MGRPL,111,C,2, 	(09-SEP-2025 13:21:54)
MGRPL,111,C,1, 	(09-SEP-2025 13:21:54)
PEFORCV,112,C,1, 	(09-SEP-2025 13:21:54)
HMEL,113,C,5, 	(09-SEP-2025 13:21:54)
HMEL,113,C,6, 	(09-SEP-2025 13:21:54)
HMEL,113,C,6, 	(09-SEP-2025 13:21:54)
HMEL,113,C,3, 	(09-SEP-2025 13:21:54)
HMEL,113,C,4, 	(09-SEP-2025 13:21:54)
HMEL,113,C,5, 	(09-SEP-2025 13:21:54)
HMEL,113,C,1, 	(09-SEP-2025 13:21:54)
HMEL,113,C,2, 	(09-SEP-2025 13:21:54)
HMEL,113,C,4, 	(09-SEP-2025 13:21:54)
HMEL,113,C,1, 	(09-SEP-2025 13:21:54)
TASTELI,114,C,1, 	(09-SEP-2025 13:21:54)
AGPCGIN,115,C,2, 	(09-SEP-2025 13:21:54)
AGPCGIN,115,C,1, 	(09-SEP-2025 13:21:54)
HINDURV,116,C,2, 	(09-SEP-2025 13:21:54)
HINDURV,116,C,1, 	(09-SEP-2025 13:21:54)
NEL,117,C,1, 	(09-SEP-2025 13:21:54)
VISHPRI,118,C,1, 	(09-SEP-2025 13:21:54)
SOMANYL,119,C,1, 	(09-SEP-2025 13:21:54)
IDOINVA,120,C,1, 	(09-SEP-2025 13:21:54)
DCMSHRI,121,C,1, 	(09-SEP-2025 13:21:54)
GOLDPFG,122,C,1, 	(09-SEP-2025 13:21:54)
