

<<START>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:22)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,GAS_DT,NOM_REV_NO,TRANSPORTER_MAP,CONT_MAP,MDQ,TIMESTAMP,

TOTAL DATA EXTRACTED :,237 ,,, 	(30-AUG-2025 10:37:25)
 
<<END>>,<<FMS_GTA_FFLOW_INV_MST>>,,, 	(30-AUG-2025 10:37:25)
 

<<START>>,<<FMS_GTA_FFLOW_INV_DTL>>,,, 	(30-AUG-2025 10:37:25)
 
COMPANY_CD,COUNTERPARTY_CD,CONTRACT_TYPE,INVOICE_NO,INVOICE_TYPE,TIMESTAMP,
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109006831 REF1,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109009364,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1604-1101,FGSA,UPG2A25109009365,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-381,FGSA,UPG2A24109002564,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-381,FGSA,UPG2A24109003230,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-381,FGSA,UPG2A24109003849,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-381,FGSA,UPG2A24109005964,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-381,FGSA,UPG2A24109007956,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-701,FGSA,UPG2A23109011759,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1603-392,FGSA,UPG2A23109007850,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109000073,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109000303,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004236,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004237,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004636,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004636,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004846,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004847,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109004847,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005726,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005726,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005742,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109005742,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109007220,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109007221,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109007221,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008171,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008172,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008172,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008766,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008766,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109008767,IC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109011730,TC, 	(30-AUG-2025 10:37:25)
Gail,16-1-1-16-1601-701,FGSA,UPG2A24109011732,TC, 	(30-AUG-2025 10:37:25)
