
<<START>>,<<FMS_PUR_PG_INV_MST>>, 	(12-SEP-2025 15:20:20)
 
COMPANY_CD,COUNTERPARTY_CD, PLANT_SEQ, FINANCIAL_YEAR,CONTRACT_TYPE,INVOICE_NO,TIMESTAMP
,RIL,1,2024-2025,I,3241100083, 	(12-SEP-2025 15:20:21)
,RIL,1,2024-2025,I,3241100085, 	(12-SEP-2025 15:20:21)
,RIL,1,2024-2025,I,3241100087, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2023,I,3225201250, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2023,I,3000098012, 	(12-SEP-2025 15:20:21)
,BP,1,2022-2024,I,3225201721, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235200080, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235200199, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201486, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201645, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201634, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201806, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201807, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201976, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235201977, 	(12-SEP-2025 15:20:21)
,BP,1,2023-2024,I,3235202009, 	(12-SEP-2025 15:20:21)
,BP,1,2024-2025,I,3245100083, 	(12-SEP-2025 15:20:21)
,BP,1,2024-2025,I,3245100085, 	(12-SEP-2025 15:20:21)
,BP,1,2024-2025,I,3245100087, 	(12-SEP-2025 15:20:21)
,RIL,5,2022-2023,D,2422000063, 	(12-SEP-2025 15:20:21)
,RIL,5,2022-2023,D,2422000083, 	(12-SEP-2025 15:20:21)
,RIL,5,2022-2023,D,2422000091, 	(12-SEP-2025 15:20:21)
,RIL,5,2022-2024,D,2422000095, 	(12-SEP-2025 15:20:21)
,ONGC,1,2022-2023,I,7210201505, 	(12-SEP-2025 15:20:21)
,ONGC,1,2022-2023,I,7210201567, 	(12-SEP-2025 15:20:21)
,ONGC,1,2022-2023,I,7210201640, 	(12-SEP-2025 15:20:21)
,ONGC,1,2022-2023,I,7210201696, 	(12-SEP-2025 15:20:21)
,ONGC,1,2022-2023,I,7210201743, 	(12-SEP-2025 15:20:21)
,ONGC,1,2022-2023,I,7210201780, 	(12-SEP-2025 15:20:21)
,ONGC,1,2023-2024,I,7210201943, 	(12-SEP-2025 15:20:21)
,EFSPL,1,2022-2023,I,EF/22-23/123, 	(12-SEP-2025 15:20:21)
,EFSPL,2,2024-2025,I,EFVATMH2425189, 	(12-SEP-2025 15:20:21)
,EFSPL,2,2024-2025,I,EFVATMH2425190, 	(12-SEP-2025 15:20:21)
,IGSPL,1,2023-2024,D,24I00123/23-24, 	(12-SEP-2025 15:20:21)
,IGSPL,1,2023-2024,D,27I00159/23-24, 	(12-SEP-2025 15:20:21)
,IGSPL,1,2023-2024,D,24I00127/23-24, 	(12-SEP-2025 15:20:21)
,IGSPL,2,2023-2024,D,24I00139/23-24, 	(12-SEP-2025 15:20:21)
,HOECLTD,1,2024-2025,I,GAS/24-25/005, 	(12-SEP-2025 15:20:21)

TOTAL DATA EXTRACTED :,161,  	(12-SEP-2025 15:20:21)
 
<<END>>,<<FMS_PUR_PG_INV_MST>>, 	(12-SEP-2025 15:20:21)
 
