

<<START>>,<<FMS_AGMT_MST>>,,, 	(03-MAR-2025 12:33:51)
 
COUNTERPARTY_ABBR,AGMT_TYPE,AGMT_NO,AGMT_REV 	(03-MAR-2025 12:33:52)
BPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
BPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
EPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
EPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
EPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
EPL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
ESL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
ESL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
ESL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
ESL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
KRIBHCO,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
KRIBHCO,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
KRIBHCO,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
KRIBHCO,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
DFPCL,F,2,0,GSPL,1, 	(03-MAR-2025 12:33:53)
DFPCL,F,2,0,GSPL,2, 	(03-MAR-2025 12:33:53)
DFPCL,F,2,0,GSPL,3, 	(03-MAR-2025 12:33:53)
DFPCL,F,2,0,GSPL,4, 	(03-MAR-2025 12:33:53)
ESEZ,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
ESEZ,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
ESEZ,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
ESEZ,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
GGCL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
GGCL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
GGCL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
GGCL,F,1,0,GSPL,4, 	(03-MAR-2025 12:33:53)
TPL,F,1,0,GSPL,1, 	(03-MAR-2025 12:33:53)
TPL,F,1,0,GSPL,2, 	(03-MAR-2025 12:33:53)
TPL,F,1,0,GSPL,3, 	(03-MAR-2025 12:33:53)
