
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(06-MAY-2025 14:32:38)
10012,null,0,23/03/2012 00:00:00,T002759 was initial provisional invoice, there was error in "invoice frm" date, hence they issued another invoice and earlier was was credited thro' credit note, 	(06-MAY-2025 14:32:39)
10013,null,0,12/09/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
10013,null,0,12/09/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
10009,null,0,21/03/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
10010,null,0,31/08/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
10011,null,0,06/11/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
10012,null,0,23/03/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
10013,null,0,12/09/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
10009,null,0,07/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing., 	(06-MAY-2025 14:32:39)
10010,null,0,22/08/2011 00:00:00,1.21 Rs. Adjustment as Differencial CD ..., 	(06-MAY-2025 14:32:39)
10011,null,0,22/10/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
10012,null,0,23/03/2012 00:00:00,The total custom duty is rounded and tallied with excel calculation, 	(06-MAY-2025 14:32:39)
10013,null,0,12/09/2012 00:00:00,The value matched as per Custom EDI system, 	(06-MAY-2025 14:32:39)
10009,null,0,21/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing., 	(06-MAY-2025 14:32:39)
10010,null,0,31/08/2011 00:00:00,-1.21 Rs. Adjustment as Differencial CD., 	(06-MAY-2025 14:32:39)
10011,null,0,06/11/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
10012,null,0,23/03/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
10013,null,0,12/09/2012 00:00:00,Qty unloaded is less than provisional quantity, 	(06-MAY-2025 14:32:39)
10005,null,0,28/09/2010 00:00:00,null, 	(06-MAY-2025 14:32:39)
10005,null,0,28/09/2010 00:00:00,null, 	(06-MAY-2025 14:32:39)
10005,null,0,05/10/2010 00:00:00,null, 	(06-MAY-2025 14:32:39)
10005,null,0,28/09/2010 00:00:00,null, 	(06-MAY-2025 14:32:39)
10005,null,0,05/10/2010 00:00:00,null, 	(06-MAY-2025 14:32:39)
11002,null,0,12/02/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11002,null,0,12/02/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11002,null,0,16/02/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11002,null,0,12/02/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11002,null,0,16/02/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11011,null,0,23/04/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11011,null,0,23/04/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11012,null,0,03/06/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11012,null,0,03/06/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11013,null,0,05/07/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11013,null,0,05/07/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11014,null,0,11/09/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11014,null,0,11/09/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11015,null,0,18/10/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11015,null,0,18/10/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11016,null,0,02/12/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11016,null,0,02/12/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11011,null,0,22/04/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11012,null,0,03/06/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11013,null,0,05/07/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11014,null,0,11/09/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11015,null,0,18/10/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11016,null,0,02/12/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11011,null,0,23/04/2013 00:00:00,As per Excel calculation, 	(06-MAY-2025 14:32:39)
11012,null,0,03/06/2013 00:00:00,This is as per the amount paid as per EDI System calculation, 	(06-MAY-2025 14:32:39)
11013,null,0,05/07/2013 00:00:00,This is the exact amount paid as custom duty as per EDI system., 	(06-MAY-2025 14:32:39)
11014,null,0,11/09/2013 00:00:00,Roundedupto to tally teh excel value with teh value paid as per EDI System., 	(06-MAY-2025 14:32:39)
11015,null,0,18/10/2013 00:00:00,The excel calculation is matched with the PD Bond value, 	(06-MAY-2025 14:32:39)
11016,null,0,02/12/2013 00:00:00,null, 	(06-MAY-2025 14:32:39)
11011,null,0,22/04/2013 00:00:00,Values matched with excel calculation., 	(06-MAY-2025 14:32:39)
11012,null,0,03/06/2013 00:00:00,Roundedup value for refund is Rs. 594,667, Differential CD is [-0.47], 	(06-MAY-2025 14:32:39)
11013,null,0,05/07/2013 00:00:00,Roundedup value for refund is Rs. 951064, Differential CD is [-0.96], 	(06-MAY-2025 14:32:39)
11014,null,0,11/09/2013 00:00:00,Roundedup value for refund is Rs. 219931, Differential CD is [0.64], 	(06-MAY-2025 14:32:39)
11015,null,0,18/10/2013 00:00:00,Rounded up to match the excel value., 	(06-MAY-2025 14:32:39)
11016,null,0,02/12/2013 00:00:00,Roundedup to match with excel value, 	(06-MAY-2025 14:32:39)
11006,null,0,20/06/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11006,null,0,20/06/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11006,null,0,29/06/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11006,null,0,20/06/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11006,null,0,29/06/2011 00:00:00,null, 	(06-MAY-2025 14:32:39)
11008,null,0,10/02/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11008,null,0,10/02/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11009,null,0,25/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12, 	(06-MAY-2025 14:32:39)
11009,null,0,25/05/2012 00:00:00,Due to change in process,EDQ taken fm B/L. B/L no. QG2-TFR01-2011-013-01,endorsed on 8th May,12, 	(06-MAY-2025 14:32:39)
11010,null,0,13/08/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11010,null,0,13/08/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11008,null,0,10/02/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11009,null,0,25/05/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11010,null,0,13/08/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11008,null,0,10/02/2012 00:00:00,null, 	(06-MAY-2025 14:32:39)
11009,null,0,25/05/2012 00:00:00,Due to the change in Custom EDI system additional cess Rs.63644.82 being paid in custom duty, 	(06-MAY-2025 14:32:39)
11010,null,0,13/08/2012 00:00:00,Rounded off & tallied with custom EDI system value, 	(06-MAY-2025 14:32:39)
11008,null,0,10/02/2012 00:00:00,Rounding of the actual value is Rs. 2585087.00 for which the cheque needs to be prepared., 	(06-MAY-2025 14:32:39)
11009,null,0,25/05/2012 00:00:00,The Differential CD is the additional amount paid as the provisional custom duty which is reflected as Differential CD in Provisional customs duty payment window too., 	(06-MAY-2025 14:32:39)
11010,null,0,13/08/2012 00:00:00,The Differential CD to be rounded off which will be the total refund value from the custom duty paid., 	(06-MAY-2025 14:32:39)
5001,null,0,14/04/2005 00:00:00,Actual data, 	(06-MAY-2025 14:32:39)
5001,null,0,14/04/2005 00:00:00,Actual data, 	(06-MAY-2025 14:32:39)
5001,null,0,14/06/2005 00:00:00,null, 	(06-MAY-2025 14:32:39)
5001,null,0,14/04/2005 00:00:00,null, 	(06-MAY-2025 14:32:39)
5001,null,0,14/06/2005 00:00:00,null, 	(06-MAY-2025 14:32:39)
5003,null,0,18/10/2005 00:00:00,Actual Data, 	(06-MAY-2025 14:32:39)
5003,null,0,18/10/2005 00:00:00,Actual Data, 	(06-MAY-2025 14:32:39)
5003,null,0,31/10/2005 00:00:00,null, 	(06-MAY-2025 14:32:40)
5003,null,0,18/10/2005 00:00:00,null, 	(06-MAY-2025 14:32:40)
5003,null,0,31/10/2005 00:00:00,null, 	(06-MAY-2025 14:32:40)
6001,null,0,03/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6001,null,0,03/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6001,null,0,null,null, 	(06-MAY-2025 14:32:40)
6001,null,0,03/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
7001,null,0,22/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7001,null,0,22/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7001,null,0,22/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7001,null,0,22/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7006,null,0,27/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7006,null,0,27/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7006,null,0,27/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7006,null,0,27/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6011,null,0,14/03/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6011,null,0,14/03/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6011,null,0,14/03/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6011,null,0,14/03/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6013,null,0,24/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6013,null,0,24/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6013,null,0,24/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6013,null,0,24/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6013,null,0,24/04/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6009,null,0,06/02/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6009,null,0,06/02/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6009,null,0,06/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6009,null,0,06/02/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6009,null,0,06/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6008,null,0,16/01/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6008,null,0,16/01/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6008,null,0,16/01/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6008,null,0,16/01/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7002,null,0,06/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7002,null,0,06/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7002,null,0,06/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7002,null,0,06/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7002,null,0,06/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6007,null,0,03/01/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6007,null,0,03/01/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6007,null,0,03/01/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6007,null,0,03/01/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
7003,null,0,24/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7003,null,0,24/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7003,null,0,24/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7003,null,0,24/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7003,null,0,24/05/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6006,null,0,07/12/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6006,null,0,07/12/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6006,null,0,07/12/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6006,null,0,07/12/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6006,null,0,07/12/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6004,null,0,18/07/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6004,null,0,18/07/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6004,null,0,22/07/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6004,null,0,18/07/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
7005,null,0,13/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7005,null,0,13/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7005,null,0,13/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7005,null,0,13/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7005,null,0,13/06/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6010,null,0,20/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6010,null,0,20/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6010,null,0,20/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6010,null,0,20/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6010,null,0,20/02/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
6005,null,0,29/11/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6005,null,0,29/11/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6005,null,0,29/11/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6005,null,0,29/11/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6002,null,0,17/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6002,null,0,17/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6002,null,0,27/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
6002,null,0,17/05/2006 00:00:00,null, 	(06-MAY-2025 14:32:40)
7008,null,0,29/07/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7008,null,0,29/07/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7008,null,0,29/07/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7008,null,0,29/07/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7008,null,0,29/07/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7025,null,0,13/12/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7025,null,0,13/12/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7025,null,0,13/12/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7025,null,0,13/12/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
7025,null,0,13/12/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
8004,null,0,08/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8004,null,0,08/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8004,null,0,14/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8004,null,0,08/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8004,null,0,14/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8005,null,0,17/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8005,null,0,17/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
8005,null,0,17/03/2009 00:00:00,null, 	(06-MAY-2025 14:32:40)
8005,null,0,17/03/2008 00:00:00,null, 	(06-MAY-2025 14:32:40)
7009,null,0,02/08/2007 00:00:00,null, 	(06-MAY-2025 14:32:40)
