
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(18-FEB-2025 11:41:17)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
SVTPLIN,135,C,1, 	(18-FEB-2025 11:41:19)
BOROREN,136,C,1, 	(18-FEB-2025 11:41:19)
AGL,137,C,1, 	(18-FEB-2025 11:41:19)
HPOIGAS,138,C,1, 	(18-FEB-2025 11:41:19)
SANENER,139,C,1, 	(18-FEB-2025 11:41:19)
NGPL,140,C,1, 	(18-FEB-2025 11:41:19)
ROCKMAN,141,C,1, 	(18-FEB-2025 11:41:19)
KUTCHCL,143,C,1, 	(18-FEB-2025 11:41:19)
NESTLIN,144,C,1, 	(18-FEB-2025 11:41:19)
LANCO,146,C,1, 	(18-FEB-2025 11:41:19)
LANCO,146,C,1, 	(18-FEB-2025 11:41:19)
HINAGIL,147,C,1, 	(18-FEB-2025 11:41:19)
BHEL,148,C,1, 	(18-FEB-2025 11:41:19)
BHEL,148,C,2, 	(18-FEB-2025 11:41:19)
CRMNDEL,149,C,1, 	(18-FEB-2025 11:41:19)
CRMNDEL,149,C,1, 	(18-FEB-2025 11:41:19)
RIL-D6,7,T,1, 	(18-FEB-2025 11:41:19)
RIL-D6,7,T,2, 	(18-FEB-2025 11:41:19)
RIL-D6,7,T,2, 	(18-FEB-2025 11:41:19)
BP,8,T,2, 	(18-FEB-2025 11:41:19)
BP,8,T,2, 	(18-FEB-2025 11:41:19)
BP,8,T,1, 	(18-FEB-2025 11:41:19)
RIL-CBM,10,T,4, 	(18-FEB-2025 11:41:19)
RIL-CBM,10,T,5, 	(18-FEB-2025 11:41:19)
ONGC,12,T,1, 	(18-FEB-2025 11:41:19)
AMNS,13,T,1, 	(18-FEB-2025 11:41:19)
AMNS,13,T,2, 	(18-FEB-2025 11:41:19)
AMNS,13,T,1, 	(18-FEB-2025 11:41:19)
BPCL,14,T,1, 	(18-FEB-2025 11:41:19)
SEMTIPL,16,T,2, 	(18-FEB-2025 11:41:19)
SEMTIPL,16,T,4, 	(18-FEB-2025 11:41:19)
SEMTIPL,16,T,2, 	(18-FEB-2025 11:41:19)
MGRPL,17,T,1, 	(18-FEB-2025 11:41:19)
MGRPL,17,T,2, 	(18-FEB-2025 11:41:19)
EFSPL,18,T,1, 	(18-FEB-2025 11:41:19)
EFSPL,18,T,2, 	(18-FEB-2025 11:41:19)
DIL,19,T,2, 	(18-FEB-2025 11:41:19)
CAIRENH,22,T,1, 	(18-FEB-2025 11:41:19)
VEDALTD,23,T,1, 	(18-FEB-2025 11:41:19)
ESSAREX,25,T,1, 	(18-FEB-2025 11:41:19)
IGSPL,26,T,2, 	(18-FEB-2025 11:41:19)
HOECLTD,31,T,1, 	(18-FEB-2025 11:41:19)
SANENER,32,T,1, 	(18-FEB-2025 11:41:19)

TOTAL DATA EXTRACTED :,300,,, 	(18-FEB-2025 11:41:19)
 
<<END>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(18-FEB-2025 11:41:19)
 
