
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(03-JUN-2025 11:32:58)
 
 COUNTERPARTY_CD, SEQ_NO, MAP_SEQ_NO, SEQ_REV_NO, GX ,  CONT_TYPE,TIMESTAMP
10,2,1,K,S, 	(03-JUN-2025 11:33:00)
10,3,1,K,S, 	(03-JUN-2025 11:33:00)
10,4,1,K,S, 	(03-JUN-2025 11:33:00)
10,5,1,K,S, 	(03-JUN-2025 11:33:00)
10,6,1,K,S, 	(03-JUN-2025 11:33:00)
10,7,1,K,S, 	(03-JUN-2025 11:33:00)
10,8,1,K,S, 	(03-JUN-2025 11:33:00)
10,9,1,K,S, 	(03-JUN-2025 11:33:00)
10,10,1,K,S, 	(03-JUN-2025 11:33:00)
10,1,1,K,L, 	(03-JUN-2025 11:33:00)
23,1,1,K,S, 	(03-JUN-2025 11:33:00)
23,2,1,K,S, 	(03-JUN-2025 11:33:00)
23,3,1,K,S, 	(03-JUN-2025 11:33:00)
23,4,1,K,S, 	(03-JUN-2025 11:33:00)
23,5,1,K,S, 	(03-JUN-2025 11:33:00)
23,6,1,K,S, 	(03-JUN-2025 11:33:00)
23,1,1,K,L, 	(03-JUN-2025 11:33:00)
23,2,1,K,L, 	(03-JUN-2025 11:33:00)
23,3,1,K,L, 	(03-JUN-2025 11:33:00)
26,1,1,K,S, 	(03-JUN-2025 11:33:00)
26,2,1,K,S, 	(03-JUN-2025 11:33:00)
26,3,1,K,S, 	(03-JUN-2025 11:33:00)
26,4,1,K,S, 	(03-JUN-2025 11:33:00)
26,5,1,K,S, 	(03-JUN-2025 11:33:00)
26,6,1,K,S, 	(03-JUN-2025 11:33:00)
26,7,1,K,S, 	(03-JUN-2025 11:33:00)
26,8,1,K,S, 	(03-JUN-2025 11:33:00)
26,9,1,K,S, 	(03-JUN-2025 11:33:00)
26,10,1,K,S, 	(03-JUN-2025 11:33:00)
26,11,1,K,S, 	(03-JUN-2025 11:33:00)
26,12,1,K,S, 	(03-JUN-2025 11:33:00)
26,13,1,K,S, 	(03-JUN-2025 11:33:00)
26,14,1,K,S, 	(03-JUN-2025 11:33:00)
26,15,1,K,S, 	(03-JUN-2025 11:33:00)
26,16,1,K,S, 	(03-JUN-2025 11:33:00)
26,17,1,K,S, 	(03-JUN-2025 11:33:00)
26,18,1,K,S, 	(03-JUN-2025 11:33:00)
29,1,1,K,S, 	(03-JUN-2025 11:33:00)
29,2,1,K,S, 	(03-JUN-2025 11:33:00)
29,3,1,K,S, 	(03-JUN-2025 11:33:00)
29,4,1,K,S, 	(03-JUN-2025 11:33:00)
29,5,1,K,S, 	(03-JUN-2025 11:33:00)
29,6,1,K,S, 	(03-JUN-2025 11:33:00)
29,7,1,K,S, 	(03-JUN-2025 11:33:00)
29,8,1,K,S, 	(03-JUN-2025 11:33:00)
29,9,1,K,S, 	(03-JUN-2025 11:33:00)
29,10,1,K,S, 	(03-JUN-2025 11:33:00)
29,11,1,K,L, 	(03-JUN-2025 11:33:00)
29,12,1,K,L, 	(03-JUN-2025 11:33:00)
29,13,1,K,L, 	(03-JUN-2025 11:33:00)
29,14,1,K,L, 	(03-JUN-2025 11:33:00)
32,1,1,K,S, 	(03-JUN-2025 11:33:00)
33,1,1,K,S, 	(03-JUN-2025 11:33:00)
33,2,1,K,S, 	(03-JUN-2025 11:33:00)
33,3,1,K,S, 	(03-JUN-2025 11:33:00)
33,4,1,K,S, 	(03-JUN-2025 11:33:00)
33,5,1,K,S, 	(03-JUN-2025 11:33:00)
33,6,1,K,S, 	(03-JUN-2025 11:33:00)
