

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(20-FEB-2025 11:49:58)
HPCL , 26 , 2 , T ,  	(20-FEB-2025 11:49:59)
JSW , 27 , 1 , C ,  	(20-FEB-2025 11:49:59)
BGL , 28 , 1 , C ,  	(20-FEB-2025 11:49:59)
GSFC , 29 , 1 , C ,  	(20-FEB-2025 11:49:59)
H-Energy , 30 , 1 , C ,  	(20-FEB-2025 11:49:59)
SIMPL , 31 , 1 , C ,  	(20-FEB-2025 11:49:59)
ATGL , 32 , 1 , C ,  	(20-FEB-2025 11:49:59)
AMNS , 33 , 1 , C ,  	(20-FEB-2025 11:49:59)
AMNS , 33 , 2 , T ,  	(20-FEB-2025 11:49:59)
SEMTIPL , 34 , 1 , C ,  	(20-FEB-2025 11:49:59)
SEMTIPL , 34 , 2 , T ,  	(20-FEB-2025 11:49:59)
SGIPL , 35 , 1 , C ,  	(20-FEB-2025 11:49:59)
VGL , 36 , 1 , C ,  	(20-FEB-2025 11:49:59)
PGPGPL , 37 , 1 , C ,  	(20-FEB-2025 11:49:59)
HCG , 38 , 1 , C ,  	(20-FEB-2025 11:49:59)
GGL , 39 , 1 , C ,  	(20-FEB-2025 11:49:59)
CFC , 40 , 1 , C ,  	(20-FEB-2025 11:49:59)
IFFCO , 41 , 1 , C ,  	(20-FEB-2025 11:49:59)
HGL-RLNG , 42 , 1 , C ,  	(20-FEB-2025 11:49:59)
PipeInfra , 43 , 1 , C ,  	(20-FEB-2025 11:49:59)
PipeInfra , 43 , 2 , R ,  	(20-FEB-2025 11:49:59)
NFL-Nangal , 44 , 1 , C ,  	(20-FEB-2025 11:49:59)
HSIL , 45 , 1 , C ,  	(20-FEB-2025 11:49:59)
VVF , 46 , 1 , C ,  	(20-FEB-2025 11:49:59)
KFL , 47 , 1 , C ,  	(20-FEB-2025 11:49:59)
BIL , 48 , 1 , C ,  	(20-FEB-2025 11:49:59)
RIPL , 49 , 1 , C ,  	(20-FEB-2025 11:49:59)
CP , 50 , 1 , C ,  	(20-FEB-2025 11:49:59)
HHFG DLNG , 51 , 1 , C ,  	(20-FEB-2025 11:49:59)
VWPL , 52 , 1 , C ,  	(20-FEB-2025 11:49:59)
AGP CGD , 53 , 1 , C ,  	(20-FEB-2025 11:49:59)
MINDA , 54 , 1 , C ,  	(20-FEB-2025 11:49:59)
LEIPL , 55 , 1 , C ,  	(20-FEB-2025 11:49:59)
SCHOTT , 56 , 1 , C ,  	(20-FEB-2025 11:49:59)
HIL , 57 , 1 , C ,  	(20-FEB-2025 11:49:59)
HCGD-B , 58 , 1 , C ,  	(20-FEB-2025 11:49:59)
BIPL , 59 , 1 , C ,  	(20-FEB-2025 11:49:59)
EXXARO , 60 , 1 , C ,  	(20-FEB-2025 11:49:59)
STVPL , 61 , 1 , C ,  	(20-FEB-2025 11:49:59)
JGPL , 62 , 1 , C ,  	(20-FEB-2025 11:49:59)
WALLCERA , 63 , 1 , C ,  	(20-FEB-2025 11:49:59)
ASTIS , 64 , 1 , C ,  	(20-FEB-2025 11:49:59)
PROTON , 65 , 1 , C ,  	(20-FEB-2025 11:49:59)
ANTIQUE , 66 , 1 , C ,  	(20-FEB-2025 11:49:59)
ACER , 67 , 1 , C ,  	(20-FEB-2025 11:49:59)
KAJARIA , 68 , 1 , C ,  	(20-FEB-2025 11:49:59)
GASGROWS , 69 , 1 , C ,  	(20-FEB-2025 11:49:59)
SISECAM , 70 , 1 , C ,  	(20-FEB-2025 11:49:59)
ATPL , 71 , 1 , C ,  	(20-FEB-2025 11:49:59)
OPAL , 72 , 1 , C ,  	(20-FEB-2025 11:49:59)
JKPAPER , 73 , 1 , C ,  	(20-FEB-2025 11:49:59)
STL , 74 , 1 , C ,  	(20-FEB-2025 11:49:59)
UEPL , 75 , 1 , C ,  	(20-FEB-2025 11:49:59)
CELLO , 76 , 1 , C ,  	(20-FEB-2025 11:49:59)
CALDERYS , 77 , 1 , C ,  	(20-FEB-2025 11:49:59)
RCF , 78 , 1 , C ,  	(20-FEB-2025 11:49:59)
BWRL , 79 , 1 , C ,  	(20-FEB-2025 11:49:59)
KRYO , 80 , 1 , C ,  	(20-FEB-2025 11:49:59)
VIRGO , 81 , 1 , C ,  	(20-FEB-2025 11:49:59)
BLPL , 82 , 1 , C ,  	(20-FEB-2025 11:49:59)
GIPSKARTON , 83 , 1 , C ,  	(20-FEB-2025 11:49:59)
TGPL , 84 , 1 , T ,  	(20-FEB-2025 11:49:59)
SELNG , 85 , 1 , T ,  	(20-FEB-2025 11:49:59)
SITME , 86 , 1 , T ,  	(20-FEB-2025 11:49:59)
DT , 87 , 1 , T ,  	(20-FEB-2025 11:49:59)
ThirdParty , 88 , 1 , T ,  	(20-FEB-2025 11:49:59)
Gunvor , 89 , 1 , T ,  	(20-FEB-2025 11:49:59)
RIL-D6 , 90 , 2 , T ,  	(20-FEB-2025 11:49:59)
BP , 91 , 1 , T ,  	(20-FEB-2025 11:49:59)
AMNS-T , 92 , 1 , T ,  	(20-FEB-2025 11:49:59)
RIL-CBM , 93 , 2 , T ,  	(20-FEB-2025 11:49:59)
GSPL , 97 , 1 , C ,  	(20-FEB-2025 11:49:59)
GSPL , 97 , 2 , R ,  	(20-FEB-2025 11:49:59)
TGLPL , 110 , 1 , C ,  	(20-FEB-2025 11:49:59)
TGBPL , 111 , 1 , C ,  	(20-FEB-2025 11:49:59)
BGEPL , 112 , 1 , C ,  	(20-FEB-2025 11:49:59)
IMCL , 113 , 1 , C ,  	(20-FEB-2025 11:49:59)
VVF India , 115 , 1 , C ,  	(20-FEB-2025 11:49:59)
GNFC , 116 , 1 , C ,  	(20-FEB-2025 11:49:59)
MEIL , 117 , 1 , C ,  	(20-FEB-2025 11:49:59)
ONGC , 118 , 1 , T ,  	(20-FEB-2025 11:49:59)
GLIL , 119 , 1 , C ,  	(20-FEB-2025 11:49:59)
UGEL , 120 , 1 , C ,  	(20-FEB-2025 11:49:59)
SGI-AP , 121 , 1 , C ,  	(20-FEB-2025 11:49:59)
IGX , 122 , 1 , C ,  	(20-FEB-2025 11:49:59)
RGPL , 124 , 1 , C ,  	(20-FEB-2025 11:49:59)
RGPL , 124 , 2 , R ,  	(20-FEB-2025 11:49:59)
GTIPL , 125 , 1 , C ,  	(20-FEB-2025 11:49:59)
GSPL-C , 126 , 1 , C ,  	(20-FEB-2025 11:49:59)
PEPL , 127 , 1 , C ,  	(20-FEB-2025 11:49:59)
GFCL , 128 , 1 , C ,  	(20-FEB-2025 11:49:59)
DERL , 129 , 1 , T ,  	(20-FEB-2025 11:49:59)
CPL , 130 , 1 , C ,  	(20-FEB-2025 11:50:00)
IRM , 131 , 1 , C ,  	(20-FEB-2025 11:50:00)
PPL , 132 , 1 , C ,  	(20-FEB-2025 11:50:00)
YARALTD , 133 , 1 , C ,  	(20-FEB-2025 11:50:00)
INPEROX , 134 , 1 , C ,  	(20-FEB-2025 11:50:00)
RAFECHL , 135 , 1 , C ,  	(20-FEB-2025 11:50:00)
MGRPL , 136 , 1 , C ,  	(20-FEB-2025 11:50:00)
MGRPL , 136 , 2 , T ,  	(20-FEB-2025 11:50:00)
CNTENKA , 137 , 1 , C ,  	(20-FEB-2025 11:50:00)
EFSPL , 138 , 1 , C ,  	(20-FEB-2025 11:50:00)
EFSPL , 138 , 2 , T ,  	(20-FEB-2025 11:50:00)
HINDURV , 140 , 1 , C ,  	(20-FEB-2025 11:50:00)
HCGPUTE , 142 , 1 , C ,  	(20-FEB-2025 11:50:00)
GOAGLSF , 143 , 1 , C ,  	(20-FEB-2025 11:50:00)
IGSPL , 144 , 1 , C ,  	(20-FEB-2025 11:50:00)
IGSPL , 144 , 2 , T ,  	(20-FEB-2025 11:50:00)
PEFORCV , 146 , 1 , C ,  	(20-FEB-2025 11:50:00)
BHEL , 155 , 1 , C ,  	(20-FEB-2025 11:50:00)
COMFIND , 159 , 1 , C ,  	(20-FEB-2025 11:50:00)
DCMSHRI , 160 , 1 , C ,  	(20-FEB-2025 11:50:00)
HOECLTD , 182 , 1 , C ,  	(20-FEB-2025 11:50:00)
HOECLTD , 182 , 2 , T ,  	(20-FEB-2025 11:50:00)
HINAGIL , 184 , 1 , C ,  	(20-FEB-2025 11:50:00)
HPOIGAS , 188 , 1 , C ,  	(20-FEB-2025 11:50:00)
MANIKAR , 196 , 1 , C ,  	(20-FEB-2025 11:50:00)
ESSAREX , 208 , 1 , T ,  	(20-FEB-2025 11:50:00)
NEL , 209 , 1 , C ,  	(20-FEB-2025 11:50:00)
TASTELI , 238 , 1 , C ,  	(20-FEB-2025 11:50:00)
HMEL , 239 , 1 , C ,  	(20-FEB-2025 11:50:00)
DIL , 240 , 1 , T ,  	(20-FEB-2025 11:50:00)
BOROREN , 241 , 1 , C ,  	(20-FEB-2025 11:50:00)
KINGASP , 242 , 1 , C ,  	(20-FEB-2025 11:50:00)
RATNAGI , 245 , 1 , C ,  	(20-FEB-2025 11:50:00)
IDOINVA , 247 , 1 , C ,  	(20-FEB-2025 11:50:00)
IDOINVA , 248 , 1 , C ,  	(20-FEB-2025 11:50:00)
AGPCGIN , 250 , 1 , C ,  	(20-FEB-2025 11:50:00)
NESTLIN , 251 , 1 , C ,  	(20-FEB-2025 11:50:00)
SITMEFZ , 252 , 1 , T ,  	(20-FEB-2025 11:50:00)
VISHPRI , 253 , 1 , C ,  	(20-FEB-2025 11:50:00)
SOMANY , 255 , 1 , C ,  	(20-FEB-2025 11:50:00)
BHOGATD , 256 , 1 , C ,  	(20-FEB-2025 11:50:00)
VEDALTD , 257 , 1 , C ,  	(20-FEB-2025 11:50:00)
VEDALTD , 257 , 2 , T ,  	(20-FEB-2025 11:50:00)
VIGASLD , 258 , 1 , C ,  	(20-FEB-2025 11:50:00)
GOLDPFG , 259 , 1 , C ,  	(20-FEB-2025 11:50:00)
CAIRENH , 261 , 1 , T ,  	(20-FEB-2025 11:50:00)
GSIGLIM , 263 , 1 , R ,  	(20-FEB-2025 11:50:00)
GAILGAS , 265 , 1 , C ,  	(20-FEB-2025 11:50:00)
KUTCHCL , 267 , 1 , C ,  	(20-FEB-2025 11:50:00)
SEMTEXP , 269 , 1 , C ,  	(20-FEB-2025 11:50:00)
SEMTEXP , 269 , 2 , T ,  	(20-FEB-2025 11:50:00)
SANENER , 273 , 1 , C ,  	(20-FEB-2025 11:50:00)
SANENER , 273 , 2 , T ,  	(20-FEB-2025 11:50:00)
SUMGLAS , 274 , 1 , C ,  	(20-FEB-2025 11:50:00)
SVTPLIN , 275 , 1 , C ,  	(20-FEB-2025 11:50:00)
SPSSETL1 , 276 , 1 , T ,  	(20-FEB-2025 11:50:00)
SIETCO , 279 , 1 , T ,  	(20-FEB-2025 11:50:00)
AGL , 282 , 1 , C ,  	(20-FEB-2025 11:50:00)
NGPL , 284 , 1 , C ,  	(20-FEB-2025 11:50:00)
SILS , 285 , 1 , T ,  	(20-FEB-2025 11:50:00)
STASCO , 286 , 1 , C ,  	(20-FEB-2025 11:50:00)
STASCO , 286 , 2 , T ,  	(20-FEB-2025 11:50:00)
ROCKMAN , 287 , 1 , C ,  	(20-FEB-2025 11:50:00)
LANCO , 290 , 1 , C ,  	(20-FEB-2025 11:50:00)
CRMNDEL , 291 , 1 , C ,  	(20-FEB-2025 11:50:00)
SEIPLDY , 296 , 1 , C ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , R ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , H ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , H ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , H ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , H ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , V ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , S ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , S ,  	(20-FEB-2025 11:50:00)
GSINLIM , 298 , 1 , S ,  	(20-FEB-2025 11:50:00)

TOTAL DATA EXTRACTED :,195 , , , 	(20-FEB-2025 11:50:00)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(20-FEB-2025 11:50:00)
 
