

<<START>>,<<FMS_ENTITY_ACCOUNT_CODE_SUN>>,,, 	(21-AUG-2025 10:05:57)
 
COUNTERPARTY_ABBR,PLANT_SEQ_NO,ENTITY,ACCOUNT_TYPE,TIMESTAMP,
BP,0,T,DFT, 	(21-AUG-2025 10:05:59)
BP,0,R,S, 	(21-AUG-2025 10:05:59)
RIL,0,T,DFT, 	(21-AUG-2025 10:05:59)
RIL,0,R,S, 	(21-AUG-2025 10:05:59)
GSPL,0,R,DFT, 	(21-AUG-2025 10:05:59)
TGLPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
TGBPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
BGEPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
IMCL,0,C,DFT, 	(21-AUG-2025 10:05:59)
VVF India,0,C,DFT, 	(21-AUG-2025 10:05:59)
GNFC,0,C,DFT, 	(21-AUG-2025 10:05:59)
GLIL,0,C,DFT, 	(21-AUG-2025 10:05:59)
SGI-AP,0,C,DFT, 	(21-AUG-2025 10:05:59)
RGPL,0,R,DFT, 	(21-AUG-2025 10:05:59)
PEPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
GFCL,0,C,DFT, 	(21-AUG-2025 10:05:59)
CPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
IRM,0,C,DFT, 	(21-AUG-2025 10:05:59)
IRM,0,C,DFT, 	(21-AUG-2025 10:05:59)
PPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
YARALTD,0,C,DFT, 	(21-AUG-2025 10:05:59)
INPEROX,0,C,DFT, 	(21-AUG-2025 10:05:59)
RAFECHL,0,C,DFT, 	(21-AUG-2025 10:05:59)
MGRPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
CNTENKA,0,C,DFT, 	(21-AUG-2025 10:05:59)
EFSPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
EFSPL,0,T,DFT, 	(21-AUG-2025 10:05:59)
EFSPL,0,R,S, 	(21-AUG-2025 10:05:59)
HINDURV,0,C,DFT, 	(21-AUG-2025 10:05:59)
HCGPUTE,0,C,DFT, 	(21-AUG-2025 10:05:59)
GOAGLSF,0,C,DFT, 	(21-AUG-2025 10:05:59)
IGSPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
IGSPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
IGSPL,0,T,DFT, 	(21-AUG-2025 10:05:59)
IGSPL,0,R,S, 	(21-AUG-2025 10:05:59)
PEFORCV,0,C,DFT, 	(21-AUG-2025 10:05:59)
BHEL,0,C,DFT, 	(21-AUG-2025 10:05:59)
COMFIND,0,C,DFT, 	(21-AUG-2025 10:05:59)
DCMSHRI,0,C,DFT, 	(21-AUG-2025 10:05:59)
HINAGIL,0,C,DFT, 	(21-AUG-2025 10:05:59)
HPOIGAS,0,C,DFT, 	(21-AUG-2025 10:05:59)
ESSAREX,0,T,DFT, 	(21-AUG-2025 10:05:59)
ESSAREX,0,R,S, 	(21-AUG-2025 10:05:59)
ESSAREX,1,R,DFT, 	(21-AUG-2025 10:05:59)
ESSAREX,1,R,S, 	(21-AUG-2025 10:05:59)
NEL,0,C,DFT, 	(21-AUG-2025 10:05:59)
TASTELI,0,C,DFT, 	(21-AUG-2025 10:05:59)
HMEL,0,C,DFT, 	(21-AUG-2025 10:05:59)
BOROREN,0,C,DFT, 	(21-AUG-2025 10:05:59)
KINGASP,0,C,DFT, 	(21-AUG-2025 10:05:59)
RATNAGI,0,C,DFT, 	(21-AUG-2025 10:05:59)
IDOINVA,0,C,DFT, 	(21-AUG-2025 10:05:59)
AGPCGIN,0,C,DFT, 	(21-AUG-2025 10:05:59)
NESTLIN,0,C,DFT, 	(21-AUG-2025 10:05:59)
SITMEFZ,0,T,DFT, 	(21-AUG-2025 10:05:59)
SITMEFZ,0,R,S, 	(21-AUG-2025 10:05:59)
SITMEFZ,0,R,CD, 	(21-AUG-2025 10:05:59)
VISHPRI,0,C,DFT, 	(21-AUG-2025 10:05:59)
SOMANYL,0,C,DFT, 	(21-AUG-2025 10:05:59)
BHOGATD,0,C,DFT, 	(21-AUG-2025 10:05:59)
VIGASLD,0,C,DFT, 	(21-AUG-2025 10:05:59)
GOLDPFG,0,C,DFT, 	(21-AUG-2025 10:05:59)
GSIGLIM,0,R,DFT, 	(21-AUG-2025 10:05:59)
GAILGAS,0,C,DFT, 	(21-AUG-2025 10:05:59)
KUTCHCL,0,C,DFT, 	(21-AUG-2025 10:05:59)
SANENER,0,C,DFT, 	(21-AUG-2025 10:05:59)
SUMGLAS,0,C,DFT, 	(21-AUG-2025 10:05:59)
SVTPLIN,0,C,DFT, 	(21-AUG-2025 10:05:59)
SPSSETL1,0,T,DFT, 	(21-AUG-2025 10:05:59)
SPSSETL1,0,T,V, 	(21-AUG-2025 10:05:59)
SIETCO,0,T,DFT, 	(21-AUG-2025 10:05:59)
SIETCO,0,T,V, 	(21-AUG-2025 10:05:59)
AVGL,0,C,DFT, 	(21-AUG-2025 10:05:59)
NGPL,0,C,DFT, 	(21-AUG-2025 10:05:59)
SILS,0,T,DFT, 	(21-AUG-2025 10:05:59)
SILS,0,T,V, 	(21-AUG-2025 10:05:59)
ROCKIND,0,C,DFT, 	(21-AUG-2025 10:05:59)
LANCOKO,0,C,DFT, 	(21-AUG-2025 10:05:59)
CRMNDEL,0,C,DFT, 	(21-AUG-2025 10:05:59)

TOTAL DATA EXTRACTED :,187 ,,, 	(21-AUG-2025 10:05:59)
 
<<END>>,<<FMS_ENTITY_ACCOUNT_CODE_SUN>>,,, 	(21-AUG-2025 10:05:59)
 

<<START>>,<<FMS_TAX_STRUCTURE_SUN>>,,, 	(21-AUG-2025 10:05:59)
 
COMPANY_CD,TAX_STR_CD,TAX_CODE,BU_UNIT,BU_STATE_TIN,TIMESTAMP,
P,ZeroST,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,ECS,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,HECS,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CST,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CST,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,BCD,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,STAX,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,STAX,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,ADVAT,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,ZVAT,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,KKC,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,KKC,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT 15,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT 15,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT 6,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,SBC,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,SBC,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,IGST,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,IGST,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CGST,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CGST,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,SGST,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,SGST,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CST 15,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT 3,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,VAT 3,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CST 3,R,2,Maharashtra, 	(21-AUG-2025 10:05:59)
P,TCS,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,TCS,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,TDS,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,TDS,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,TDS,P,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CST 0,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CGST 6,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CGST 6,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,SGST 6,R,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,SGST 6,S,1,Gujarat, 	(21-AUG-2025 10:05:59)
P,CST 2,R,2,Maharashtra, 	(21-AUG-2025 10:05:59)
P,CST 2,P,2,Maharashtra, 	(21-AUG-2025 10:05:59)
P,VAT 5,R,3,Andhra Pradesh, 	(21-AUG-2025 10:05:59)
P,VAT 5,P,3,Andhra Pradesh, 	(21-AUG-2025 10:05:59)
P,CST 5,R,3,Andhra Pradesh, 	(21-AUG-2025 10:05:59)
P,CST 2,R,3,Andhra Pradesh, 	(21-AUG-2025 10:05:59)

TOTAL DATA EXTRACTED :,45 ,,, 	(21-AUG-2025 10:05:59)
 
<<END>>,<<FMS_TAX_STRUCTURE_SUN>>,,, 	(21-AUG-2025 10:05:59)
 
