

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(18-MAR-2025 14:15:58)
HPCL , 26 , 2 , T ,  	(18-MAR-2025 14:15:59)
JSW , 27 , 1 , C ,  	(18-MAR-2025 14:15:59)
BGL , 28 , 1 , C ,  	(18-MAR-2025 14:15:59)
GSFC , 29 , 1 , C ,  	(18-MAR-2025 14:15:59)
H-Energy , 30 , 1 , C ,  	(18-MAR-2025 14:15:59)
SIMPL , 31 , 1 , C ,  	(18-MAR-2025 14:15:59)
ATGL , 32 , 1 , C ,  	(18-MAR-2025 14:15:59)
AMNS , 33 , 1 , C ,  	(18-MAR-2025 14:15:59)
AMNS , 33 , 2 , T ,  	(18-MAR-2025 14:15:59)
SEMTPL , 34 , 1 , C ,  	(18-MAR-2025 14:15:59)
SEMTPL , 34 , 2 , T ,  	(18-MAR-2025 14:15:59)
SGIPL , 35 , 1 , C ,  	(18-MAR-2025 14:15:59)
VGL , 36 , 1 , C ,  	(18-MAR-2025 14:15:59)
PGPGPL , 37 , 1 , C ,  	(18-MAR-2025 14:15:59)
HCG , 38 , 1 , C ,  	(18-MAR-2025 14:15:59)
GGL , 39 , 1 , C ,  	(18-MAR-2025 14:15:59)
CFC , 40 , 1 , C ,  	(18-MAR-2025 14:15:59)
IFFCO , 41 , 1 , C ,  	(18-MAR-2025 14:15:59)
HGL-RLNG , 42 , 1 , C ,  	(18-MAR-2025 14:15:59)
PipeInfra , 43 , 1 , C ,  	(18-MAR-2025 14:15:59)
PipeInfra , 43 , 2 , R ,  	(18-MAR-2025 14:15:59)
NFL , 44 , 1 , C ,  	(18-MAR-2025 14:15:59)
HSIL , 45 , 1 , C ,  	(18-MAR-2025 14:15:59)
VVF , 46 , 1 , C ,  	(18-MAR-2025 14:15:59)
KFL , 47 , 1 , C ,  	(18-MAR-2025 14:15:59)
BIL , 48 , 1 , C ,  	(18-MAR-2025 14:15:59)
RIPL , 49 , 1 , C ,  	(18-MAR-2025 14:15:59)
CP , 50 , 1 , C ,  	(18-MAR-2025 14:15:59)
HALHFGL , 51 , 1 , C ,  	(18-MAR-2025 14:15:59)
VIDUWIL , 52 , 1 , C ,  	(18-MAR-2025 14:15:59)
AGP CGD , 53 , 1 , C ,  	(18-MAR-2025 14:15:59)
MINDA , 54 , 1 , C ,  	(18-MAR-2025 14:15:59)
LEIPL , 55 , 1 , C ,  	(18-MAR-2025 14:15:59)
SCHOTT , 56 , 1 , C ,  	(18-MAR-2025 14:15:59)
HIL , 57 , 1 , C ,  	(18-MAR-2025 14:15:59)
HCGD-B , 58 , 1 , C ,  	(18-MAR-2025 14:15:59)
BIPL , 59 , 1 , C ,  	(18-MAR-2025 14:15:59)
EXXARO , 60 , 1 , C ,  	(18-MAR-2025 14:15:59)
STVPL , 61 , 1 , C ,  	(18-MAR-2025 14:15:59)
JGPL , 62 , 1 , C ,  	(18-MAR-2025 14:15:59)
WALLCERA , 63 , 1 , C ,  	(18-MAR-2025 14:15:59)
ASTIS , 64 , 1 , C ,  	(18-MAR-2025 14:15:59)
PROTON , 65 , 1 , C ,  	(18-MAR-2025 14:15:59)
ANTIQUE , 66 , 1 , C ,  	(18-MAR-2025 14:15:59)
ACER , 67 , 1 , C ,  	(18-MAR-2025 14:15:59)
KAJARIA , 68 , 1 , C ,  	(18-MAR-2025 14:15:59)
GASGROWS , 69 , 1 , C ,  	(18-MAR-2025 14:15:59)
SISECAM , 70 , 1 , C ,  	(18-MAR-2025 14:15:59)
ATPL , 71 , 1 , C ,  	(18-MAR-2025 14:15:59)
OPAL , 72 , 1 , C ,  	(18-MAR-2025 14:15:59)
JKPAPER , 73 , 1 , C ,  	(18-MAR-2025 14:15:59)
STL , 74 , 1 , C ,  	(18-MAR-2025 14:15:59)
UEPL , 75 , 1 , C ,  	(18-MAR-2025 14:15:59)
CELLO , 76 , 1 , C ,  	(18-MAR-2025 14:15:59)
CALDERYS , 77 , 1 , C ,  	(18-MAR-2025 14:15:59)
RCF , 78 , 1 , C ,  	(18-MAR-2025 14:15:59)
BWRL , 79 , 1 , C ,  	(18-MAR-2025 14:15:59)
KRYO , 80 , 1 , C ,  	(18-MAR-2025 14:15:59)
VIRGO , 81 , 1 , C ,  	(18-MAR-2025 14:15:59)
BLPL , 82 , 1 , C ,  	(18-MAR-2025 14:15:59)
GIPSKARTON , 83 , 1 , C ,  	(18-MAR-2025 14:15:59)
TGPL , 84 , 1 , T ,  	(18-MAR-2025 14:15:59)
SELNG , 85 , 1 , T ,  	(18-MAR-2025 14:15:59)
SITME , 86 , 1 , T ,  	(18-MAR-2025 14:15:59)
DT , 87 , 1 , T ,  	(18-MAR-2025 14:15:59)
ThirdParty , 88 , 1 , T ,  	(18-MAR-2025 14:15:59)
GUNSPL , 89 , 1 , T ,  	(18-MAR-2025 14:15:59)
RIL-D6 , 90 , 2 , T ,  	(18-MAR-2025 14:15:59)
BP , 91 , 1 , T ,  	(18-MAR-2025 14:15:59)
AMNS-T , 92 , 1 , T ,  	(18-MAR-2025 14:15:59)
RIL-CBM , 93 , 2 , T ,  	(18-MAR-2025 14:15:59)
GSPL , 97 , 1 , C ,  	(18-MAR-2025 14:15:59)
GSPL , 97 , 2 , R ,  	(18-MAR-2025 14:15:59)
TGLPL , 110 , 1 , C ,  	(18-MAR-2025 14:16:00)
TGBPL , 111 , 1 , C ,  	(18-MAR-2025 14:16:00)
BGEPL , 112 , 1 , C ,  	(18-MAR-2025 14:16:00)
IMCL , 113 , 1 , C ,  	(18-MAR-2025 14:16:00)
VVF India , 115 , 1 , C ,  	(18-MAR-2025 14:16:00)
GNFC , 116 , 1 , C ,  	(18-MAR-2025 14:16:00)
MEGHHQX , 117 , 1 , C ,  	(18-MAR-2025 14:16:00)
ONGC , 118 , 1 , T ,  	(18-MAR-2025 14:16:00)
GLIL , 119 , 1 , C ,  	(18-MAR-2025 14:16:00)
UGEL , 120 , 1 , C ,  	(18-MAR-2025 14:16:00)
SGI-AP , 121 , 1 , C ,  	(18-MAR-2025 14:16:00)
IGX , 122 , 1 , C ,  	(18-MAR-2025 14:16:00)
RGPL , 124 , 1 , C ,  	(18-MAR-2025 14:16:00)
RGPL , 124 , 2 , R ,  	(18-MAR-2025 14:16:00)
GTIPL , 125 , 1 , C ,  	(18-MAR-2025 14:16:00)
GSPL-C , 126 , 1 , C ,  	(18-MAR-2025 14:16:00)
PEPL , 127 , 1 , C ,  	(18-MAR-2025 14:16:00)
GFCL , 128 , 1 , C ,  	(18-MAR-2025 14:16:00)
DERL , 129 , 1 , T ,  	(18-MAR-2025 14:16:00)
CPL , 130 , 1 , C ,  	(18-MAR-2025 14:16:00)
IRM , 131 , 1 , C ,  	(18-MAR-2025 14:16:00)
PPL , 132 , 1 , C ,  	(18-MAR-2025 14:16:00)
YARALTD , 133 , 1 , C ,  	(18-MAR-2025 14:16:00)
INPEROX , 134 , 1 , C ,  	(18-MAR-2025 14:16:00)
RAFECHL , 135 , 1 , C ,  	(18-MAR-2025 14:16:00)
MGRPL , 136 , 1 , C ,  	(18-MAR-2025 14:16:00)
MGRPL , 136 , 2 , T ,  	(18-MAR-2025 14:16:00)
CNTENKA , 137 , 1 , C ,  	(18-MAR-2025 14:16:00)
EFSPL , 138 , 1 , C ,  	(18-MAR-2025 14:16:00)
EFSPL , 138 , 2 , T ,  	(18-MAR-2025 14:16:00)
HINDURV , 140 , 1 , C ,  	(18-MAR-2025 14:16:00)
HCGPUTE , 142 , 1 , C ,  	(18-MAR-2025 14:16:00)
GOAGLSF , 143 , 1 , C ,  	(18-MAR-2025 14:16:00)
IGSPL , 144 , 1 , C ,  	(18-MAR-2025 14:16:00)
IGSPL , 144 , 2 , T ,  	(18-MAR-2025 14:16:00)
PEFORCV , 146 , 1 , C ,  	(18-MAR-2025 14:16:00)
BHEL , 155 , 1 , C ,  	(18-MAR-2025 14:16:00)
COMFIND , 159 , 1 , C ,  	(18-MAR-2025 14:16:00)
DCMSHRI , 160 , 1 , C ,  	(18-MAR-2025 14:16:00)
HOECLTD , 182 , 1 , C ,  	(18-MAR-2025 14:16:00)
HOECLTD , 182 , 2 , T ,  	(18-MAR-2025 14:16:00)
HINAGIL , 184 , 1 , C ,  	(18-MAR-2025 14:16:00)
HPOIGAS , 188 , 1 , C ,  	(18-MAR-2025 14:16:00)
MANIKAR , 196 , 1 , C ,  	(18-MAR-2025 14:16:00)
ESSAREX , 208 , 1 , T ,  	(18-MAR-2025 14:16:00)
NEL , 209 , 1 , C ,  	(18-MAR-2025 14:16:00)
TASTELI , 238 , 1 , C ,  	(18-MAR-2025 14:16:00)
HMEL , 239 , 1 , C ,  	(18-MAR-2025 14:16:00)
DIL , 240 , 1 , T ,  	(18-MAR-2025 14:16:00)
BOROREN , 241 , 1 , C ,  	(18-MAR-2025 14:16:00)
KINGASP , 242 , 1 , C ,  	(18-MAR-2025 14:16:00)
RATNAGI , 245 , 1 , C ,  	(18-MAR-2025 14:16:00)
IDOINVA , 247 , 1 , C ,  	(18-MAR-2025 14:16:00)
IDOINVA , 248 , 1 , C ,  	(18-MAR-2025 14:16:00)
AGPCGIN , 250 , 1 , C ,  	(18-MAR-2025 14:16:00)
NESTLIN , 251 , 1 , C ,  	(18-MAR-2025 14:16:00)
SITMEFZ , 252 , 1 , T ,  	(18-MAR-2025 14:16:00)
VISHPRI , 253 , 1 , C ,  	(18-MAR-2025 14:16:00)
SOMANYL , 255 , 1 , C ,  	(18-MAR-2025 14:16:00)
BHOGATD , 256 , 1 , C ,  	(18-MAR-2025 14:16:00)
VEDALTD , 257 , 1 , C ,  	(18-MAR-2025 14:16:00)
VEDALTD , 257 , 2 , T ,  	(18-MAR-2025 14:16:00)
VIGASLD , 258 , 1 , C ,  	(18-MAR-2025 14:16:00)
GOLDPFG , 259 , 1 , C ,  	(18-MAR-2025 14:16:00)
CAIRENH , 261 , 1 , T ,  	(18-MAR-2025 14:16:00)
GSIGLIM , 263 , 1 , R ,  	(18-MAR-2025 14:16:00)
GAILGAS , 265 , 1 , C ,  	(18-MAR-2025 14:16:00)
KUTCHCL , 267 , 1 , C ,  	(18-MAR-2025 14:16:00)
SEMTEXP , 269 , 1 , C ,  	(18-MAR-2025 14:16:00)
SEMTEXP , 269 , 2 , T ,  	(18-MAR-2025 14:16:00)
SANENER , 273 , 1 , C ,  	(18-MAR-2025 14:16:00)
SANENER , 273 , 2 , T ,  	(18-MAR-2025 14:16:00)
SUMGLAS , 274 , 1 , C ,  	(18-MAR-2025 14:16:00)
SVTPLIN , 275 , 1 , C ,  	(18-MAR-2025 14:16:00)
SPSSETL1 , 276 , 1 , T ,  	(18-MAR-2025 14:16:00)
SIETCO , 279 , 1 , T ,  	(18-MAR-2025 14:16:00)
AVGL , 282 , 1 , C ,  	(18-MAR-2025 14:16:00)
NGPL , 284 , 1 , C ,  	(18-MAR-2025 14:16:00)
SILS , 285 , 1 , T ,  	(18-MAR-2025 14:16:00)
STASCO , 286 , 1 , C ,  	(18-MAR-2025 14:16:00)
STASCO , 286 , 2 , T ,  	(18-MAR-2025 14:16:00)
ROCKIND , 287 , 1 , C ,  	(18-MAR-2025 14:16:00)
LANCOKO , 290 , 1 , C ,  	(18-MAR-2025 14:16:00)
CRMNDEL , 291 , 1 , C ,  	(18-MAR-2025 14:16:00)
SEIPLDY , 296 , 1 , C ,  	(18-MAR-2025 14:16:00)
GSINLIM , 298 , 1 , R ,  	(18-MAR-2025 14:16:00)
GSINLIM , 298 , 1 , H ,  	(18-MAR-2025 14:16:00)
GSINLIM , 298 , 1 , H ,  	(18-MAR-2025 14:16:00)
GSINLIM , 298 , 1 , H ,  	(18-MAR-2025 14:16:00)
GSINLIM , 298 , 1 , H ,  	(18-MAR-2025 14:16:00)
GSINLIM , 298 , 1 , V ,  	(18-MAR-2025 14:16:00)
SGSINDIA , 298 , 1 , S ,  	(18-MAR-2025 14:16:00)
SGSINDIA , 298 , 1 , S ,  	(18-MAR-2025 14:16:00)
SGSINDIA , 298 , 1 , S ,  	(18-MAR-2025 14:16:00)

TOTAL DATA EXTRACTED :,195 , , , 	(18-MAR-2025 14:16:00)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(18-MAR-2025 14:16:00)
 
<<START>>,<<FMS_SECTOR_MST>>, 	(18-MAR-2025 14:16:00)
 
SECTOR_CD,SECTOR_ABBR,TIMESTAMP
000,RESELLERS, 	(18-MAR-2025 14:16:00)
730,ElLECTRICAL/ ELECTRONICS, 	(18-MAR-2025 14:16:00)
740,HEAVY MACHINES, 	(18-MAR-2025 14:16:00)
742,LIGHT MACHINES, 	(18-MAR-2025 14:16:00)
743,AIRCRAFTS, 	(18-MAR-2025 14:16:00)
744,SHIPBUILD. & REPAIRS, 	(18-MAR-2025 14:16:00)
745,TRUCKS&PASS VEHICALS, 	(18-MAR-2025 14:16:00)
746,SCOOTERS ETC, 	(18-MAR-2025 14:16:00)
747,HIGH PRESSURE VESSEL, 	(18-MAR-2025 14:16:00)
749,MECH. MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
751,STRUCTURAL WORKS, 	(18-MAR-2025 14:16:00)
752,IRON & STEEL PLANTS, 	(18-MAR-2025 14:16:00)
754,IRON & STEEL REWORKS, 	(18-MAR-2025 14:16:00)
755,ALUMINIUM, 	(18-MAR-2025 14:16:00)
756,FOUNDRIES/CASTINGS, 	(18-MAR-2025 14:16:00)
757,FERROUS ALLOYS, 	(18-MAR-2025 14:16:00)
759,METAL. MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
770,CANDLE INDUSTRY, 	(18-MAR-2025 14:16:00)
771,MATCHES, 	(18-MAR-2025 14:16:00)
772,RUBBER TYRES & TUBES, 	(18-MAR-2025 14:16:00)
773,PAPER PRODUCTS, 	(18-MAR-2025 14:16:00)
774,INDU ABRASIVES, 	(18-MAR-2025 14:16:00)
776,GLASS/CERAMICS ETC, 	(18-MAR-2025 14:16:00)
778,PACKING MATERIALS, 	(18-MAR-2025 14:16:00)
780,PLASTIC INDUSTRIES, 	(18-MAR-2025 14:16:00)
782,LEATHER, 	(18-MAR-2025 14:16:00)
783,PROCESSOR, 	(18-MAR-2025 14:16:00)
784,TOBACCO PRODUCTS, 	(18-MAR-2025 14:16:00)
789,INDUS. MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
760,COTTON MILLS HOSIERY, 	(18-MAR-2025 14:16:00)
761,JUTE MILLS, 	(18-MAR-2025 14:16:00)
762,SYN.FIBRE/RAYON MF, 	(18-MAR-2025 14:16:00)
769,TEXTI. MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
600,PET.EXPLO&PROD, 	(18-MAR-2025 14:16:00)
601,IRON ORE, 	(18-MAR-2025 14:16:00)
603,COAL, 	(18-MAR-2025 14:16:00)
604,BAUXITE, 	(18-MAR-2025 14:16:00)
605,MANGANESE, 	(18-MAR-2025 14:16:00)
606,STONE QUARRYING, 	(18-MAR-2025 14:16:00)
609,MINING MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
800,POST & TELEGRAPHS, 	(18-MAR-2025 14:16:00)
801,STATE ELEC. BOARDS, 	(18-MAR-2025 14:16:00)
802,CATERING & HOTELS, 	(18-MAR-2025 14:16:00)
804,UNIVERSITIES ETC, 	(18-MAR-2025 14:16:00)
806,LAUNDRIES, 	(18-MAR-2025 14:16:00)
809,REFINERIES, 	(18-MAR-2025 14:16:00)
500,TPP-OIL, 	(18-MAR-2025 14:16:00)
504,HYDEL POWER PLANTS, 	(18-MAR-2025 14:16:00)
506,ATOMIC POWER PLANTS, 	(18-MAR-2025 14:16:00)
507,GAS TURBINES, 	(18-MAR-2025 14:16:00)
509,POWER MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
300,RAILWAYS, 	(18-MAR-2025 14:16:00)
007,OTHER ROAD TRANSPORT, 	(18-MAR-2025 14:16:00)
006,STATE ROAD TRANSPORT, 	(18-MAR-2025 14:16:00)
220,SHIP. COASTAL, 	(18-MAR-2025 14:16:00)
222,SHIP. INTERNATIONAL, 	(18-MAR-2025 14:16:00)
224,INLAND WATERWAYS, 	(18-MAR-2025 14:16:00)
229,OTHERS (PORT TRUST), 	(18-MAR-2025 14:16:00)
001,DOMESTIC DIST., 	(18-MAR-2025 14:16:00)
2,INDUSTRIAL DIST., 	(18-MAR-2025 14:16:00)
4,OWN CONSUMPTION, 	(18-MAR-2025 14:16:00)
5,PARALLEL MARKETERS, 	(18-MAR-2025 14:16:00)
400,TEA PLANTATION, 	(18-MAR-2025 14:16:00)
402,RUBBER/COFFEE ETC, 	(18-MAR-2025 14:16:00)
403,FORESTRY&TIMBER, 	(18-MAR-2025 14:16:00)
404,AGRI.CROPS/ORCHARD, 	(18-MAR-2025 14:16:00)
408,SUGAR MILLS, 	(18-MAR-2025 14:16:00)
410,FLOUR MILLS ETC, 	(18-MAR-2025 14:16:00)
412,VEG. OIL MILLS, 	(18-MAR-2025 14:16:00)
414,FOOD PROCESSING, 	(18-MAR-2025 14:16:00)
416,DAIRIES&MILK PROC, 	(18-MAR-2025 14:16:00)
418,FISHERIES, 	(18-MAR-2025 14:16:00)
419,AGRI. MISCELLANEOUS, 	(18-MAR-2025 14:16:00)
120,DOMESTIC AIRLINES, 	(18-MAR-2025 14:16:00)
131,FOREIGN AIRLINES, 	(18-MAR-2025 14:16:00)
700,DAIRIES&MILK PROC, 	(18-MAR-2025 14:16:00)
701,FERTILISER-GAS BASED, 	(18-MAR-2025 14:16:00)
702,CAUSTIC SODA ETC., 	(18-MAR-2025 14:16:00)
703,HEAVY ACIDS, 	(18-MAR-2025 14:16:00)
704,OTHER INORG.CHEM, 	(18-MAR-2025 14:16:00)
706,PETRO-CHEM OTHERS, 	(18-MAR-2025 14:16:00)
707,PETROCHEM -GAS BASED, 	(18-MAR-2025 14:16:00)
708,DYES & DYE STUFFS, 	(18-MAR-2025 14:16:00)
710,SYNTHETIC RUBBER, 	(18-MAR-2025 14:16:00)
711,PESTI./AGRO CHEM, 	(18-MAR-2025 14:16:00)
712,OTHER ORG.CHEMICAL, 	(18-MAR-2025 14:16:01)
713,DRUGS&PHARMACEUTICAL, 	(18-MAR-2025 14:16:01)
714,PAINTS ETC, 	(18-MAR-2025 14:16:01)
715,INDU EXPLOSIVE, 	(18-MAR-2025 14:16:01)
716,CALCINATION PLANTS, 	(18-MAR-2025 14:16:01)
717,SOAPS ETC, 	(18-MAR-2025 14:16:01)
719,MISC CHEM INDU, 	(18-MAR-2025 14:16:01)
720,CEMENT/BUILD MAT, 	(18-MAR-2025 14:16:01)
722,BITUMEN/BUILD.MAT, 	(18-MAR-2025 14:16:01)
729,CIVIL MISCELLANEOUS, 	(18-MAR-2025 14:16:01)
810,City or Local Natural Gas Distribution, 	(18-MAR-2025 14:16:01)
811,LDC, 	(18-MAR-2025 14:16:01)

TOTAL DATA EXTRACTED :,97,  	(18-MAR-2025 14:16:01)
 
<<END>>,<<FMS_SECTOR_MST>>, 	(18-MAR-2025 14:16:01)
 
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(18-MAR-2025 14:16:01)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
RIL , 1 , C , C , 14/09/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
RIL , 1 , R , C , 14/09/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
RIL , 1 , B , C , 14/09/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
MGL , 2 , C , C , 16/07/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
MGL , 2 , R , C , 16/07/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
MGL , 2 , B , C , 16/07/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
GSPCL , 3 , C , C , 21/04/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
GSPCL , 3 , B , C , 21/04/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
GSPCL , 3 , R , C , 21/04/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
GSPCL , 3 , C , C , 24/03/2005 00:00:00 ,  	(18-MAR-2025 14:16:01)
GSPCL , 3 , R , C , 24/03/2005 00:00:00 ,  	(18-MAR-2025 14:16:01)
GSPCL , 3 , B , C , 24/03/2005 00:00:00 ,  	(18-MAR-2025 14:16:01)
Gail , 4 , B , C , 08/03/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
Gail , 4 , R , C , 08/03/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
Gail , 4 , C , C , 08/03/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
Gail , 4 , C , R , 08/03/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
BPL , 5 , R , C , 09/04/2010 00:00:00 ,  	(18-MAR-2025 14:16:01)
BPL , 5 , B , C , 09/04/2010 00:00:00 ,  	(18-MAR-2025 14:16:01)
BPL , 5 , C , C , 09/04/2010 00:00:00 ,  	(18-MAR-2025 14:16:01)
EPL , 6 , R , C , 09/04/2010 00:00:00 ,  	(18-MAR-2025 14:16:01)
EPL , 6 , B , C , 09/04/2010 00:00:00 ,  	(18-MAR-2025 14:16:01)
EPL , 6 , C , C , 09/04/2010 00:00:00 ,  	(18-MAR-2025 14:16:01)
ESL , 7 , R , C , 01/04/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
ESL , 7 , R , C , 26/08/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
NTPC , 8 , C , C , 01/06/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
NTPC , 8 , R , C , 01/06/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
NTPC , 8 , C , C , 18/11/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
NTPC , 8 , R , C , 18/11/2006 00:00:00 ,  	(18-MAR-2025 14:16:01)
KRIBHCO , 9 , C , C , 05/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
KRIBHCO , 9 , R , C , 05/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
KRIBHCO , 9 , B , C , 05/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
DFPCL , 10 , C , C , 03/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
DFPCL , 10 , R , C , 03/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
DFPCL , 10 , B , C , 03/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
AIGL , 11 , B , C , 22/07/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
AIGL , 11 , C , C , 22/07/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
AIGL , 11 , R , C , 22/07/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
ESEZ , 12 , R , C , 04/04/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
KSFL , 13 , C , C , 20/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
KSFL , 13 , R , C , 20/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
MAHAGENCO , 14 , C , C , 16/04/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
MAHAGENCO , 14 , R , C , 16/04/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
NPL , 15 , C , C , 28/02/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
NPL , 15 , R , C , 28/02/2008 00:00:00 ,  	(18-MAR-2025 14:16:01)
SIGIL , 16 , C , C , 01/04/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
SIGIL , 16 , R , C , 01/04/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
SIGIL , 16 , B , C , 01/04/2009 00:00:00 ,  	(18-MAR-2025 14:16:01)
VIL , 17 , R , C , 12/12/2007 00:00:00 ,  	(18-MAR-2025 14:16:01)
GGCL , 19 , R , C , 11/05/2012 00:00:00 ,  	(18-MAR-2025 14:16:01)
GGCL , 19 , B , C , 11/05/2012 00:00:00 ,  	(18-MAR-2025 14:16:01)
GGCL , 19 , C , C , 11/05/2012 00:00:00 ,  	(18-MAR-2025 14:16:01)
TPL , 20 , B , C , 04/08/2012 00:00:00 ,  	(18-MAR-2025 14:16:01)
TPL , 20 , C , C , 04/08/2012 00:00:00 ,  	(18-MAR-2025 14:16:01)
TPL , 20 , R , C , 04/08/2012 00:00:00 ,  	(18-MAR-2025 14:16:01)
TPL , 20 , C , C , 20/12/2018 00:00:00 ,  	(18-MAR-2025 14:16:01)
TPL , 20 , B , C , 20/12/2018 00:00:00 ,  	(18-MAR-2025 14:16:01)
TPL , 20 , R , C , 20/12/2018 00:00:00 ,  	(18-MAR-2025 14:16:01)
WMSL , 21 , B , C , 25/11/2014 00:00:00 ,  	(18-MAR-2025 14:16:01)
WMSL , 21 , C , C , 25/11/2014 00:00:00 ,  	(18-MAR-2025 14:16:01)
WMSL , 21 , B , C , 31/05/2011 00:00:00 ,  	(18-MAR-2025 14:16:01)
WMSL , 21 , R , C , 31/05/2011 00:00:00 ,  	(18-MAR-2025 14:16:01)
WMSL , 21 , C , C , 31/05/2011 00:00:00 ,  	(18-MAR-2025 14:16:01)
MNGL , 22 , R , C , 20/06/2013 00:00:00 ,  	(18-MAR-2025 14:16:01)
MNGL , 22 , B , C , 20/06/2013 00:00:00 ,  	(18-MAR-2025 14:16:01)
MNGL , 22 , C , C , 20/06/2013 00:00:00 ,  	(18-MAR-2025 14:16:01)
IGL , 23 , C , C , 04/02/2011 00:00:00 ,  	(18-MAR-2025 14:16:01)
IGL , 23 , R , C , 04/02/2011 00:00:00 ,  	(18-MAR-2025 14:16:01)
