
<<START>>,<<FMS_ENTITY_TURNOVER_DTL>>,,, 	(21-FEB-2025 10:05:59)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,FINANCIAL_YEAR,TIMESTAMP
CELLO,76,C,2020-2021, 	(21-FEB-2025 10:06:00)
CELLO,76,C,2021-2022, 	(21-FEB-2025 10:06:00)
RCF,78,C,2020-2021, 	(21-FEB-2025 10:06:00)
RCF,78,C,2021-2022, 	(21-FEB-2025 10:06:00)
RCF,78,C,2022-2023, 	(21-FEB-2025 10:06:00)
BWRL,79,C,2020-2021, 	(21-FEB-2025 10:06:00)
BWRL,79,C,2021-2022, 	(21-FEB-2025 10:06:00)
VIRGO,81,C,2020-2021, 	(21-FEB-2025 10:06:00)
VIRGO,81,C,2021-2022, 	(21-FEB-2025 10:06:00)
VIRGO,81,C,2022-2023, 	(21-FEB-2025 10:06:00)
VIRGO,81,C,2023-2024, 	(21-FEB-2025 10:06:00)
BLPL,82,C,2021-2022, 	(21-FEB-2025 10:06:00)
GIPSKARTON,83,C,2020-2021, 	(21-FEB-2025 10:06:00)
GIPSKARTON,83,C,2021-2022, 	(21-FEB-2025 10:06:00)
BP,91,T,2022-2023, 	(21-FEB-2025 10:06:00)
BP,91,T,2023-2024, 	(21-FEB-2025 10:06:00)
BP,91,T,2024-2025, 	(21-FEB-2025 10:06:00)
SEIPL,94,B,2020-2021, 	(21-FEB-2025 10:06:00)
SEIPL,94,B,2022-2023, 	(21-FEB-2025 10:06:00)
SEIPL,94,B,2021-2022, 	(21-FEB-2025 10:06:00)
TGLPL,110,C,2021-2022, 	(21-FEB-2025 10:06:00)
TGLPL,110,C,2022-2023, 	(21-FEB-2025 10:06:00)
TGLPL,110,C,2023-2024, 	(21-FEB-2025 10:06:00)
TGBPL,111,C,2021-2022, 	(21-FEB-2025 10:06:00)
TGBPL,111,C,2022-2023, 	(21-FEB-2025 10:06:00)
TGBPL,111,C,2023-2024, 	(21-FEB-2025 10:06:00)
BGEPL,112,C,2021-2022, 	(21-FEB-2025 10:06:00)
BGEPL,112,C,2022-2023, 	(21-FEB-2025 10:06:00)
BGEPL,112,C,2023-2024, 	(21-FEB-2025 10:06:00)
IMCL,113,C,2021-2022, 	(21-FEB-2025 10:06:00)
VVF India,115,C,2021-2022, 	(21-FEB-2025 10:06:00)
VVF India,115,C,2022-2023, 	(21-FEB-2025 10:06:00)
GNFC,116,C,2021-2022, 	(21-FEB-2025 10:06:00)
GNFC,116,C,2022-2023, 	(21-FEB-2025 10:06:00)
MEGHHQX,117,C,2021-2022, 	(21-FEB-2025 10:06:00)
GLIL,119,C,2021-2022, 	(21-FEB-2025 10:06:00)
GLIL,119,C,2022-2023, 	(21-FEB-2025 10:06:00)
GLIL,119,C,2023-2024, 	(21-FEB-2025 10:06:00)
SGI-AP,121,C,2021-2022, 	(21-FEB-2025 10:06:00)
