
<<START>>,<<FMS_DLNG_FFLOW_INV_MST>>,,,, 	(28-JAN-2026 09:58:39)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,LOG_SEQ_NO,TIMESTAMP,
2,24,17,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,17,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,17,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,18,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,18,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,18,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,19,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,19,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,19,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,20,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,20,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,20,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,21,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,21,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,21,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,22,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,22,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,22,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,23,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,23,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,23,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,24,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,24,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,24,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,25,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,25,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,25,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,26,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,26,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,26,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,27,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,27,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,27,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,28,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,28,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,28,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,29,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,29,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,29,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,30,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,30,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,30,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,31,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,31,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,31,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,32,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,32,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,32,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,33,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,33,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,33,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,34,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,34,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,34,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,35,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,35,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,35,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,36,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,36,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,36,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,37,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,37,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,37,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,38,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,38,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,38,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,43,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,43,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,43,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,44,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,44,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,44,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,45,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,45,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,45,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,46,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,46,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,46,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,47,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,47,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,47,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,48,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,48,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,48,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,49,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,49,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,49,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,50,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,50,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,50,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,51,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,51,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,51,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,52,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
2,24,52,2023-2024,O,LP, 	(28-JAN-2026 09:58:48)
2,24,52,2023-2024,T,LP, 	(28-JAN-2026 09:58:48)
2,24,53,2023-2024,D,LP, 	(28-JAN-2026 09:58:48)
