
<<START>>,<<FMS_ENTITY_ADDR_MST>>,,,, 	(01-MAR-2025 10:29:31)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ADRESS_TYPE,ENTITY,EFF_DATE,TIMESTAMP
ATGL , 32 , B , C , 13/01/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATGL , 32 , C , C , 13/01/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
ATGL , 32 , R , C , 13/01/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
AMNS , 33 , C , C , 18/01/2012 00:00:00 ,  	(01-MAR-2025 10:29:34)
AMNS , 33 , R , C , 18/01/2012 00:00:00 ,  	(01-MAR-2025 10:29:34)
AMNS , 33 , B , C , 18/01/2012 00:00:00 ,  	(01-MAR-2025 10:29:34)
AMNS , 33 , B , T , 18/01/2012 00:00:00 ,  	(01-MAR-2025 10:29:34)
SEMTPL , 34 , C , C , 28/07/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
SEMTPL , 34 , R , C , 28/07/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
SEMTPL , 34 , B , C , 28/07/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
SEMTPL , 34 , B , T , 28/07/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
SGIPL , 35 , C , C , 28/11/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
SGIPL , 35 , R , C , 28/11/2017 00:00:00 ,  	(01-MAR-2025 10:29:34)
SGIPL , 35 , B , C , 28/11/2018 00:00:00 ,  	(01-MAR-2025 10:29:34)
VGL , 36 , C , C , 03/07/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
VGL , 36 , R , C , 03/07/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
VGL , 36 , B , C , 03/07/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , R , C , 01/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , C , C , 01/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , R , C , 04/10/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , B , C , 04/10/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , C , C , 04/10/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , C , C , 28/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , R , C , 28/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
PGPGPL , 37 , B , C , 28/04/2021 00:00:00 ,  	(01-MAR-2025 10:29:34)
HCG , 38 , R , C , 02/12/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
HCG , 38 , C , C , 02/12/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
HCG , 38 , B , C , 02/12/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
GGL , 39 , C , C , 09/12/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
GGL , 39 , R , C , 09/12/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
GGL , 39 , B , C , 09/12/2019 00:00:00 ,  	(01-MAR-2025 10:29:34)
CFC , 40 , C , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
CFC , 40 , R , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
CFC , 40 , B , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
IFFCO , 41 , B , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
IFFCO , 41 , R , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
IFFCO , 41 , C , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HGL-RLNG , 42 , R , C , 01/02/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HGL-RLNG , 42 , B , C , 01/02/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HGL-RLNG , 42 , C , C , 01/02/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
PipeInfra , 43 , R , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
PipeInfra , 43 , B , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
PipeInfra , 43 , C , C , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
PipeInfra , 43 , C , R , 01/01/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
NFL , 44 , C , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
NFL , 44 , R , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
NFL , 44 , B , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HSIL , 45 , R , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
HSIL , 45 , C , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
VVF , 46 , C , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
VVF , 46 , R , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
VVF , 46 , B , C , 01/05/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
KFL , 47 , R , C , 23/07/2020 00:00:00 ,  	(01-MAR-2025 10:29:34)
