
<<START>>,<<FMS_SUPPLY_CONT_PLANT(DLNG)>>,,,, 	(12-JUN-2025 12:13:13)
 
COUNTERPARTY_ABBR,CONTRACT_TYPE,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,PLANT_SEQ_NO,TIMESTAMP,
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
MINDA,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
LEIPL,1,0,1, 	(12-JUN-2025 12:13:14)
SCHOTT,1,0,1, 	(12-JUN-2025 12:13:14)
SCHOTT,1,0,1, 	(12-JUN-2025 12:13:14)
SCHOTT,1,0,1, 	(12-JUN-2025 12:13:14)
SCHOTT,1,0,1, 	(12-JUN-2025 12:13:14)
SCHOTT,1,0,1, 	(12-JUN-2025 12:13:14)
SCHOTT,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,2, 	(12-JUN-2025 12:13:14)
BIPL,1,0,2, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
BIPL,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
EXXARO,1,0,1, 	(12-JUN-2025 12:13:14)
