
<<START>>,<<FMS_GTA_AGMT_MST>>,, 	(26-JUL-2025 10:32:58)
 
COMPANY_CD,ABBR,AGMT_NAME,AGMT_TYPE,TIMESTAMP,
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL PHU,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ODAL,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL PHU,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL ANK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL DAHEJ,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAILMANDA,G, 	(26-JUL-2025 10:32:59)
2,Gail,16,GAIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL BHAD,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL BHAD,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL BHAD,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL Oduru,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL ANK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL BHAD,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL ANK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL BHAD,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL BHAD,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL MSK,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL Oduru,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL GADI,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
2,PipeInfra,18,PIL HAZ,G, 	(26-JUL-2025 10:32:59)
