
<<START>>,<<FMS_INV_STORAGE_CRG_DTL>>,,,, 	(23-JUL-2025 14:58:59)
 
COUNTERPARTY_ABBR,INVOICE_SEQ,FINANCIAL_YEAR,STORAGE_DT,RATE_TYPE,TIMESTAMP,
,49,2021-2022,08/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,07/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,06/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,05/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,49,2021-2022,04/05/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,579,2020-2021,29/03/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,579,2020-2021,28/03/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,579,2020-2021,29/03/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,579,2020-2021,28/03/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,579,2020-2021,29/03/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,579,2020-2021,28/03/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,20/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,19/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,18/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,17/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,16/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,15/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,115,2021-2022,14/07/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,09/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,08/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,07/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,06/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,05/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,04/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,03/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,134,2021-2022,02/08/2021 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,24/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,23/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,22/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,21/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,20/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,19/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,18/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,17/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,24/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,23/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,22/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,21/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,20/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,19/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,18/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
,246,2020-2021,17/08/2020 00:00:00,C, 	(23-JUL-2025 14:59:00)
