
<<START>>,<<FMS_PUR_SG_INV_MST>>,,, 	(02-MAY-2025 12:37:26)
 
CARGO_REF_NO, INVOICE_NO, INVOICE_DT, EXP_DELV_QTY, REMARK,TIMESTAMP
9007,null,0,14/05/5009 00:00:00,null, 	(02-MAY-2025 12:37:28)
10002,null,0,07/05/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10002,null,0,07/05/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10002,null,0,10/05/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10002,null,0,07/05/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10002,null,0,10/05/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
9017,null,0,10/09/2009 00:00:00,null, 	(02-MAY-2025 12:37:28)
9017,null,0,10/09/2009 00:00:00,null, 	(02-MAY-2025 12:37:28)
9017,null,0,10/09/2009 00:00:00,null, 	(02-MAY-2025 12:37:28)
9017,null,0,10/09/2009 00:00:00,null, 	(02-MAY-2025 12:37:28)
10004,null,0,20/08/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10004,null,0,20/08/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10004,null,0,22/08/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10004,null,0,20/08/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10004,null,0,22/08/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10009,null,0,07/03/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10009,null,0,07/03/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10010,null,0,22/08/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10010,null,0,22/08/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10011,null,0,22/10/2011 00:00:00,Corrected figures, which were wrongly entered in EDQ., 	(02-MAY-2025 12:37:28)
10011,null,0,22/10/2011 00:00:00,Corrected figures, which were wrongly entered in EDQ., 	(02-MAY-2025 12:37:28)
10012,null,0,23/03/2012 00:00:00,T002759 was initial provisional invoice, there was error in "invoice frm" date, hence they issued another invoice and earlier was was credited thro' credit note, 	(02-MAY-2025 12:37:28)
10012,null,0,23/03/2012 00:00:00,T002759 was initial provisional invoice, there was error in "invoice frm" date, hence they issued another invoice and earlier was was credited thro' credit note, 	(02-MAY-2025 12:37:28)
10013,null,0,12/09/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
10013,null,0,12/09/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
10009,null,0,21/03/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10010,null,0,31/08/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10011,null,0,06/11/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10012,null,0,23/03/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
10013,null,0,12/09/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
10009,null,0,07/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing., 	(02-MAY-2025 12:37:28)
10010,null,0,22/08/2011 00:00:00,1.21 Rs. Adjustment as Differencial CD ..., 	(02-MAY-2025 12:37:28)
10011,null,0,22/10/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10012,null,0,23/03/2012 00:00:00,The total custom duty is rounded and tallied with excel calculation, 	(02-MAY-2025 12:37:28)
10013,null,0,12/09/2012 00:00:00,The value matched as per Custom EDI system, 	(02-MAY-2025 12:37:28)
10009,null,0,21/03/2011 00:00:00,Diff. CD because of change in cargo cost at the time of FINAL Invoicing., 	(02-MAY-2025 12:37:28)
10010,null,0,31/08/2011 00:00:00,-1.21 Rs. Adjustment as Differencial CD., 	(02-MAY-2025 12:37:28)
10011,null,0,06/11/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
10012,null,0,23/03/2012 00:00:00,null, 	(02-MAY-2025 12:37:28)
10013,null,0,12/09/2012 00:00:00,Qty unloaded is less than provisional quantity, 	(02-MAY-2025 12:37:28)
10005,null,0,28/09/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10005,null,0,28/09/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10005,null,0,05/10/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10005,null,0,28/09/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
10005,null,0,05/10/2010 00:00:00,null, 	(02-MAY-2025 12:37:28)
11002,null,0,12/02/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11002,null,0,12/02/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11002,null,0,16/02/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11002,null,0,12/02/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11002,null,0,16/02/2011 00:00:00,null, 	(02-MAY-2025 12:37:28)
11011,null,0,23/04/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11011,null,0,23/04/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11012,null,0,03/06/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11012,null,0,03/06/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11013,null,0,05/07/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11013,null,0,05/07/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11014,null,0,11/09/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11014,null,0,11/09/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11015,null,0,18/10/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11015,null,0,18/10/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11016,null,0,02/12/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11016,null,0,02/12/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11011,null,0,22/04/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11012,null,0,03/06/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11013,null,0,05/07/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11014,null,0,11/09/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11015,null,0,18/10/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11016,null,0,02/12/2013 00:00:00,null, 	(02-MAY-2025 12:37:28)
11011,null,0,23/04/2013 00:00:00,As per Excel calculation, 	(02-MAY-2025 12:37:28)
11012,null,0,03/06/2013 00:00:00,This is as per the amount paid as per EDI System calculation, 	(02-MAY-2025 12:37:28)
11013,null,0,05/07/2013 00:00:00,This is the exact amount paid as custom duty as per EDI system., 	(02-MAY-2025 12:37:28)
11014,null,0,11/09/2013 00:00:00,Roundedupto to tally teh excel value with teh value paid as per EDI System., 	(02-MAY-2025 12:37:28)
