

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(25-FEB-2025 13:18:33)
HPCL , 26 , 2 , T ,  	(25-FEB-2025 13:18:35)
JSW , 27 , 1 , C ,  	(25-FEB-2025 13:18:35)
BGL , 28 , 1 , C ,  	(25-FEB-2025 13:18:35)
GSFC , 29 , 1 , C ,  	(25-FEB-2025 13:18:35)
H-Energy , 30 , 1 , C ,  	(25-FEB-2025 13:18:35)
SIMPL , 31 , 1 , C ,  	(25-FEB-2025 13:18:35)
ATGL , 32 , 1 , C ,  	(25-FEB-2025 13:18:35)
AMNS , 33 , 1 , C ,  	(25-FEB-2025 13:18:35)
AMNS , 33 , 2 , T ,  	(25-FEB-2025 13:18:35)
SEMTIPL , 34 , 1 , C ,  	(25-FEB-2025 13:18:35)
SEMTIPL , 34 , 2 , T ,  	(25-FEB-2025 13:18:35)
SGIPL , 35 , 1 , C ,  	(25-FEB-2025 13:18:35)
VGL , 36 , 1 , C ,  	(25-FEB-2025 13:18:35)
PGPGPL , 37 , 1 , C ,  	(25-FEB-2025 13:18:35)
HCG , 38 , 1 , C ,  	(25-FEB-2025 13:18:35)
GGL , 39 , 1 , C ,  	(25-FEB-2025 13:18:35)
CFC , 40 , 1 , C ,  	(25-FEB-2025 13:18:35)
IFFCO , 41 , 1 , C ,  	(25-FEB-2025 13:18:35)
HGL-RLNG , 42 , 1 , C ,  	(25-FEB-2025 13:18:35)
PipeInfra , 43 , 1 , C ,  	(25-FEB-2025 13:18:35)
PipeInfra , 43 , 2 , R ,  	(25-FEB-2025 13:18:35)
NFL-Nangal , 44 , 1 , C ,  	(25-FEB-2025 13:18:35)
HSIL , 45 , 1 , C ,  	(25-FEB-2025 13:18:35)
VVF , 46 , 1 , C ,  	(25-FEB-2025 13:18:35)
KFL , 47 , 1 , C ,  	(25-FEB-2025 13:18:35)
BIL , 48 , 1 , C ,  	(25-FEB-2025 13:18:35)
RIPL , 49 , 1 , C ,  	(25-FEB-2025 13:18:35)
CP , 50 , 1 , C ,  	(25-FEB-2025 13:18:35)
HHFG DLNG , 51 , 1 , C ,  	(25-FEB-2025 13:18:35)
VWPL , 52 , 1 , C ,  	(25-FEB-2025 13:18:35)
AGP CGD , 53 , 1 , C ,  	(25-FEB-2025 13:18:35)
MINDA , 54 , 1 , C ,  	(25-FEB-2025 13:18:35)
LEIPL , 55 , 1 , C ,  	(25-FEB-2025 13:18:35)
SCHOTT , 56 , 1 , C ,  	(25-FEB-2025 13:18:35)
HIL , 57 , 1 , C ,  	(25-FEB-2025 13:18:35)
HCGD-B , 58 , 1 , C ,  	(25-FEB-2025 13:18:35)
BIPL , 59 , 1 , C ,  	(25-FEB-2025 13:18:35)
EXXARO , 60 , 1 , C ,  	(25-FEB-2025 13:18:35)
STVPL , 61 , 1 , C ,  	(25-FEB-2025 13:18:35)
JGPL , 62 , 1 , C ,  	(25-FEB-2025 13:18:35)
WALLCERA , 63 , 1 , C ,  	(25-FEB-2025 13:18:35)
ASTIS , 64 , 1 , C ,  	(25-FEB-2025 13:18:35)
PROTON , 65 , 1 , C ,  	(25-FEB-2025 13:18:35)
ANTIQUE , 66 , 1 , C ,  	(25-FEB-2025 13:18:35)
ACER , 67 , 1 , C ,  	(25-FEB-2025 13:18:35)
KAJARIA , 68 , 1 , C ,  	(25-FEB-2025 13:18:35)
GASGROWS , 69 , 1 , C ,  	(25-FEB-2025 13:18:35)
SISECAM , 70 , 1 , C ,  	(25-FEB-2025 13:18:35)
ATPL , 71 , 1 , C ,  	(25-FEB-2025 13:18:35)
OPAL , 72 , 1 , C ,  	(25-FEB-2025 13:18:35)
JKPAPER , 73 , 1 , C ,  	(25-FEB-2025 13:18:35)
STL , 74 , 1 , C ,  	(25-FEB-2025 13:18:35)
UEPL , 75 , 1 , C ,  	(25-FEB-2025 13:18:35)
CELLO , 76 , 1 , C ,  	(25-FEB-2025 13:18:35)
CALDERYS , 77 , 1 , C ,  	(25-FEB-2025 13:18:35)
RCF , 78 , 1 , C ,  	(25-FEB-2025 13:18:35)
BWRL , 79 , 1 , C ,  	(25-FEB-2025 13:18:35)
KRYO , 80 , 1 , C ,  	(25-FEB-2025 13:18:35)
VIRGO , 81 , 1 , C ,  	(25-FEB-2025 13:18:35)
BLPL , 82 , 1 , C ,  	(25-FEB-2025 13:18:35)
GIPSKARTON , 83 , 1 , C ,  	(25-FEB-2025 13:18:35)
TGPL , 84 , 1 , T ,  	(25-FEB-2025 13:18:35)
SELNG , 85 , 1 , T ,  	(25-FEB-2025 13:18:35)
SITME , 86 , 1 , T ,  	(25-FEB-2025 13:18:35)
DT , 87 , 1 , T ,  	(25-FEB-2025 13:18:35)
ThirdParty , 88 , 1 , T ,  	(25-FEB-2025 13:18:35)
Gunvor , 89 , 1 , T ,  	(25-FEB-2025 13:18:35)
RIL-D6 , 90 , 2 , T ,  	(25-FEB-2025 13:18:35)
BP , 91 , 1 , T ,  	(25-FEB-2025 13:18:35)
AMNS-T , 92 , 1 , T ,  	(25-FEB-2025 13:18:35)
RIL-CBM , 93 , 2 , T ,  	(25-FEB-2025 13:18:35)
PIL-Haz , 96 , 1 , R ,  	(25-FEB-2025 13:18:35)
GSPL , 97 , 1 , C ,  	(25-FEB-2025 13:18:35)
GSPL , 97 , 2 , R ,  	(25-FEB-2025 13:18:35)
GAIL-Haz , 98 , 1 , R ,  	(25-FEB-2025 13:18:35)
PLLD , 99 , 1 , R ,  	(25-FEB-2025 13:18:35)
D6Gadimoga , 100 , 1 , R ,  	(25-FEB-2025 13:18:35)
PANKGA , 101 , 1 , R ,  	(25-FEB-2025 13:18:35)
PMSKGA , 102 , 1 , R ,  	(25-FEB-2025 13:18:35)
PBHDGS , 103 , 1 , R ,  	(25-FEB-2025 13:18:35)
PURCHASE-T , 104 , 1 , R ,  	(25-FEB-2025 13:18:35)
PHUCBM , 106 , 1 , R ,  	(25-FEB-2025 13:18:35)
TGLPL , 110 , 1 , C ,  	(25-FEB-2025 13:18:35)
TGBPL , 111 , 1 , C ,  	(25-FEB-2025 13:18:35)
BGEPL , 112 , 1 , C ,  	(25-FEB-2025 13:18:35)
IMCL , 113 , 1 , C ,  	(25-FEB-2025 13:18:35)
PMSKP , 114 , 1 , R ,  	(25-FEB-2025 13:18:35)
VVF India , 115 , 1 , C ,  	(25-FEB-2025 13:18:35)
GNFC , 116 , 1 , C ,  	(25-FEB-2025 13:18:35)
MEIL , 117 , 1 , C ,  	(25-FEB-2025 13:18:35)
ONGC , 118 , 1 , T ,  	(25-FEB-2025 13:18:35)
GLIL , 119 , 1 , C ,  	(25-FEB-2025 13:18:35)
UGEL , 120 , 1 , C ,  	(25-FEB-2025 13:18:35)
SGI-AP , 121 , 1 , C ,  	(25-FEB-2025 13:18:35)
IGX , 122 , 1 , C ,  	(25-FEB-2025 13:18:35)
RGPL , 124 , 1 , C ,  	(25-FEB-2025 13:18:35)
RGPL , 124 , 2 , R ,  	(25-FEB-2025 13:18:35)
GTIPL , 125 , 1 , C ,  	(25-FEB-2025 13:18:35)
GSPL-C , 126 , 1 , C ,  	(25-FEB-2025 13:18:35)
PEPL , 127 , 1 , C ,  	(25-FEB-2025 13:18:35)
GFCL , 128 , 1 , C ,  	(25-FEB-2025 13:18:35)
DERL , 129 , 1 , T ,  	(25-FEB-2025 13:18:35)
CPL , 130 , 1 , C ,  	(25-FEB-2025 13:18:35)
IRM , 131 , 1 , C ,  	(25-FEB-2025 13:18:35)
PPL , 132 , 1 , C ,  	(25-FEB-2025 13:18:35)
YARALTD , 133 , 1 , C ,  	(25-FEB-2025 13:18:35)
INPEROX , 134 , 1 , C ,  	(25-FEB-2025 13:18:35)
RAFECHL , 135 , 1 , C ,  	(25-FEB-2025 13:18:35)
MGRPL , 136 , 1 , C ,  	(25-FEB-2025 13:18:35)
MGRPL , 136 , 2 , T ,  	(25-FEB-2025 13:18:35)
CNTENKA , 137 , 1 , C ,  	(25-FEB-2025 13:18:35)
EFSPL , 138 , 1 , C ,  	(25-FEB-2025 13:18:35)
EFSPL , 138 , 2 , T ,  	(25-FEB-2025 13:18:35)
HINDURV , 140 , 1 , C ,  	(25-FEB-2025 13:18:35)
HCGPUTE , 142 , 1 , C ,  	(25-FEB-2025 13:18:35)
GOAGLSF , 143 , 1 , C ,  	(25-FEB-2025 13:18:35)
IGSPL , 144 , 1 , C ,  	(25-FEB-2025 13:18:35)
IGSPL , 144 , 2 , T ,  	(25-FEB-2025 13:18:35)
PEFORCV , 146 , 1 , C ,  	(25-FEB-2025 13:18:35)
BHEL , 155 , 1 , C ,  	(25-FEB-2025 13:18:35)
COMFIND , 159 , 1 , C ,  	(25-FEB-2025 13:18:36)
DCMSHRI , 160 , 1 , C ,  	(25-FEB-2025 13:18:36)
HOECLTD , 182 , 1 , C ,  	(25-FEB-2025 13:18:36)
HOECLTD , 182 , 2 , T ,  	(25-FEB-2025 13:18:36)
HINAGIL , 184 , 1 , C ,  	(25-FEB-2025 13:18:36)
HPOIGAS , 188 , 1 , C ,  	(25-FEB-2025 13:18:36)
MANIKAR , 196 , 1 , C ,  	(25-FEB-2025 13:18:36)
ESSAREX , 208 , 1 , T ,  	(25-FEB-2025 13:18:36)
NEL , 209 , 1 , C ,  	(25-FEB-2025 13:18:36)
TASTELI , 238 , 1 , C ,  	(25-FEB-2025 13:18:36)
HMEL , 239 , 1 , C ,  	(25-FEB-2025 13:18:36)
DIL , 240 , 1 , T ,  	(25-FEB-2025 13:18:36)
BOROREN , 241 , 1 , C ,  	(25-FEB-2025 13:18:36)
KINGASP , 242 , 1 , C ,  	(25-FEB-2025 13:18:36)
RATNAGI , 245 , 1 , C ,  	(25-FEB-2025 13:18:36)
IDOINVA , 247 , 1 , C ,  	(25-FEB-2025 13:18:36)
IDOINVA , 248 , 1 , C ,  	(25-FEB-2025 13:18:36)
AGPCGIN , 250 , 1 , C ,  	(25-FEB-2025 13:18:36)
NESTLIN , 251 , 1 , C ,  	(25-FEB-2025 13:18:36)
SITMEFZ , 252 , 1 , T ,  	(25-FEB-2025 13:18:36)
VISHPRI , 253 , 1 , C ,  	(25-FEB-2025 13:18:36)
SOMANY , 255 , 1 , C ,  	(25-FEB-2025 13:18:36)
BHOGATD , 256 , 1 , C ,  	(25-FEB-2025 13:18:36)
VEDALTD , 257 , 1 , C ,  	(25-FEB-2025 13:18:36)
VEDALTD , 257 , 2 , T ,  	(25-FEB-2025 13:18:36)
VIGASLD , 258 , 1 , C ,  	(25-FEB-2025 13:18:36)
GOLDPFG , 259 , 1 , C ,  	(25-FEB-2025 13:18:36)
CAIRENH , 261 , 1 , T ,  	(25-FEB-2025 13:18:36)
GSIGLIM , 263 , 1 , R ,  	(25-FEB-2025 13:18:36)
GAILGAS , 265 , 1 , C ,  	(25-FEB-2025 13:18:36)
KUTCHCL , 267 , 1 , C ,  	(25-FEB-2025 13:18:36)
SEMTEXP , 269 , 1 , C ,  	(25-FEB-2025 13:18:36)
SEMTEXP , 269 , 2 , T ,  	(25-FEB-2025 13:18:36)
SANENER , 273 , 1 , C ,  	(25-FEB-2025 13:18:36)
SANENER , 273 , 2 , T ,  	(25-FEB-2025 13:18:36)
SUMGLAS , 274 , 1 , C ,  	(25-FEB-2025 13:18:36)
SVTPLIN , 275 , 1 , C ,  	(25-FEB-2025 13:18:36)
SPSSETL1 , 276 , 1 , T ,  	(25-FEB-2025 13:18:36)
SIETCO , 279 , 1 , T ,  	(25-FEB-2025 13:18:36)
AGL , 282 , 1 , C ,  	(25-FEB-2025 13:18:36)
NGPL , 284 , 1 , C ,  	(25-FEB-2025 13:18:36)
SILS , 285 , 1 , T ,  	(25-FEB-2025 13:18:36)
STASCO , 286 , 1 , C ,  	(25-FEB-2025 13:18:36)
STASCO , 286 , 2 , T ,  	(25-FEB-2025 13:18:36)
ROCKMAN , 287 , 1 , C ,  	(25-FEB-2025 13:18:36)
LANCO , 290 , 1 , C ,  	(25-FEB-2025 13:18:36)
CRMNDEL , 291 , 1 , C ,  	(25-FEB-2025 13:18:36)
SEIPLDY , 296 , 1 , C ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , R ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , H ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , H ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , H ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , H ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , V ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , S ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , S ,  	(25-FEB-2025 13:18:36)
GSINLIM , 298 , 1 , S ,  	(25-FEB-2025 13:18:36)

TOTAL DATA EXTRACTED :,205 , , , 	(25-FEB-2025 13:18:36)
 
<<END>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(25-FEB-2025 13:18:36)
 
