
<<START>>,<<FMS_COUNTERPARTY_PLANT_DTL>>,,,, 	(03-MAR-2025 10:49:16)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,SEQ_NO,EFF_DT,TIMESTAMP
SEMTPL,34,C,4,01/05/2023 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,5,01/03/2023 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,6,01/05/2023 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,7,01/06/2023 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,8,01/07/2023 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,9,01/07/2023 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,10,15/02/2024 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,10,01/05/2024 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,C,11,01/04/2024 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,T,1,01/09/2022 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,T,2,01/09/2024 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,T,3,01/09/2024 00:00:00, 	(03-MAR-2025 10:49:18)
SEMTPL,34,T,4,01/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
SGIPL,35,C,1,28/11/2017 00:00:00, 	(03-MAR-2025 10:49:18)
SGIPL,35,C,3,28/11/2017 00:00:00, 	(03-MAR-2025 10:49:18)
SGIPL,35,C,5,23/03/2020 00:00:00, 	(03-MAR-2025 10:49:18)
VGL,36,C,1,03/07/2019 00:00:00, 	(03-MAR-2025 10:49:18)
VGL,36,C,2,03/07/2019 00:00:00, 	(03-MAR-2025 10:49:18)
VGL,36,C,3,20/12/2023 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,04/10/2019 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,1,28/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,04/10/2019 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,01/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,2,28/04/2021 00:00:00, 	(03-MAR-2025 10:49:18)
PGPGPL,37,C,3,28/01/2025 00:00:00, 	(03-MAR-2025 10:49:18)
