
<<START>>,<<FMS_SECURITY_DEAL_MAP>>,,,,, 	(18-JUL-2025 16:11:36)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
4,1,1,K,L, 	(18-JUL-2025 16:11:37)
10,1,1,K,S, 	(18-JUL-2025 16:11:37)
10,2,1,K,S, 	(18-JUL-2025 16:11:37)
10,3,1,K,S, 	(18-JUL-2025 16:11:37)
10,4,1,K,S, 	(18-JUL-2025 16:11:37)
10,5,1,K,S, 	(18-JUL-2025 16:11:37)
10,6,1,K,S, 	(18-JUL-2025 16:11:37)
10,7,1,K,S, 	(18-JUL-2025 16:11:37)
10,8,1,K,S, 	(18-JUL-2025 16:11:37)
10,9,1,K,S, 	(18-JUL-2025 16:11:37)
10,10,1,K,S, 	(18-JUL-2025 16:11:37)
10,1,1,K,L, 	(18-JUL-2025 16:11:37)
23,1,1,K,S, 	(18-JUL-2025 16:11:37)
23,2,1,K,S, 	(18-JUL-2025 16:11:37)
23,3,1,K,S, 	(18-JUL-2025 16:11:37)
23,4,1,K,S, 	(18-JUL-2025 16:11:37)
23,5,1,K,S, 	(18-JUL-2025 16:11:37)
23,6,1,K,S, 	(18-JUL-2025 16:11:37)
23,1,1,K,L, 	(18-JUL-2025 16:11:37)
23,1,1,K,L, 	(18-JUL-2025 16:11:37)
23,1,1,K,L, 	(18-JUL-2025 16:11:37)
26,1,1,K,S, 	(18-JUL-2025 16:11:37)
26,2,1,K,S, 	(18-JUL-2025 16:11:37)
26,3,1,K,S, 	(18-JUL-2025 16:11:37)
26,4,1,K,S, 	(18-JUL-2025 16:11:37)
26,5,1,K,S, 	(18-JUL-2025 16:11:37)
26,6,1,K,S, 	(18-JUL-2025 16:11:37)
26,7,1,K,S, 	(18-JUL-2025 16:11:37)
26,8,1,K,S, 	(18-JUL-2025 16:11:37)
26,9,1,K,S, 	(18-JUL-2025 16:11:37)
26,10,1,K,S, 	(18-JUL-2025 16:11:37)
26,11,1,K,S, 	(18-JUL-2025 16:11:37)
26,12,1,K,S, 	(18-JUL-2025 16:11:37)
26,13,1,K,S, 	(18-JUL-2025 16:11:37)
26,14,1,K,S, 	(18-JUL-2025 16:11:37)
26,15,1,K,S, 	(18-JUL-2025 16:11:37)
26,16,1,K,S, 	(18-JUL-2025 16:11:37)
26,17,1,K,S, 	(18-JUL-2025 16:11:37)
26,18,1,K,S, 	(18-JUL-2025 16:11:37)
29,1,1,K,S, 	(18-JUL-2025 16:11:37)
29,2,1,K,S, 	(18-JUL-2025 16:11:37)
29,3,1,K,S, 	(18-JUL-2025 16:11:37)
29,4,1,K,S, 	(18-JUL-2025 16:11:37)
29,5,1,K,S, 	(18-JUL-2025 16:11:37)
29,6,1,K,S, 	(18-JUL-2025 16:11:37)
29,7,1,K,S, 	(18-JUL-2025 16:11:37)
29,8,1,K,S, 	(18-JUL-2025 16:11:37)
29,9,1,K,S, 	(18-JUL-2025 16:11:37)
29,10,1,K,S, 	(18-JUL-2025 16:11:37)
29,11,1,K,L, 	(18-JUL-2025 16:11:37)
29,11,1,K,L, 	(18-JUL-2025 16:11:37)
29,11,1,K,L, 	(18-JUL-2025 16:11:37)
29,11,1,K,L, 	(18-JUL-2025 16:11:37)
32,1,1,K,S, 	(18-JUL-2025 16:11:37)
33,1,1,K,S, 	(18-JUL-2025 16:11:37)
33,2,1,K,S, 	(18-JUL-2025 16:11:37)
33,3,1,K,S, 	(18-JUL-2025 16:11:37)
33,4,1,K,S, 	(18-JUL-2025 16:11:37)
33,5,1,K,S, 	(18-JUL-2025 16:11:37)
33,6,1,K,S, 	(18-JUL-2025 16:11:37)
33,7,1,K,S, 	(18-JUL-2025 16:11:37)
33,8,1,K,S, 	(18-JUL-2025 16:11:37)
33,9,1,K,S, 	(18-JUL-2025 16:11:37)
33,10,1,K,S, 	(18-JUL-2025 16:11:37)
33,11,1,K,S, 	(18-JUL-2025 16:11:37)
33,12,1,K,S, 	(18-JUL-2025 16:11:37)
33,13,1,K,S, 	(18-JUL-2025 16:11:37)
33,14,1,K,S, 	(18-JUL-2025 16:11:37)
33,15,1,K,S, 	(18-JUL-2025 16:11:37)
33,16,1,K,S, 	(18-JUL-2025 16:11:37)
33,17,1,K,S, 	(18-JUL-2025 16:11:37)
33,18,1,K,S, 	(18-JUL-2025 16:11:37)
33,19,1,K,S, 	(18-JUL-2025 16:11:37)
33,20,1,K,S, 	(18-JUL-2025 16:11:37)
33,21,1,K,S, 	(18-JUL-2025 16:11:37)
33,22,1,K,S, 	(18-JUL-2025 16:11:37)
33,23,1,K,S, 	(18-JUL-2025 16:11:37)
33,24,1,0,K,L, 	(18-JUL-2025 16:11:37)
33,25,1,0,K,L, 	(18-JUL-2025 16:11:37)
33,26,1,0,K,L, 	(18-JUL-2025 16:11:37)
33,27,1,0,K,L, 	(18-JUL-2025 16:11:37)
33,28,1,0,K,L, 	(18-JUL-2025 16:11:37)
33,29,1,0,K,L, 	(18-JUL-2025 16:11:37)
33,30,1,0,K,L, 	(18-JUL-2025 16:11:37)
34,1,1,K,S, 	(18-JUL-2025 16:11:37)
34,2,1,K,S, 	(18-JUL-2025 16:11:37)
34,3,1,K,S, 	(18-JUL-2025 16:11:37)
34,4,1,K,S, 	(18-JUL-2025 16:11:37)
34,5,1,K,S, 	(18-JUL-2025 16:11:37)
34,6,1,K,S, 	(18-JUL-2025 16:11:37)
34,7,1,K,S, 	(18-JUL-2025 16:11:37)
34,8,1,K,S, 	(18-JUL-2025 16:11:37)
34,9,1,K,S, 	(18-JUL-2025 16:11:37)
34,10,1,K,S, 	(18-JUL-2025 16:11:37)
34,11,1,K,S, 	(18-JUL-2025 16:11:37)
34,12,1,K,S, 	(18-JUL-2025 16:11:37)
34,13,1,K,S, 	(18-JUL-2025 16:11:37)
34,14,1,K,S, 	(18-JUL-2025 16:11:37)
34,15,1,K,S, 	(18-JUL-2025 16:11:37)
34,16,1,0,K,L, 	(18-JUL-2025 16:11:37)
34,17,1,0,K,L, 	(18-JUL-2025 16:11:37)
35,1,1,K,S, 	(18-JUL-2025 16:11:37)
35,2,1,K,S, 	(18-JUL-2025 16:11:37)
37,1,1,K,S, 	(18-JUL-2025 16:11:37)
37,2,1,K,S, 	(18-JUL-2025 16:11:37)
37,3,1,K,S, 	(18-JUL-2025 16:11:37)
37,4,1,K,S, 	(18-JUL-2025 16:11:37)
37,5,1,K,S, 	(18-JUL-2025 16:11:37)
37,6,1,K,S, 	(18-JUL-2025 16:11:37)
37,7,1,K,S, 	(18-JUL-2025 16:11:37)
37,8,1,K,S, 	(18-JUL-2025 16:11:37)
37,9,1,K,S, 	(18-JUL-2025 16:11:37)
37,10,1,K,S, 	(18-JUL-2025 16:11:37)
37,11,1,K,S, 	(18-JUL-2025 16:11:37)
37,12,1,K,S, 	(18-JUL-2025 16:11:37)
37,13,1,K,S, 	(18-JUL-2025 16:11:37)
38,1,1,K,S, 	(18-JUL-2025 16:11:37)
38,2,1,K,S, 	(18-JUL-2025 16:11:37)
38,3,1,K,S, 	(18-JUL-2025 16:11:37)
38,4,1,K,S, 	(18-JUL-2025 16:11:37)
38,5,1,K,S, 	(18-JUL-2025 16:11:37)
38,6,1,K,S, 	(18-JUL-2025 16:11:37)
38,7,1,K,S, 	(18-JUL-2025 16:11:37)
38,8,1,K,S, 	(18-JUL-2025 16:11:37)
38,9,1,K,S, 	(18-JUL-2025 16:11:37)
38,10,1,K,S, 	(18-JUL-2025 16:11:37)
38,11,1,K,S, 	(18-JUL-2025 16:11:37)
38,12,1,K,S, 	(18-JUL-2025 16:11:37)
38,13,1,K,S, 	(18-JUL-2025 16:11:37)
38,14,1,K,S, 	(18-JUL-2025 16:11:37)
38,15,1,K,S, 	(18-JUL-2025 16:11:37)
38,16,1,K,S, 	(18-JUL-2025 16:11:37)
38,17,1,K,S, 	(18-JUL-2025 16:11:37)
38,18,1,K,S, 	(18-JUL-2025 16:11:37)
39,1,1,K,S, 	(18-JUL-2025 16:11:37)
39,2,1,K,S, 	(18-JUL-2025 16:11:37)
39,3,1,K,S, 	(18-JUL-2025 16:11:37)
39,4,1,K,S, 	(18-JUL-2025 16:11:37)
39,5,1,K,S, 	(18-JUL-2025 16:11:37)
39,6,1,K,S, 	(18-JUL-2025 16:11:37)
39,7,1,K,S, 	(18-JUL-2025 16:11:37)
39,8,1,K,S, 	(18-JUL-2025 16:11:37)
39,9,1,K,S, 	(18-JUL-2025 16:11:37)
39,10,1,K,S, 	(18-JUL-2025 16:11:37)
39,11,1,K,S, 	(18-JUL-2025 16:11:37)
39,12,1,K,S, 	(18-JUL-2025 16:11:37)
39,13,1,K,S, 	(18-JUL-2025 16:11:37)
39,14,1,K,S, 	(18-JUL-2025 16:11:37)
39,15,1,K,S, 	(18-JUL-2025 16:11:37)
39,16,1,K,S, 	(18-JUL-2025 16:11:37)
39,17,1,K,S, 	(18-JUL-2025 16:11:37)
39,18,1,K,S, 	(18-JUL-2025 16:11:37)
39,19,1,K,S, 	(18-JUL-2025 16:11:37)
39,20,1,K,S, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
39,1,1,K,L, 	(18-JUL-2025 16:11:37)
42,1,1,K,S, 	(18-JUL-2025 16:11:37)
42,2,1,K,S, 	(18-JUL-2025 16:11:37)
42,3,1,K,S, 	(18-JUL-2025 16:11:37)
42,4,1,K,S, 	(18-JUL-2025 16:11:37)
42,1,1,K,L, 	(18-JUL-2025 16:11:37)
42,1,1,K,L, 	(18-JUL-2025 16:11:37)
42,1,1,K,L, 	(18-JUL-2025 16:11:37)
42,1,1,K,L, 	(18-JUL-2025 16:11:37)
42,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,S, 	(18-JUL-2025 16:11:37)
45,2,1,K,S, 	(18-JUL-2025 16:11:37)
45,3,1,K,S, 	(18-JUL-2025 16:11:37)
45,4,1,K,S, 	(18-JUL-2025 16:11:37)
45,5,1,K,S, 	(18-JUL-2025 16:11:37)
45,6,1,K,S, 	(18-JUL-2025 16:11:37)
45,7,1,K,S, 	(18-JUL-2025 16:11:37)
45,8,1,K,S, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
45,1,1,K,L, 	(18-JUL-2025 16:11:37)
54,1,1,K,S, 	(18-JUL-2025 16:11:37)
54,2,1,K,S, 	(18-JUL-2025 16:11:37)
54,3,1,K,S, 	(18-JUL-2025 16:11:37)
54,4,1,K,S, 	(18-JUL-2025 16:11:37)
54,5,1,K,S, 	(18-JUL-2025 16:11:37)
54,6,1,K,S, 	(18-JUL-2025 16:11:37)
54,7,1,K,S, 	(18-JUL-2025 16:11:37)
54,8,1,K,S, 	(18-JUL-2025 16:11:37)
54,9,1,K,S, 	(18-JUL-2025 16:11:37)
57,1,1,K,S, 	(18-JUL-2025 16:11:37)
57,2,1,K,S, 	(18-JUL-2025 16:11:37)
57,3,1,K,S, 	(18-JUL-2025 16:11:37)
57,4,1,K,S, 	(18-JUL-2025 16:11:37)
58,1,1,K,S, 	(18-JUL-2025 16:11:37)
58,2,1,K,S, 	(18-JUL-2025 16:11:37)
58,3,1,K,S, 	(18-JUL-2025 16:11:37)
58,4,1,K,S, 	(18-JUL-2025 16:11:37)
58,5,1,K,S, 	(18-JUL-2025 16:11:37)
58,6,1,K,S, 	(18-JUL-2025 16:11:37)
58,7,1,K,S, 	(18-JUL-2025 16:11:37)
58,8,1,K,S, 	(18-JUL-2025 16:11:37)
58,9,1,K,S, 	(18-JUL-2025 16:11:37)
68,1,1,K,S, 	(18-JUL-2025 16:11:37)
70,1,1,K,S, 	(18-JUL-2025 16:11:37)
70,2,1,K,S, 	(18-JUL-2025 16:11:37)
70,3,1,K,S, 	(18-JUL-2025 16:11:37)
70,4,1,K,S, 	(18-JUL-2025 16:11:37)
70,5,1,K,S, 	(18-JUL-2025 16:11:37)
70,6,1,K,S, 	(18-JUL-2025 16:11:37)
70,7,1,K,S, 	(18-JUL-2025 16:11:37)
70,8,1,K,S, 	(18-JUL-2025 16:11:37)
70,9,1,K,S, 	(18-JUL-2025 16:11:37)
70,10,1,K,S, 	(18-JUL-2025 16:11:37)
70,11,1,K,S, 	(18-JUL-2025 16:11:37)
70,12,1,K,S, 	(18-JUL-2025 16:11:37)
70,13,1,K,S, 	(18-JUL-2025 16:11:37)
71,1,1,K,S, 	(18-JUL-2025 16:11:37)
71,2,1,K,S, 	(18-JUL-2025 16:11:37)
71,3,1,K,S, 	(18-JUL-2025 16:11:37)
71,4,1,K,S, 	(18-JUL-2025 16:11:37)
71,5,1,K,S, 	(18-JUL-2025 16:11:37)
71,6,1,K,S, 	(18-JUL-2025 16:11:37)
71,7,1,K,S, 	(18-JUL-2025 16:11:37)
71,8,1,K,S, 	(18-JUL-2025 16:11:37)
71,9,1,K,S, 	(18-JUL-2025 16:11:37)
72,1,1,K,S, 	(18-JUL-2025 16:11:37)
72,2,1,K,S, 	(18-JUL-2025 16:11:37)
72,3,1,K,S, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
72,4,1,K,L, 	(18-JUL-2025 16:11:37)
