
<<START>>,<<FMS_ENTITY_TAX_STRUCT_DTL>>,,, 	(12-MAR-2025 17:45:05)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,ENTITY,PLANT_SEQ_NO,TIMESTAMP
MINDA,54,C,1, 	(12-MAR-2025 17:45:06)
MINDA,54,C,2, 	(12-MAR-2025 17:45:06)
MINDA,54,C,2, 	(12-MAR-2025 17:45:06)
LEIPL,55,C,1, 	(12-MAR-2025 17:45:06)
SCHOTT,56,C,1, 	(12-MAR-2025 17:45:06)
HIL,57,C,3, 	(12-MAR-2025 17:45:06)
HIL,57,C,4, 	(12-MAR-2025 17:45:06)
HIL,57,C,1, 	(12-MAR-2025 17:45:06)
HIL,57,C,2, 	(12-MAR-2025 17:45:06)
HCGD-B,58,C,1, 	(12-MAR-2025 17:45:06)
BIPL,59,C,2, 	(12-MAR-2025 17:45:06)
BIPL,59,C,1, 	(12-MAR-2025 17:45:06)
EXXARO,60,C,1, 	(12-MAR-2025 17:45:06)
KAJARIA,68,C,2, 	(12-MAR-2025 17:45:06)
KAJARIA,68,C,1, 	(12-MAR-2025 17:45:06)
SISECAM,70,C,1, 	(12-MAR-2025 17:45:06)
SISECAM,70,C,1, 	(12-MAR-2025 17:45:06)
ATPL,71,C,1, 	(12-MAR-2025 17:45:06)
ATPL,71,C,2, 	(12-MAR-2025 17:45:06)
OPAL,72,C,1, 	(12-MAR-2025 17:45:06)
OPAL,72,C,1, 	(12-MAR-2025 17:45:06)
OPAL,72,C,1, 	(12-MAR-2025 17:45:06)
JKPAPER,73,C,1, 	(12-MAR-2025 17:45:06)
STL,74,C,1, 	(12-MAR-2025 17:45:06)
CELLO,76,C,1, 	(12-MAR-2025 17:45:06)
RCF,78,C,2, 	(12-MAR-2025 17:45:06)
RCF,78,C,2, 	(12-MAR-2025 17:45:06)
RCF,78,C,1, 	(12-MAR-2025 17:45:06)
RCF,78,C,2, 	(12-MAR-2025 17:45:06)
RCF,78,C,1, 	(12-MAR-2025 17:45:06)
BWRL,79,C,1, 	(12-MAR-2025 17:45:06)
VIRGO,81,C,1, 	(12-MAR-2025 17:45:06)
GIPSKARTON,83,C,1, 	(12-MAR-2025 17:45:06)
TGLPL,84,C,2, 	(12-MAR-2025 17:45:07)
TGLPL,84,C,1, 	(12-MAR-2025 17:45:07)
TGBPL,85,C,1, 	(12-MAR-2025 17:45:07)
TGBPL,85,C,2, 	(12-MAR-2025 17:45:07)
BGEPL,86,C,1, 	(12-MAR-2025 17:45:07)
IMCL,87,C,1, 	(12-MAR-2025 17:45:07)
VVF India,88,C,1, 	(12-MAR-2025 17:45:07)
GNFC,89,C,1, 	(12-MAR-2025 17:45:07)
GNFC,89,C,2, 	(12-MAR-2025 17:45:07)
GNFC,89,C,2, 	(12-MAR-2025 17:45:07)
MEGHHQX,90,C,1, 	(12-MAR-2025 17:45:07)
GLIL,91,C,4, 	(12-MAR-2025 17:45:07)
GLIL,91,C,6, 	(12-MAR-2025 17:45:07)
GLIL,91,C,7, 	(12-MAR-2025 17:45:07)
GLIL,91,C,5, 	(12-MAR-2025 17:45:07)
GLIL,91,C,3, 	(12-MAR-2025 17:45:07)
GLIL,91,C,1, 	(12-MAR-2025 17:45:07)
GLIL,91,C,2, 	(12-MAR-2025 17:45:07)
SGI-AP,93,C,1, 	(12-MAR-2025 17:45:07)
PEPL,99,C,1, 	(12-MAR-2025 17:45:07)
PEPL,99,C,2, 	(12-MAR-2025 17:45:07)
GFCL,100,C,2, 	(12-MAR-2025 17:45:07)
GFCL,100,C,1, 	(12-MAR-2025 17:45:07)
CPL,101,C,1, 	(12-MAR-2025 17:45:07)
IRM,102,C,1, 	(12-MAR-2025 17:45:07)
PPL,103,C,1, 	(12-MAR-2025 17:45:07)
PPL,103,C,1, 	(12-MAR-2025 17:45:07)
YARALTD,104,C,1, 	(12-MAR-2025 17:45:07)
YARALTD,104,C,1, 	(12-MAR-2025 17:45:07)
INPEROX,105,C,1, 	(12-MAR-2025 17:45:07)
RAFECHL,106,C,1, 	(12-MAR-2025 17:45:07)
CNTENKA,107,C,1, 	(12-MAR-2025 17:45:07)
HCGPUTE,108,C,1, 	(12-MAR-2025 17:45:07)
IGSPL,109,C,2, 	(12-MAR-2025 17:45:07)
IGSPL,109,C,1, 	(12-MAR-2025 17:45:07)
GOAGLSF,110,C,1, 	(12-MAR-2025 17:45:07)
MGRPL,111,C,2, 	(12-MAR-2025 17:45:07)
MGRPL,111,C,1, 	(12-MAR-2025 17:45:07)
PEFORCV,112,C,1, 	(12-MAR-2025 17:45:07)
HMEL,113,C,5, 	(12-MAR-2025 17:45:07)
HMEL,113,C,6, 	(12-MAR-2025 17:45:07)
HMEL,113,C,6, 	(12-MAR-2025 17:45:07)
HMEL,113,C,3, 	(12-MAR-2025 17:45:07)
HMEL,113,C,1, 	(12-MAR-2025 17:45:07)
HMEL,113,C,5, 	(12-MAR-2025 17:45:07)
HMEL,113,C,2, 	(12-MAR-2025 17:45:07)
HMEL,113,C,4, 	(12-MAR-2025 17:45:07)
HMEL,113,C,4, 	(12-MAR-2025 17:45:07)
HMEL,113,C,1, 	(12-MAR-2025 17:45:07)
TASTELI,114,C,1, 	(12-MAR-2025 17:45:07)
AGPCGIN,115,C,2, 	(12-MAR-2025 17:45:07)
AGPCGIN,115,C,1, 	(12-MAR-2025 17:45:07)
HINDURV,116,C,2, 	(12-MAR-2025 17:45:07)
HINDURV,116,C,1, 	(12-MAR-2025 17:45:07)
