

<<START>>,<<FMS_ENTITY_REQ_DTL>>,,, 	(20-FEB-2025 15:43:53)
 
COUNTERPARTY_ABBR,COUNTERPARTY_CD,SEQ_NO,ENTITY,TIMESTAMP
VIGASLD , 258 , 1 , C ,  	(20-FEB-2025 15:43:55)
GOLDPFG , 259 , 1 , C ,  	(20-FEB-2025 15:43:55)
CAIRENH , 261 , 1 , T ,  	(20-FEB-2025 15:43:55)
GSIGLIM , 263 , 1 , R ,  	(20-FEB-2025 15:43:55)
GAILGAS , 265 , 1 , C ,  	(20-FEB-2025 15:43:55)
KUTCHCL , 267 , 1 , C ,  	(20-FEB-2025 15:43:55)
SEMTEXP , 269 , 1 , C ,  	(20-FEB-2025 15:43:55)
SEMTEXP , 269 , 2 , T ,  	(20-FEB-2025 15:43:55)
SANENER , 273 , 1 , C ,  	(20-FEB-2025 15:43:55)
SANENER , 273 , 2 , T ,  	(20-FEB-2025 15:43:55)
SUMGLAS , 274 , 1 , C ,  	(20-FEB-2025 15:43:55)
SVTPLIN , 275 , 1 , C ,  	(20-FEB-2025 15:43:55)
SPSSETL1 , 276 , 1 , T ,  	(20-FEB-2025 15:43:55)
SIETCO , 279 , 1 , T ,  	(20-FEB-2025 15:43:55)
AVGL , 282 , 1 , C ,  	(20-FEB-2025 15:43:55)
NGPL , 284 , 1 , C ,  	(20-FEB-2025 15:43:55)
SILS , 285 , 1 , T ,  	(20-FEB-2025 15:43:55)
STASCO , 286 , 1 , C ,  	(20-FEB-2025 15:43:55)
STASCO , 286 , 2 , T ,  	(20-FEB-2025 15:43:55)
ROCKIND , 287 , 1 , C ,  	(20-FEB-2025 15:43:55)
LANCOKO , 290 , 1 , C ,  	(20-FEB-2025 15:43:55)
CRMNDEL , 291 , 1 , C ,  	(20-FEB-2025 15:43:55)
SEIPLDY , 296 , 1 , C ,  	(20-FEB-2025 15:43:55)
GSINLIM , 298 , 1 , R ,  	(20-FEB-2025 15:43:55)
**********AutomationEMS Error  (20-FEB-2025 15:43:55) **********
java.sql.SQLException: ORA-00933: SQL command not properly ended


com.etrm.fms.migration.Master_SEIPL_Data_Extractor.FMS_ENTITY_REQ_DTL(Master_SEIPL_Data_Extractor.java:1348)
com.etrm.fms.migration.Master_SEIPL_Data_Extractor.init(Master_SEIPL_Data_Extractor.java:116)
**************************************************

<<FUNCTION FMS_ENTITY_REQ_DTL() ENDED WITH ERRORS>>
