
<<START>>,<<FMS_SUPPLY_CONT_MST(DLNG)>>,, 	(10-JUN-2025 17:45:50)
 
COMPANY_CD,COUNTERPARTY_CD,AGMT_TYPE,AGMT_NO,AGMT_REV,TRANSPORTER_CD,TIMESTAMP,
GLIL,1,0,2,0,F, 	(10-JUN-2025 17:45:52)
GLIL,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
GLIL,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
GLIL,1,0,2,2,F, 	(10-JUN-2025 17:45:52)
GLIL,1,0,3,1,F, 	(10-JUN-2025 17:45:52)
GLIL,1,0,2,1,F, 	(10-JUN-2025 17:45:52)
GLIL,1,0,3,0,F, 	(10-JUN-2025 17:45:52)
SGI-AP,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
SGI-AP,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
HCGPUTE,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
HCGPUTE,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,2,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,4,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,2,1,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,3,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,5,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,4,1,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,6,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,7,0,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,3,1,F, 	(10-JUN-2025 17:45:52)
COMFIND,1,0,5,1,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,1,2,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,1,0,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,3,0,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,2,0,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,4,0,F, 	(10-JUN-2025 17:45:52)
KINGASP,1,0,5,0,F, 	(10-JUN-2025 17:45:52)
AGPCGIN,1,0,2,0,F, 	(10-JUN-2025 17:45:52)
AGPCGIN,1,0,3,0,F, 	(10-JUN-2025 17:45:52)
AGPCGIN,1,0,1,1,F, 	(10-JUN-2025 17:45:52)
AGPCGIN,1,0,2,1,F, 	(10-JUN-2025 17:45:52)
AGPCGIN,1,0,3,1,F, 	(10-JUN-2025 17:45:52)
