

<<START>>,<<FMS_SUPPLY_CONT_MST>>,,, 	(12-SEP-2025 10:51:31)
 
COUNTERPARTY_ABBR,AGMT_NO,AGMT_REV,CONT_NO,CONT_REV,CONTRACT_TYPE,TIMESTAMP,
MGL,3,0,11,0,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,11,1,S, 	(12-SEP-2025 10:51:32)
MGL,2,0,1,0,S, 	(12-SEP-2025 10:51:32)
MGL,3,0,5,0,S, 	(12-SEP-2025 10:51:33)
MGL,2,0,3,0,S, 	(12-SEP-2025 10:51:33)
MGL,2,0,2,0,S, 	(12-SEP-2025 10:51:33)
MGL,3,0,6,0,S, 	(12-SEP-2025 10:51:33)
MGL,3,0,10,0,S, 	(12-SEP-2025 10:51:33)
MGL,2,0,4,0,S, 	(12-SEP-2025 10:51:33)
MGL,3,0,1,0,S, 	(12-SEP-2025 10:51:33)
MGL,1,0,3,0,S, 	(12-SEP-2025 10:51:33)
MGL,1,0,4,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,2,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,3,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,5,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,5,2,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,9,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,10,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,11,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,6,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,3,1,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,2,1,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,5,1,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,7,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,14,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,15,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,0,8,0,S, 	(12-SEP-2025 10:51:33)
MGL,6,2,13,0,S, 	(12-SEP-2025 10:51:33)
